#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1464000.1-p1   -            755 5446at5820           -            453  2.5e-239  793.2  35.4   1   3     2e-11   2.3e-09   35.2  11.2     1    55     1    63     1   145 0.73 | transcript=PVP01_1464000.1 | gene=PVP01_1464000 | organism=Plasmodium_vivax_P01 | gene_product=rac-beta serine/threonine protein kinase, putative | transcript_product=rac-beta serine/threonine protein kinase, putative | location=PvP01_14_v2:2748927-2751327(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1464000.1-p1   -            755 5446at5820           -            453  2.5e-239  793.2  35.4   2   3   5.1e-06   0.00058   17.4   3.1    32    87   163   221   129   254 0.66 | transcript=PVP01_1464000.1 | gene=PVP01_1464000 | organism=Plasmodium_vivax_P01 | gene_product=rac-beta serine/threonine protein kinase, putative | transcript_product=rac-beta serine/threonine protein kinase, putative | location=PvP01_14_v2:2748927-2751327(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1464000.1-p1   -            755 5446at5820           -            453  2.5e-239  793.2  35.4   3   3  3.1e-228  3.6e-226  749.9   8.3    72   452   364   752   308   753 0.92 | transcript=PVP01_1464000.1 | gene=PVP01_1464000 | organism=Plasmodium_vivax_P01 | gene_product=rac-beta serine/threonine protein kinase, putative | transcript_product=rac-beta serine/threonine protein kinase, putative | location=PvP01_14_v2:2748927-2751327(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0733500.1-p1   -            341 5446at5820           -            453   7.1e-87  290.7   6.9   1   1   7.7e-89   8.8e-87  290.4   6.9   116   439    12   331     3   340 0.92 | transcript=PVP01_0733500.1 | gene=PVP01_0733500 | organism=Plasmodium_vivax_P01 | gene_product=cAMP-dependent protein kinase catalytic subunit, putative | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative | location=PvP01_07_v2:1376764-1378505(+) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1312900.1-p1   -            854 5446at5820           -            453   7.9e-75  251.0   0.0   1   1   1.5e-76   1.7e-74  249.9   0.0   134   427   539   835   525   851 0.92 | transcript=PVP01_1312900.1 | gene=PVP01_1312900 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-dependent protein kinase | transcript_product=cGMP-dependent protein kinase | location=PvP01_13_v2:580904-584724(+) | protein_length=854 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1252700.1-p1   -            861 5446at5820           -            453   6.5e-52  175.5  14.4   1   2       7.9     9e+02   -3.0   0.9    77    77   100   100    27   150 0.50 | transcript=PVP01_1252700.1 | gene=PVP01_1252700 | organism=Plasmodium_vivax_P01 | gene_product=SNF1-related serine/threonine protein kinase KIN, putative | transcript_product=SNF1-related serine/threonine protein kinase KIN, putative | location=PvP01_12_v2:2152503-2155088(-) | protein_length=861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1252700.1-p1   -            861 5446at5820           -            453   6.5e-52  175.5  14.4   2   2   5.7e-54   6.5e-52  175.5  14.4   111   397   454   737   446   750 0.89 | transcript=PVP01_1252700.1 | gene=PVP01_1252700 | organism=Plasmodium_vivax_P01 | gene_product=SNF1-related serine/threonine protein kinase KIN, putative | transcript_product=SNF1-related serine/threonine protein kinase KIN, putative | location=PvP01_12_v2:2152503-2155088(-) | protein_length=861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325400.1-p1   -            284 5446at5820           -            453   2.4e-51  173.6  14.6   1   1   2.5e-53   2.9e-51  173.3  14.6   133   380    18   270     3   282 0.86 | transcript=PVP01_1325400.1 | gene=PVP01_1325400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=PvP01_13_v2:1101101-1103359(-) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115100.1-p1   -           4009 5446at5820           -            453     3e-46  156.8   1.2   1   1   6.7e-48   7.7e-46  155.4   1.2   136   378  1186  1428  1169  1457 0.91 | transcript=PVP01_1115100.1 | gene=PVP01_1115100 | organism=Plasmodium_vivax_P01 | gene_product=aurora-related kinase ARK3, putative | transcript_product=aurora-related kinase ARK3, putative | location=PvP01_11_v2:639663-651692(-) | protein_length=4009 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1216900.1-p1   -            563 5446at5820           -            453   3.4e-44  150.0  10.3   1   1     3e-46   3.4e-44  150.0  10.3   143   406   127   387   100   403 0.89 | transcript=PVP01_1216900.1 | gene=PVP01_1216900 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 5, putative | transcript_product=calcium-dependent protein kinase 5, putative | location=PvP01_12_v2:704678-706369(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831000.1-p1   -           1602 5446at5820           -            453   5.1e-43  146.2   2.1   1   1   8.6e-45   9.8e-43  145.2   2.1   128   396  1324  1600  1303  1601 0.89 | transcript=PVP01_0831000.1 | gene=PVP01_0831000 | organism=Plasmodium_vivax_P01 | gene_product=aurora-related kinase ARK2, putative | transcript_product=aurora-related kinase ARK2, putative | location=PvP01_08_v2:1339289-1344608(+) | protein_length=1602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
