#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0709200.1-p1   -            599 4838at5820           -            434  6.5e-236  781.6  14.3   1   3  3.6e-102   2.9e-99  331.3   3.8     1   180    13   199    13   215 0.98 | transcript=PVP01_0709200.1 | gene=PVP01_0709200 | organism=Plasmodium_vivax_P01 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=PvP01_07_v2:473382-475181(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0709200.1-p1   -            599 4838at5820           -            434  6.5e-236  781.6  14.3   2   3   2.3e-78   1.9e-75  252.8   0.2   179   320   263   409   256   413 0.95 | transcript=PVP01_0709200.1 | gene=PVP01_0709200 | organism=Plasmodium_vivax_P01 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=PvP01_07_v2:473382-475181(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0709200.1-p1   -            599 4838at5820           -            434  6.5e-236  781.6  14.3   3   3   1.7e-63   1.4e-60  203.9   0.2   317   434   478   599   467   599 0.94 | transcript=PVP01_0709200.1 | gene=PVP01_0709200 | organism=Plasmodium_vivax_P01 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=PvP01_07_v2:473382-475181(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0309200.1-p1   -            414 4838at5820           -            434   1.1e-17   62.5   3.7   1   1     5e-20   4.1e-17   60.6   3.7   159   426   143   407   134   414 0.77 | transcript=PVP01_0309200.1 | gene=PVP01_0309200 | organism=Plasmodium_vivax_P01 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=PvP01_03_v2:430357-432507(-) | protein_length=414 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326200.1-p1   -            493 4838at5820           -            434     5e-15   53.7   0.0   1   2    0.0001     0.082   10.2   0.0   125   234   135   237   115   241 0.78 | transcript=PVP01_1326200.1 | gene=PVP01_1326200 | organism=Plasmodium_vivax_P01 | gene_product=actin-related protein ARP4, putative | transcript_product=actin-related protein ARP4, putative | location=PvP01_13_v2:1139269-1140750(+) | protein_length=493 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326200.1-p1   -            493 4838at5820           -            434     5e-15   53.7   0.0   2   2   4.6e-14   3.7e-11   41.0   0.0   317   423   381   488   341   492 0.83 | transcript=PVP01_1326200.1 | gene=PVP01_1326200 | organism=Plasmodium_vivax_P01 | gene_product=actin-related protein ARP4, putative | transcript_product=actin-related protein ARP4, putative | location=PvP01_13_v2:1139269-1140750(+) | protein_length=493 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336400.1-p1   -            376 4838at5820           -            434   1.6e-12   45.5   0.0   1   2    0.0053       4.3    4.5   0.0   104   162    76   134    66   225 0.89 | transcript=PVP01_1336400.1 | gene=PVP01_1336400 | organism=Plasmodium_vivax_P01 | gene_product=actin II | transcript_product=actin II | location=PvP01_13_v2:1568504-1569804(-) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336400.1-p1   -            376 4838at5820           -            434   1.6e-12   45.5   0.0   2   2   1.6e-13   1.3e-10   39.1   0.0   323   425   275   373   268   376 0.84 | transcript=PVP01_1336400.1 | gene=PVP01_1336400 | organism=Plasmodium_vivax_P01 | gene_product=actin II | transcript_product=actin II | location=PvP01_13_v2:1568504-1569804(-) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0210900.1-p1   -            379 4838at5820           -            434   3.7e-11   41.0   0.6   1   1   1.8e-13   1.5e-10   39.0   0.6   105   425    83   376    65   379 0.83 | transcript=PVP01_0210900.1 | gene=PVP01_0210900 | organism=Plasmodium_vivax_P01 | gene_product=actin-related protein ARP1, putative | transcript_product=actin-related protein ARP1, putative | location=PvP01_02_v2:443680-446361(+) | protein_length=379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1463200.1-p1   -            376 4838at5820           -            434   4.9e-11   40.6   0.0   1   2     0.043        35    1.5   0.0   105   161    78   134    67   226 0.87 | transcript=PVP01_1463200.1 | gene=PVP01_1463200 | organism=Plasmodium_vivax_P01 | gene_product=actin, putative | transcript_product=actin, putative | location=PvP01_14_v2:2720583-2721713(+) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1463200.1-p1   -            376 4838at5820           -            434   4.9e-11   40.6   0.0   2   2   7.5e-13   6.1e-10   37.0   0.0   322   425   274   373   267   376 0.82 | transcript=PVP01_1463200.1 | gene=PVP01_1463200 | organism=Plasmodium_vivax_P01 | gene_product=actin, putative | transcript_product=actin, putative | location=PvP01_14_v2:2720583-2721713(+) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
