#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1430000.1-p1   -            559 6754at5820           -            365  1.8e-227  752.9  27.6   1   3   2.5e-21   2.7e-18   64.6   3.7     1    48    26    73    26    80 0.94 | transcript=PVP01_1430000.1 | gene=PVP01_1430000 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM5, putative | transcript_product=protein phosphatase PPM5, putative | location=PvP01_14_v2:1294483-1297856(+) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430000.1-p1   -            559 6754at5820           -            365  1.8e-227  752.9  27.6   2   3   6.9e-89   7.5e-86  286.8   4.8    31   177    80   224    71   230 0.93 | transcript=PVP01_1430000.1 | gene=PVP01_1430000 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM5, putative | transcript_product=protein phosphatase PPM5, putative | location=PvP01_14_v2:1294483-1297856(+) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430000.1-p1   -            559 6754at5820           -            365  1.8e-227  752.9  27.6   3   3  2.4e-127  2.6e-124  413.4   4.0   166   365   344   553   306   553 0.94 | transcript=PVP01_1430000.1 | gene=PVP01_1430000 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM5, putative | transcript_product=protein phosphatase PPM5, putative | location=PvP01_14_v2:1294483-1297856(+) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1410200.1-p1   -            782 6754at5820           -            365   6.3e-72  241.0   3.4   1   1   1.5e-74   1.6e-71  239.7   3.4    82   359   497   781   480   782 0.91 | transcript=PVP01_1410200.1 | gene=PVP01_1410200 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM6, putative | transcript_product=protein phosphatase PPM6, putative | location=PvP01_14_v2:482831-485503(+) | protein_length=782 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0309600.1-p1   -            953 6754at5820           -            365   6.4e-14   50.2   0.7   1   2      0.17   1.9e+02   -0.7   0.2   315   349     8    42     3    45 0.84 | transcript=PVP01_0309600.1 | gene=PVP01_0309600 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM1, putative | transcript_product=protein phosphatase PPM1, putative | location=PvP01_03_v2:441263-444314(-) | protein_length=953 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0309600.1-p1   -            953 6754at5820           -            365   6.4e-14   50.2   0.7   2   2   5.9e-17   6.4e-14   50.2   0.7   114   326   686   883   680   913 0.70 | transcript=PVP01_0309600.1 | gene=PVP01_0309600 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM1, putative | transcript_product=protein phosphatase PPM1, putative | location=PvP01_03_v2:441263-444314(-) | protein_length=953 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1252000.1-p1   -            411 6754at5820           -            365   1.1e-10   39.5   0.4   1   1     2e-13   2.2e-10   38.6   0.4   185   334   105   258    34   278 0.79 | transcript=PVP01_1252000.1 | gene=PVP01_1252000 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase 2C, putative | transcript_product=protein phosphatase 2C, putative | location=PvP01_12_v2:2131654-2134620(+) | protein_length=411 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1429800.1-p1   -            303 6754at5820           -            365   3.2e-09   34.7   0.1   1   1     2e-11   2.2e-08   32.0   0.1   175   321   115   252    48   272 0.71 | transcript=PVP01_1429800.1 | gene=PVP01_1429800 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM7, putative | transcript_product=protein phosphatase PPM7, putative | location=PvP01_14_v2:1284812-1287310(+) | protein_length=303 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1466400.1-p1   -           1105 6754at5820           -            365   8.3e-07   26.8   0.1   1   2       1.7   1.9e+03   -4.0   0.2   205   222   141   158   137   160 0.91 | transcript=PVP01_1466400.1 | gene=PVP01_1466400 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM4, putative | transcript_product=protein phosphatase PPM4, putative | location=PvP01_14_v2:2826812-2830377(+) | protein_length=1105 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1466400.1-p1   -           1105 6754at5820           -            365   8.3e-07   26.8   0.1   2   2   7.6e-10   8.3e-07   26.8   0.1   186   342   886  1057   796  1067 0.73 | transcript=PVP01_1466400.1 | gene=PVP01_1466400 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM4, putative | transcript_product=protein phosphatase PPM4, putative | location=PvP01_14_v2:2826812-2830377(+) | protein_length=1105 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
