#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0531000.1-p1   -           2684 270at5820            -           1986         0 3539.0 149.5   1  10   1.4e-30   1.3e-27   94.3   0.7     1    56     1    57     1    64 0.95 | transcript=PVP01_0531000.1 | gene=PVP01_0531000 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=PvP01_05_v2:1316973-1325027(+) | protein_length=2684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0531000.1-p1   -           2684 270at5820            -           1986         0 3539.0 149.5   2  10   8.3e-54   7.8e-51  171.2   2.8    56   173    95   222    83   237 0.91 | transcript=PVP01_0531000.1 | gene=PVP01_0531000 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=PvP01_05_v2:1316973-1325027(+) | protein_length=2684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0531000.1-p1   -           2684 270at5820            -           1986         0 3539.0 149.5   3  10     1e-68   9.3e-66  220.7   9.9   180   309   375   507   351   512 0.95 | transcript=PVP01_0531000.1 | gene=PVP01_0531000 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=PvP01_05_v2:1316973-1325027(+) | protein_length=2684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0531000.1-p1   -           2684 270at5820            -           1986         0 3539.0 149.5   4  10  1.5e-129  1.4e-126  422.4   5.3   261   546   540   863   534   883 0.85 | transcript=PVP01_0531000.1 | gene=PVP01_0531000 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=PvP01_05_v2:1316973-1325027(+) | protein_length=2684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0531000.1-p1   -           2684 270at5820            -           1986         0 3539.0 149.5   5  10    4e-185  3.7e-182  606.7   5.3   545   830   949  1238   942  1242 0.98 | transcript=PVP01_0531000.1 | gene=PVP01_0531000 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=PvP01_05_v2:1316973-1325027(+) | protein_length=2684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0531000.1-p1   -           2684 270at5820            -           1986         0 3539.0 149.5   6  10  3.3e-178  3.1e-175  583.7  26.1   830  1121  1273  1570  1270  1577 0.98 | transcript=PVP01_0531000.1 | gene=PVP01_0531000 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=PvP01_05_v2:1316973-1325027(+) | protein_length=2684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0531000.1-p1   -           2684 270at5820            -           1986         0 3539.0 149.5   7  10  9.4e-101   8.7e-98  326.9   0.4  1120  1346  1596  1868  1584  1874 0.90 | transcript=PVP01_0531000.1 | gene=PVP01_0531000 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=PvP01_05_v2:1316973-1325027(+) | protein_length=2684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0531000.1-p1   -           2684 270at5820            -           1986         0 3539.0 149.5   8  10  1.1e-181    1e-178  595.3  18.0  1347  1660  1925  2261  1922  2265 0.96 | transcript=PVP01_0531000.1 | gene=PVP01_0531000 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=PvP01_05_v2:1316973-1325027(+) | protein_length=2684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0531000.1-p1   -           2684 270at5820            -           1986         0 3539.0 149.5   9  10   1.7e-40   1.6e-37  127.1   1.8  1662  1747  2299  2387  2295  2392 0.95 | transcript=PVP01_0531000.1 | gene=PVP01_0531000 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=PvP01_05_v2:1316973-1325027(+) | protein_length=2684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0531000.1-p1   -           2684 270at5820            -           1986         0 3539.0 149.5  10  10  2.3e-135  2.1e-132  441.7  11.5  1738  1986  2422  2680  2408  2680 0.96 | transcript=PVP01_0531000.1 | gene=PVP01_0531000 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=PvP01_05_v2:1316973-1325027(+) | protein_length=2684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1267900.1-p1   -           2439 270at5820            -           1986    1e-223  744.5 141.4   1   8   1.3e-11   1.2e-08   31.3  11.5   224   428   207   406   174   416 0.64 | transcript=PVP01_1267900.1 | gene=PVP01_1267900 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_12_v2:2835398-2843770(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
