#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0909500.1-p1   -            549 5900at5820           -            459  2.3e-244  810.3  47.9   1   2   1.1e-51   3.1e-49  167.0   1.8     1    88     6   100     6   105 0.94 | transcript=PVP01_0909500.1 | gene=PVP01_0909500 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein J2, putative | transcript_product=heat shock protein J2, putative | location=PvP01_09_v2:501995-503644(-) | protein_length=549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909500.1-p1   -            549 5900at5820           -            459  2.3e-244  810.3  47.9   2   2  3.3e-197  8.9e-195  646.8  38.6    88   459   120   540   115   540 0.92 | transcript=PVP01_0909500.1 | gene=PVP01_0909500 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein J2, putative | transcript_product=heat shock protein J2, putative | location=PvP01_09_v2:501995-503644(-) | protein_length=549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1120300.1-p1   -            380 5900at5820           -            459   5.1e-18   64.1   2.8   1   1   3.7e-20     1e-17   63.1   2.8    22   110    46   142    40   179 0.82 | transcript=PVP01_1120300.1 | gene=PVP01_1120300 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_11_v2:881735-882877(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1271300.1-p1   -            406 5900at5820           -            459   1.4e-17   62.6   1.6   1   1   8.5e-20   2.3e-17   61.9   1.6    21    95    81   161    74   193 0.77 | transcript=PVP01_1271300.1 | gene=PVP01_1271300 | organism=Plasmodium_vivax_P01 | gene_product=40 kDa heat shock protein, putative | transcript_product=40 kDa heat shock protein, putative | location=PvP01_12_v2:3014790-3016631(+) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411800.1-p1   -            328 5900at5820           -            459   3.4e-17   61.4   0.4   1   1   1.5e-19   4.2e-17   61.1   0.4    20    86     2    74     1   152 0.86 | transcript=PVP01_0411800.1 | gene=PVP01_0411800 | organism=Plasmodium_vivax_P01 | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=PvP01_04_v2:474978-476353(-) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311600.1-p1   -            421 5900at5820           -            459   6.5e-17   60.4   1.0   1   2   2.4e-19   6.5e-17   60.4   1.0    22    86    27    90    23   105 0.95 | transcript=PVP01_1311600.1 | gene=PVP01_1311600 | organism=Plasmodium_vivax_P01 | gene_product=HSP40, subfamily A, putative | transcript_product=HSP40, subfamily A, putative | location=PvP01_13_v2:535292-537122(-) | protein_length=421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311600.1-p1   -            421 5900at5820           -            459   6.5e-17   60.4   1.0   2   2       1.2   3.3e+02   -1.2   0.2   227   266   348   387   330   401 0.46 | transcript=PVP01_1311600.1 | gene=PVP01_1311600 | organism=Plasmodium_vivax_P01 | gene_product=HSP40, subfamily A, putative | transcript_product=HSP40, subfamily A, putative | location=PvP01_13_v2:535292-537122(-) | protein_length=421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1224200.1-p1   -            334 5900at5820           -            459   4.2e-16   57.7   0.7   1   1   2.3e-18   6.3e-16   57.2   0.7    19   119    40   147    37   176 0.78 | transcript=PVP01_1224200.1 | gene=PVP01_1224200 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_12_v2:937749-939756(+) | protein_length=334 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308700.1-p1   -            649 5900at5820           -            459   4.2e-15   54.5   0.0   1   1   2.3e-17   6.1e-15   53.9   0.0    22    85    79   144    74   212 0.84 | transcript=PVP01_0308700.1 | gene=PVP01_0308700 | organism=Plasmodium_vivax_P01 | gene_product=chaperone protein DnaJ, putative | transcript_product=chaperone protein DnaJ, putative | location=PvP01_03_v2:414818-416767(+) | protein_length=649 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310600.1-p1   -            245 5900at5820           -            459     1e-14   53.2   1.2   1   1   4.6e-17   1.3e-14   52.9   1.2    21   110     5    98     1   121 0.85 | transcript=PVP01_1310600.1 | gene=PVP01_1310600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=PvP01_13_v2:490903-492520(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0717500.1-p1   -            378 5900at5820           -            459     4e-14   51.2   0.8   1   1   2.4e-16   6.6e-14   50.5   0.8     6    89    31   122     3   133 0.87 | transcript=PVP01_0717500.1 | gene=PVP01_0717500 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_07_v2:780474-782408(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0217000.1-p1   -            420 5900at5820           -            459   1.1e-12   46.5   1.5   1   1   6.2e-15   1.7e-12   45.9   1.5    21    87    84   156    78   179 0.81 | transcript=PVP01_0217000.1 | gene=PVP01_0217000 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein, putative, DnaJ domain containing protein | transcript_product=heat shock protein, putative | location=PvP01_02_v2:734503-736528(-) | protein_length=420 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010500.1-p1   -            529 5900at5820           -            459   1.7e-11   42.5   4.1   1   2       0.5   1.4e+02    0.0   0.4    69   114   121   161   114   190 0.60 | transcript=PVP01_1010500.1 | gene=PVP01_1010500 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_10_v2:464999-466920(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010500.1-p1   -            529 5900at5820           -            459   1.7e-11   42.5   4.1   2   2   6.4e-14   1.7e-11   42.5   4.1    22   130   191   303   185   339 0.76 | transcript=PVP01_1010500.1 | gene=PVP01_1010500 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_10_v2:464999-466920(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510500.1-p1   -            691 5900at5820           -            459     1e-09   36.7   4.6   1   3   3.8e-12     1e-09   36.7   4.6    20    82   140   205   134   219 0.90 | transcript=PVP01_0510500.1 | gene=PVP01_0510500 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_05_v2:458994-461069(-) | protein_length=691 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
