#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1448400.1-p1   -            961 3680at5820           -            620  4.7e-289  958.6  34.5   1   7   4.1e-56     9e-53  178.1   0.1     1    98     1    98     1   110 0.95 | transcript=PVP01_1448400.1 | gene=PVP01_1448400 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar transporter chaperone, putative | transcript_product=vacuolar transporter chaperone, putative | location=PvP01_14_v2:2105607-2108737(+) | protein_length=961 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448400.1-p1   -            961 3680at5820           -            620  4.7e-289  958.6  34.5   2   7   7.5e-43   1.6e-39  134.4   0.1    95   176   122   203   119   208 0.97 | transcript=PVP01_1448400.1 | gene=PVP01_1448400 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar transporter chaperone, putative | transcript_product=vacuolar transporter chaperone, putative | location=PvP01_14_v2:2105607-2108737(+) | protein_length=961 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448400.1-p1   -            961 3680at5820           -            620  4.7e-289  958.6  34.5   3   7     8e-51   1.7e-47  160.7   0.9   177   305   288   430   284   437 0.89 | transcript=PVP01_1448400.1 | gene=PVP01_1448400 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar transporter chaperone, putative | transcript_product=vacuolar transporter chaperone, putative | location=PvP01_14_v2:2105607-2108737(+) | protein_length=961 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448400.1-p1   -            961 3680at5820           -            620  4.7e-289  958.6  34.5   4   7   2.2e-25   4.9e-22   76.6   0.2   297   360   449   512   441   521 0.90 | transcript=PVP01_1448400.1 | gene=PVP01_1448400 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar transporter chaperone, putative | transcript_product=vacuolar transporter chaperone, putative | location=PvP01_14_v2:2105607-2108737(+) | protein_length=961 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448400.1-p1   -            961 3680at5820           -            620  4.7e-289  958.6  34.5   5   7   3.8e-36   8.4e-33  112.2   0.0   358   438   549   631   537   639 0.89 | transcript=PVP01_1448400.1 | gene=PVP01_1448400 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar transporter chaperone, putative | transcript_product=vacuolar transporter chaperone, putative | location=PvP01_14_v2:2105607-2108737(+) | protein_length=961 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448400.1-p1   -            961 3680at5820           -            620  4.7e-289  958.6  34.5   6   7     1e-15   2.3e-12   44.7   0.1   447   481   699   733   674   743 0.83 | transcript=PVP01_1448400.1 | gene=PVP01_1448400 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar transporter chaperone, putative | transcript_product=vacuolar transporter chaperone, putative | location=PvP01_14_v2:2105607-2108737(+) | protein_length=961 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448400.1-p1   -            961 3680at5820           -            620  4.7e-289  958.6  34.5   7   7   5.2e-83   1.1e-79  267.0   7.0   488   620   823   958   798   958 0.93 | transcript=PVP01_1448400.1 | gene=PVP01_1448400 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar transporter chaperone, putative | transcript_product=vacuolar transporter chaperone, putative | location=PvP01_14_v2:2105607-2108737(+) | protein_length=961 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1127200.1-p1   -            790 3680at5820           -            620   4.7e-10   37.0  40.5   1   3   2.8e-06    0.0062   13.5   6.0    14   179     7   185     3   193 0.72 | transcript=PVP01_1127200.1 | gene=PVP01_1127200 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar transporter chaperone, putative | transcript_product=vacuolar transporter chaperone, putative | location=PvP01_11_v2:1194867-1197763(-) | protein_length=790 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1127200.1-p1   -            790 3680at5820           -            620   4.7e-10   37.0  40.5   2   3    0.0037       8.1    3.2   3.7   179   281   230   353   224   376 0.61 | transcript=PVP01_1127200.1 | gene=PVP01_1127200 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar transporter chaperone, putative | transcript_product=vacuolar transporter chaperone, putative | location=PvP01_11_v2:1194867-1197763(-) | protein_length=790 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1127200.1-p1   -            790 3680at5820           -            620   4.7e-10   37.0  40.5   3   3   5.2e-11   1.1e-07   29.2  14.9   300   607   416   759   406   770 0.73 | transcript=PVP01_1127200.1 | gene=PVP01_1127200 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar transporter chaperone, putative | transcript_product=vacuolar transporter chaperone, putative | location=PvP01_11_v2:1194867-1197763(-) | protein_length=790 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415100.1-p1   -            539 3680at5820           -            620     0.034   11.1   3.1   1   1   0.00021      0.47    7.3   3.1     1   133     1   157     1   164 0.65 | transcript=PVP01_0415100.1 | gene=PVP01_0415100 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_04_v2:613489-615108(+) | protein_length=539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
