#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1449600.1-p1   -           2142 1010at5820           -           1125         0 1722.4 140.4   1  11  5.1e-206  1.7e-202  673.8  27.6     1   302     1   305     1   311 0.98 | transcript=PVP01_1449600.1 | gene=PVP01_1449600 | organism=Plasmodium_vivax_P01 | gene_product=membrane protein ICM1, putative | transcript_product=membrane protein ICM1, putative | location=PvP01_14_v2:2151930-2158830(-) | protein_length=2142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1449600.1-p1   -           2142 1010at5820           -           1125         0 1722.4 140.4   2  11     4e-15   1.3e-11   41.7   0.4   302   345   368   417   336   421 0.82 | transcript=PVP01_1449600.1 | gene=PVP01_1449600 | organism=Plasmodium_vivax_P01 | gene_product=membrane protein ICM1, putative | transcript_product=membrane protein ICM1, putative | location=PvP01_14_v2:2151930-2158830(-) | protein_length=2142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1449600.1-p1   -           2142 1010at5820           -           1125         0 1722.4 140.4   3  11  4.3e-157  1.4e-153  511.8  19.5   344   568   477   701   474   717 0.97 | transcript=PVP01_1449600.1 | gene=PVP01_1449600 | organism=Plasmodium_vivax_P01 | gene_product=membrane protein ICM1, putative | transcript_product=membrane protein ICM1, putative | location=PvP01_14_v2:2151930-2158830(-) | protein_length=2142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1449600.1-p1   -           2142 1010at5820           -           1125         0 1722.4 140.4   4  11   7.9e-09   2.6e-05   20.8   1.9   565   612   749   800   744   814 0.82 | transcript=PVP01_1449600.1 | gene=PVP01_1449600 | organism=Plasmodium_vivax_P01 | gene_product=membrane protein ICM1, putative | transcript_product=membrane protein ICM1, putative | location=PvP01_14_v2:2151930-2158830(-) | protein_length=2142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1449600.1-p1   -           2142 1010at5820           -           1125         0 1722.4 140.4   5  11   3.6e-06     0.012   12.0   1.0   593   630   831   868   819   884 0.87 | transcript=PVP01_1449600.1 | gene=PVP01_1449600 | organism=Plasmodium_vivax_P01 | gene_product=membrane protein ICM1, putative | transcript_product=membrane protein ICM1, putative | location=PvP01_14_v2:2151930-2158830(-) | protein_length=2142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1449600.1-p1   -           2142 1010at5820           -           1125         0 1722.4 140.4   6  11     3e-08   9.8e-05   18.9   4.4   632   686   935   997   892  1037 0.70 | transcript=PVP01_1449600.1 | gene=PVP01_1449600 | organism=Plasmodium_vivax_P01 | gene_product=membrane protein ICM1, putative | transcript_product=membrane protein ICM1, putative | location=PvP01_14_v2:2151930-2158830(-) | protein_length=2142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1449600.1-p1   -           2142 1010at5820           -           1125         0 1722.4 140.4   7  11   1.1e-21   3.6e-18   63.4   6.0   662   767  1201  1331  1113  1352 0.76 | transcript=PVP01_1449600.1 | gene=PVP01_1449600 | organism=Plasmodium_vivax_P01 | gene_product=membrane protein ICM1, putative | transcript_product=membrane protein ICM1, putative | location=PvP01_14_v2:2151930-2158830(-) | protein_length=2142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1449600.1-p1   -           2142 1010at5820           -           1125         0 1722.4 140.4   8  11   3.4e-28   1.1e-24   84.9   5.8   772   842  1621  1690  1582  1705 0.76 | transcript=PVP01_1449600.1 | gene=PVP01_1449600 | organism=Plasmodium_vivax_P01 | gene_product=membrane protein ICM1, putative | transcript_product=membrane protein ICM1, putative | location=PvP01_14_v2:2151930-2158830(-) | protein_length=2142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1449600.1-p1   -           2142 1010at5820           -           1125         0 1722.4 140.4   9  11   5.9e-07    0.0019   14.6   0.0   854   895  1759  1803  1704  1818 0.80 | transcript=PVP01_1449600.1 | gene=PVP01_1449600 | organism=Plasmodium_vivax_P01 | gene_product=membrane protein ICM1, putative | transcript_product=membrane protein ICM1, putative | location=PvP01_14_v2:2151930-2158830(-) | protein_length=2142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1449600.1-p1   -           2142 1010at5820           -           1125         0 1722.4 140.4  10  11   2.8e-60     9e-57  191.2   7.7   881  1014  1821  1960  1812  1975 0.87 | transcript=PVP01_1449600.1 | gene=PVP01_1449600 | organism=Plasmodium_vivax_P01 | gene_product=membrane protein ICM1, putative | transcript_product=membrane protein ICM1, putative | location=PvP01_14_v2:2151930-2158830(-) | protein_length=2142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1449600.1-p1   -           2142 1010at5820           -           1125         0 1722.4 140.4  11  11   7.3e-44   2.4e-40  136.9   0.1  1004  1125  2007  2142  1996  2142 0.85 | transcript=PVP01_1449600.1 | gene=PVP01_1449600 | organism=Plasmodium_vivax_P01 | gene_product=membrane protein ICM1, putative | transcript_product=membrane protein ICM1, putative | location=PvP01_14_v2:2151930-2158830(-) | protein_length=2142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
