#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0618000.1-p1   -           1467 2415at5820           -            990         0 1306.3  69.7   1   9   1.9e-17   6.4e-14   49.3   2.0     1    45     2    46     2    52 0.90 | transcript=PVP01_0618000.1 | gene=PVP01_0618000 | organism=Plasmodium_vivax_P01 | gene_product=RNA polymerase II-associated protein 1, putative | transcript_product=RNA polymerase II-associated protein 1, putative | location=PvP01_06_v2:735977-740380(-) | protein_length=1467 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618000.1-p1   -           1467 2415at5820           -            990         0 1306.3  69.7   2   9   2.5e-13     8e-10   35.8   0.0    41    85    81   124    71   139 0.81 | transcript=PVP01_0618000.1 | gene=PVP01_0618000 | organism=Plasmodium_vivax_P01 | gene_product=RNA polymerase II-associated protein 1, putative | transcript_product=RNA polymerase II-associated protein 1, putative | location=PvP01_06_v2:735977-740380(-) | protein_length=1467 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618000.1-p1   -           1467 2415at5820           -            990         0 1306.3  69.7   3   9     2e-73   6.6e-70  234.6   1.9    79   210   158   289   149   292 0.95 | transcript=PVP01_0618000.1 | gene=PVP01_0618000 | organism=Plasmodium_vivax_P01 | gene_product=RNA polymerase II-associated protein 1, putative | transcript_product=RNA polymerase II-associated protein 1, putative | location=PvP01_06_v2:735977-740380(-) | protein_length=1467 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618000.1-p1   -           1467 2415at5820           -            990         0 1306.3  69.7   4   9   1.2e-49   4.1e-46  155.9   0.3   210   319   322   441   311   446 0.90 | transcript=PVP01_0618000.1 | gene=PVP01_0618000 | organism=Plasmodium_vivax_P01 | gene_product=RNA polymerase II-associated protein 1, putative | transcript_product=RNA polymerase II-associated protein 1, putative | location=PvP01_06_v2:735977-740380(-) | protein_length=1467 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618000.1-p1   -           1467 2415at5820           -            990         0 1306.3  69.7   5   9  1.1e-102   3.6e-99  331.5   6.7   316   543   523   783   515   789 0.88 | transcript=PVP01_0618000.1 | gene=PVP01_0618000 | organism=Plasmodium_vivax_P01 | gene_product=RNA polymerase II-associated protein 1, putative | transcript_product=RNA polymerase II-associated protein 1, putative | location=PvP01_06_v2:735977-740380(-) | protein_length=1467 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618000.1-p1   -           1467 2415at5820           -            990         0 1306.3  69.7   6   9   7.1e-28   2.3e-24   83.9   1.3   545   649   814   955   808   962 0.80 | transcript=PVP01_0618000.1 | gene=PVP01_0618000 | organism=Plasmodium_vivax_P01 | gene_product=RNA polymerase II-associated protein 1, putative | transcript_product=RNA polymerase II-associated protein 1, putative | location=PvP01_06_v2:735977-740380(-) | protein_length=1467 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618000.1-p1   -           1467 2415at5820           -            990         0 1306.3  69.7   7   9   4.4e-21   1.4e-17   61.4   2.6   641   711   977  1068   971  1070 0.84 | transcript=PVP01_0618000.1 | gene=PVP01_0618000 | organism=Plasmodium_vivax_P01 | gene_product=RNA polymerase II-associated protein 1, putative | transcript_product=RNA polymerase II-associated protein 1, putative | location=PvP01_06_v2:735977-740380(-) | protein_length=1467 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618000.1-p1   -           1467 2415at5820           -            990         0 1306.3  69.7   8   9   2.1e-51   6.8e-48  161.8   0.3   710   838  1130  1274  1125  1281 0.87 | transcript=PVP01_0618000.1 | gene=PVP01_0618000 | organism=Plasmodium_vivax_P01 | gene_product=RNA polymerase II-associated protein 1, putative | transcript_product=RNA polymerase II-associated protein 1, putative | location=PvP01_06_v2:735977-740380(-) | protein_length=1467 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618000.1-p1   -           1467 2415at5820           -            990         0 1306.3  69.7   9   9   8.7e-70   2.9e-66  222.6   5.0   839   989  1300  1460  1292  1461 0.92 | transcript=PVP01_0618000.1 | gene=PVP01_0618000 | organism=Plasmodium_vivax_P01 | gene_product=RNA polymerase II-associated protein 1, putative | transcript_product=RNA polymerase II-associated protein 1, putative | location=PvP01_06_v2:735977-740380(-) | protein_length=1467 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223700.1-p1   -            662 2415at5820           -            990      0.32    7.3   3.1   1   1   0.00017      0.54    6.5   3.1    13    92   292   374   286   382 0.74 | transcript=PVP01_1223700.1 | gene=PVP01_1223700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_12_v2:918668-920891(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
