#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1251400.1-p1   -           1038 1690at5820           -            766         0 1468.3  77.2   1   4    1e-173  1.4e-170  568.0  14.3     1   259     1   259     1   268 0.99 | transcript=PVP01_1251400.1 | gene=PVP01_1251400 | organism=Plasmodium_vivax_P01 | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=PvP01_12_v2:2105913-2109464(-) | protein_length=1038 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1251400.1-p1   -           1038 1690at5820           -            766         0 1468.3  77.2   2   4  2.4e-219  3.2e-216  718.9  38.3   259   630   307   720   302   727 0.93 | transcript=PVP01_1251400.1 | gene=PVP01_1251400 | organism=Plasmodium_vivax_P01 | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=PvP01_12_v2:2105913-2109464(-) | protein_length=1038 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1251400.1-p1   -           1038 1690at5820           -            766         0 1468.3  77.2   3   4     0.001       1.3    5.9   0.0   613   635   748   770   737   782 0.82 | transcript=PVP01_1251400.1 | gene=PVP01_1251400 | organism=Plasmodium_vivax_P01 | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=PvP01_12_v2:2105913-2109464(-) | protein_length=1038 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1251400.1-p1   -           1038 1690at5820           -            766         0 1468.3  77.2   4   4   5.2e-56   6.8e-53  178.8   6.3   625   765   857  1035   814  1036 0.85 | transcript=PVP01_1251400.1 | gene=PVP01_1251400 | organism=Plasmodium_vivax_P01 | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=PvP01_12_v2:2105913-2109464(-) | protein_length=1038 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0702500.1-p1   -           1319 1690at5820           -            766   1.2e-42  144.9  24.8   1   3   9.1e-46   1.2e-42  144.9  24.8     5   440    16   451    12   460 0.88 | transcript=PVP01_0702500.1 | gene=PVP01_0702500 | organism=Plasmodium_vivax_P01 | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=PvP01_07_v2:149989-155006(-) | protein_length=1319 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0702500.1-p1   -           1319 1690at5820           -            766   1.2e-42  144.9  24.8   2   3    0.0096        12    2.7   3.9   556   599   686   724   633   748 0.77 | transcript=PVP01_0702500.1 | gene=PVP01_0702500 | organism=Plasmodium_vivax_P01 | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=PvP01_07_v2:149989-155006(-) | protein_length=1319 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0702500.1-p1   -           1319 1690at5820           -            766   1.2e-42  144.9  24.8   3   3       1.2   1.5e+03   -4.2   2.1   511   554  1251  1294  1235  1305 0.80 | transcript=PVP01_0702500.1 | gene=PVP01_0702500 | organism=Plasmodium_vivax_P01 | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=PvP01_07_v2:149989-155006(-) | protein_length=1319 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1132000.1-p1   -           1293 1690at5820           -            766   2.2e-27   94.4  33.2   1   3   3.9e-25   5.1e-22   76.7  12.0     6   169    10   178     4   232 0.87 | transcript=PVP01_1132000.1 | gene=PVP01_1132000 | organism=Plasmodium_vivax_P01 | gene_product=AP-2 complex subunit alpha, putative | transcript_product=AP-2 complex subunit alpha, putative | location=PvP01_11_v2:1368961-1373738(-) | protein_length=1293 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1132000.1-p1   -           1293 1690at5820           -            766   2.2e-27   94.4  33.2   2   3     8e-09     1e-05   22.7   8.2   275   426   553   708   548   718 0.85 | transcript=PVP01_1132000.1 | gene=PVP01_1132000 | organism=Plasmodium_vivax_P01 | gene_product=AP-2 complex subunit alpha, putative | transcript_product=AP-2 complex subunit alpha, putative | location=PvP01_11_v2:1368961-1373738(-) | protein_length=1293 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1132000.1-p1   -           1293 1690at5820           -            766   2.2e-27   94.4  33.2   3   3    0.0063       8.2    3.3   0.2   557   607   848   898   836   932 0.78 | transcript=PVP01_1132000.1 | gene=PVP01_1132000 | organism=Plasmodium_vivax_P01 | gene_product=AP-2 complex subunit alpha, putative | transcript_product=AP-2 complex subunit alpha, putative | location=PvP01_11_v2:1368961-1373738(-) | protein_length=1293 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0112300.1-p1   -           1421 1690at5820           -            766   1.3e-06   25.7   0.4   1   3     0.056        73    0.1   0.0    48   120    62   134    54   166 0.70 | transcript=PVP01_0112300.1 | gene=PVP01_0112300 | organism=Plasmodium_vivax_P01 | gene_product=AP-3 complex subunit delta, putative | transcript_product=AP-3 complex subunit delta, putative | location=PvP01_01_v2:559881-564446(-) | protein_length=1421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0112300.1-p1   -           1421 1690at5820           -            766   1.3e-06   25.7   0.4   2   3     1e-09   1.3e-06   25.7   0.4   110   178   208   276   200   286 0.89 | transcript=PVP01_0112300.1 | gene=PVP01_0112300 | organism=Plasmodium_vivax_P01 | gene_product=AP-3 complex subunit delta, putative | transcript_product=AP-3 complex subunit delta, putative | location=PvP01_01_v2:559881-564446(-) | protein_length=1421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0112300.1-p1   -           1421 1690at5820           -            766   1.3e-06   25.7   0.4   3   3      0.95   1.2e+03   -3.9   0.1   307   371   514   585   509   598 0.57 | transcript=PVP01_0112300.1 | gene=PVP01_0112300 | organism=Plasmodium_vivax_P01 | gene_product=AP-3 complex subunit delta, putative | transcript_product=AP-3 complex subunit delta, putative | location=PvP01_01_v2:559881-564446(-) | protein_length=1421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1319600.1-p1   -           1317 1690at5820           -            766   1.8e-06   25.3  19.6   1   3   9.4e-08   0.00012   19.2   0.5    98   179    99   181    68   213 0.85 | transcript=PVP01_1319600.1 | gene=PVP01_1319600 | organism=Plasmodium_vivax_P01 | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=PvP01_13_v2:892870-897144(-) | protein_length=1317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1319600.1-p1   -           1317 1690at5820           -            766   1.8e-06   25.3  19.6   2   3   2.1e-06    0.0027   14.8   6.3   260   380   354   474   341   492 0.80 | transcript=PVP01_1319600.1 | gene=PVP01_1319600 | organism=Plasmodium_vivax_P01 | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=PvP01_13_v2:892870-897144(-) | protein_length=1317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1319600.1-p1   -           1317 1690at5820           -            766   1.8e-06   25.3  19.6   3   3      0.12   1.6e+02   -1.0   0.4   102   183   535   620   532   663 0.80 | transcript=PVP01_1319600.1 | gene=PVP01_1319600 | organism=Plasmodium_vivax_P01 | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=PvP01_13_v2:892870-897144(-) | protein_length=1317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1690at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1690at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1690at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:09 2026
# [ok]
