#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1113600.1-p1   -            335 10505at5820          -            263  1.1e-130  433.2  50.3   1   1  3.6e-133  3.9e-130  431.4  50.3     1   263    51   334    51   334 0.93 | transcript=PVP01_1113600.1 | gene=PVP01_1113600 | organism=Plasmodium_vivax_P01 | gene_product=rhomboid protease ROM7, putative | transcript_product=rhomboid protease ROM7, putative | location=PvP01_11_v2:586140-587147(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506400.1-p1   -            268 10505at5820          -            263   5.4e-05   21.2   1.6   1   3      0.19   2.1e+02   -0.4   0.2   126   153    39    64    31    75 0.70 | transcript=PVP01_0506400.1 | gene=PVP01_0506400 | organism=Plasmodium_vivax_P01 | gene_product=rhomboid protease ROM3, putative | transcript_product=rhomboid protease ROM3, putative | location=PvP01_05_v2:282088-283313(-) | protein_length=268 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506400.1-p1   -            268 10505at5820          -            263   5.4e-05   21.2   1.6   2   3   4.9e-08   5.4e-05   21.2   1.6   104   159    92   147    78   151 0.90 | transcript=PVP01_0506400.1 | gene=PVP01_0506400 | organism=Plasmodium_vivax_P01 | gene_product=rhomboid protease ROM3, putative | transcript_product=rhomboid protease ROM3, putative | location=PvP01_05_v2:282088-283313(-) | protein_length=268 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506400.1-p1   -            268 10505at5820          -            263   5.4e-05   21.2   1.6   3   3   0.00018       0.2    9.5   6.1   187   254   152   222   147   226 0.74 | transcript=PVP01_0506400.1 | gene=PVP01_0506400 | organism=Plasmodium_vivax_P01 | gene_product=rhomboid protease ROM3, putative | transcript_product=rhomboid protease ROM3, putative | location=PvP01_05_v2:282088-283313(-) | protein_length=268 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1014000.1-p1   -            475 10505at5820          -            263   0.00032   18.6   6.2   1   1   4.7e-07   0.00051   18.0   6.2    62   162   285   390   248   413 0.72 | transcript=PVP01_1014000.1 | gene=PVP01_1014000 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_10_v2:622174-623601(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1027100.1-p1   -            627 10505at5820          -            263     0.003   15.5   0.3   1   3     0.091        99    0.7   0.2   185   226   203   242   176   248 0.74 | transcript=PVP01_1027100.1 | gene=PVP01_1027100 | organism=Plasmodium_vivax_P01 | gene_product=rhomboid protease ROM4, putative | transcript_product=rhomboid protease ROM4, putative | location=PvP01_10_v2:1171368-1173251(+) | protein_length=627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1027100.1-p1   -            627 10505at5820          -            263     0.003   15.5   0.3   2   3   2.8e-06     0.003   15.5   0.3   103   159   328   384   315   387 0.88 | transcript=PVP01_1027100.1 | gene=PVP01_1027100 | organism=Plasmodium_vivax_P01 | gene_product=rhomboid protease ROM4, putative | transcript_product=rhomboid protease ROM4, putative | location=PvP01_10_v2:1171368-1173251(+) | protein_length=627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1027100.1-p1   -            627 10505at5820          -            263     0.003   15.5   0.3   3   3      0.11   1.2e+02    0.4   3.4   187   246   389   452   385   469 0.57 | transcript=PVP01_1027100.1 | gene=PVP01_1027100 | organism=Plasmodium_vivax_P01 | gene_product=rhomboid protease ROM4, putative | transcript_product=rhomboid protease ROM4, putative | location=PvP01_10_v2:1171368-1173251(+) | protein_length=627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0914900.1-p1   -            276 10505at5820          -            263    0.0043   15.0   4.7   1   2   3.9e-06    0.0043   15.0   4.7   102   157   100   155    89   164 0.88 | transcript=PVP01_0914900.1 | gene=PVP01_0914900 | organism=Plasmodium_vivax_P01 | gene_product=rhomboid protease ROM1, putative | transcript_product=rhomboid protease ROM1, putative | location=PvP01_09_v2:678815-680269(+) | protein_length=276 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0914900.1-p1   -            276 10505at5820          -            263    0.0043   15.0   4.7   2   2     0.075        81    0.9   5.7   188   255   163   234   158   240 0.65 | transcript=PVP01_0914900.1 | gene=PVP01_0914900 | organism=Plasmodium_vivax_P01 | gene_product=rhomboid protease ROM1, putative | transcript_product=rhomboid protease ROM1, putative | location=PvP01_09_v2:678815-680269(+) | protein_length=276 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1018800.1-p1   -            416 10505at5820          -            263      0.89    7.4  11.1   1   1    0.0018       1.9    6.3  11.1    93   254   248   406   234   411 0.72 | transcript=PVP01_1018800.1 | gene=PVP01_1018800 | organism=Plasmodium_vivax_P01 | gene_product=rhomboid protease ROM9, putative | transcript_product=rhomboid protease ROM9, putative | location=PvP01_10_v2:833785-835369(+) | protein_length=416 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10505at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10505at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10505at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:29 2026
# [ok]
