#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1202300.1-p1   -            209 12072at5820          -            169  3.7e-105  347.6   3.7   1   1  8.4e-108  4.6e-105  347.3   3.7     1   169    11   183    11   183 0.97 | transcript=PVP01_1202300.1 | gene=PVP01_1202300 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin-related protein, putative | transcript_product=thioredoxin-related protein, putative | location=PvP01_12_v2:97200-98220(+) | protein_length=209 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506500.1-p1   -            482 12072at5820          -            169   2.9e-28   97.4   1.0   1   4   4.8e-14   2.6e-11   42.2   0.1    35   104    47   119    10   173 0.81 | transcript=PVP01_0506500.1 | gene=PVP01_0506500 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_05_v2:285877-287443(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506500.1-p1   -            482 12072at5820          -            169   2.9e-28   97.4   1.0   2   4      0.93   5.1e+02   -1.0   0.1    41    83   159   198   125   265 0.64 | transcript=PVP01_0506500.1 | gene=PVP01_0506500 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_05_v2:285877-287443(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506500.1-p1   -            482 12072at5820          -            169   2.9e-28   97.4   1.0   3   4      0.49   2.7e+02   -0.1   0.0    61   119   268   327   251   346 0.77 | transcript=PVP01_0506500.1 | gene=PVP01_0506500 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_05_v2:285877-287443(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506500.1-p1   -            482 12072at5820          -            169   2.9e-28   97.4   1.0   4   4   9.6e-17   5.2e-14   51.0   0.0    38   122   374   461   365   470 0.86 | transcript=PVP01_0506500.1 | gene=PVP01_0506500 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_05_v2:285877-287443(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0934900.1-p1   -            424 12072at5820          -            169   2.6e-22   78.0   9.4   1   3   6.1e-09   3.3e-06   25.6   1.2    38   126    51   139    38   155 0.74 | transcript=PVP01_0934900.1 | gene=PVP01_0934900 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_09_v2:1486738-1488012(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0934900.1-p1   -            424 12072at5820          -            169   2.6e-22   78.0   9.4   2   3   5.9e-18   3.2e-15   54.9   0.5    14   126   166   281   162   300 0.83 | transcript=PVP01_0934900.1 | gene=PVP01_0934900 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_09_v2:1486738-1488012(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0934900.1-p1   -            424 12072at5820          -            169   2.6e-22   78.0   9.4   3   3      0.18     1e+02    1.2   0.0    88   121   357   391   311   411 0.81 | transcript=PVP01_0934900.1 | gene=PVP01_0934900 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_09_v2:1486738-1488012(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1234200.1-p1   -            543 12072at5820          -            169   5.6e-12   44.4   5.6   1   2   2.9e-08   1.6e-05   23.4   0.9    21   107    32   119     8   170 0.77 | transcript=PVP01_1234200.1 | gene=PVP01_1234200 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_12_v2:1366295-1368471(+) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1234200.1-p1   -            543 12072at5820          -            169   5.6e-12   44.4   5.6   2   2   4.6e-08   2.5e-05   22.7   0.3    35   120   420   515   411   540 0.72 | transcript=PVP01_1234200.1 | gene=PVP01_1234200 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_12_v2:1366295-1368471(+) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909500.1-p1   -            549 12072at5820          -            169     5e-10   38.0   5.1   1   1   2.1e-12   1.1e-09   36.9   4.6    10   127   179   292   172   308 0.91 | transcript=PVP01_0909500.1 | gene=PVP01_0909500 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein J2, putative | transcript_product=heat shock protein J2, putative | location=PvP01_09_v2:501995-503644(-) | protein_length=549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
