#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1459300.1-p1   -            635 5333at5820           -            493  2.9e-270  895.5   6.6   1   3      0.29   6.2e+02   -2.7   0.0     1    29     1    35     1    47 0.64 | transcript=PVP01_1459300.1 | gene=PVP01_1459300 | organism=Plasmodium_vivax_P01 | gene_product=queuine tRNA-ribosyltransferase, putative | transcript_product=queuine tRNA-ribosyltransferase, putative | location=PvP01_14_v2:2586194-2588101(+) | protein_length=635 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1459300.1-p1   -            635 5333at5820           -            493  2.9e-270  895.5   6.6   2   3   2.9e-81   6.3e-78  261.1   0.1    45   172   129   257   102   264 0.94 | transcript=PVP01_1459300.1 | gene=PVP01_1459300 | organism=Plasmodium_vivax_P01 | gene_product=queuine tRNA-ribosyltransferase, putative | transcript_product=queuine tRNA-ribosyltransferase, putative | location=PvP01_14_v2:2586194-2588101(+) | protein_length=635 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1459300.1-p1   -            635 5333at5820           -            493  2.9e-270  895.5   6.6   3   3  3.8e-195  8.4e-192  636.7   1.6   179   493   303   635   291   635 0.98 | transcript=PVP01_1459300.1 | gene=PVP01_1459300 | organism=Plasmodium_vivax_P01 | gene_product=queuine tRNA-ribosyltransferase, putative | transcript_product=queuine tRNA-ribosyltransferase, putative | location=PvP01_14_v2:2586194-2588101(+) | protein_length=635 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0313200.1-p1   -            721 5333at5820           -            493   3.2e-42  143.3  12.6   1   3   8.1e-13   1.8e-09   35.3   0.1    85   159   222   296   215   301 0.94 | transcript=PVP01_0313200.1 | gene=PVP01_0313200 | organism=Plasmodium_vivax_P01 | gene_product=queuine tRNA-ribosyltransferase, putative | transcript_product=queuine tRNA-ribosyltransferase, putative | location=PvP01_03_v2:567697-569862(+) | protein_length=721 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0313200.1-p1   -            721 5333at5820           -            493   3.2e-42  143.3  12.6   2   3   3.1e-10   6.7e-07   26.8   0.0   203   258   372   428   354   431 0.87 | transcript=PVP01_0313200.1 | gene=PVP01_0313200 | organism=Plasmodium_vivax_P01 | gene_product=queuine tRNA-ribosyltransferase, putative | transcript_product=queuine tRNA-ribosyltransferase, putative | location=PvP01_03_v2:567697-569862(+) | protein_length=721 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0313200.1-p1   -            721 5333at5820           -            493   3.2e-42  143.3  12.6   3   3     1e-25   2.3e-22   77.9   8.1   288   482   429   611   424   620 0.89 | transcript=PVP01_0313200.1 | gene=PVP01_0313200 | organism=Plasmodium_vivax_P01 | gene_product=queuine tRNA-ribosyltransferase, putative | transcript_product=queuine tRNA-ribosyltransferase, putative | location=PvP01_03_v2:567697-569862(+) | protein_length=721 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315400.1-p1   -            413 5333at5820           -            493   1.2e-06   26.0   0.4   1   3      0.22   4.7e+02   -2.3   0.2   405   432    40    66    23   142 0.57 | transcript=PVP01_1315400.1 | gene=PVP01_1315400 | organism=Plasmodium_vivax_P01 | gene_product=queuine tRNA-ribosyltransferase, putative | transcript_product=queuine tRNA-ribosyltransferase, putative | location=PvP01_13_v2:707560-708801(-) | protein_length=413 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315400.1-p1   -            413 5333at5820           -            493   1.2e-06   26.0   0.4   2   3      0.42   9.1e+02   -3.3   0.1    18    51   161   194   147   199 0.54 | transcript=PVP01_1315400.1 | gene=PVP01_1315400 | organism=Plasmodium_vivax_P01 | gene_product=queuine tRNA-ribosyltransferase, putative | transcript_product=queuine tRNA-ribosyltransferase, putative | location=PvP01_13_v2:707560-708801(-) | protein_length=413 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315400.1-p1   -            413 5333at5820           -            493   1.2e-06   26.0   0.4   3   3   5.7e-10   1.2e-06   26.0   0.4   357   483   266   398   246   407 0.73 | transcript=PVP01_1315400.1 | gene=PVP01_1315400 | organism=Plasmodium_vivax_P01 | gene_product=queuine tRNA-ribosyltransferase, putative | transcript_product=queuine tRNA-ribosyltransferase, putative | location=PvP01_13_v2:707560-708801(-) | protein_length=413 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5333at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5333at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5333at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:14 2026
# [ok]
