#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1006800.1-p1   -            971 2247at5820           -            776         0 1691.9  28.1   1   2         0         0 1574.8  19.6     1   712    25   796    25   821 0.96 | transcript=PVP01_1006800.1 | gene=PVP01_1006800 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=PvP01_10_v2:298381-301416(+) | protein_length=971 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1006800.1-p1   -            971 2247at5820           -            776         0 1691.9  28.1   2   2     8e-38   6.5e-35  118.8   1.3   705   776   894   971   890   971 0.95 | transcript=PVP01_1006800.1 | gene=PVP01_1006800 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=PvP01_10_v2:298381-301416(+) | protein_length=971 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310900.1-p1   -            758 2247at5820           -            776     2e-70  236.2   0.7   1   3      0.73     6e+02   -3.5   0.0   636   679    34    77    25    82 0.80 | transcript=PVP01_1310900.1 | gene=PVP01_1310900 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM5, putative | transcript_product=DNA replication licensing factor MCM5, putative | location=PvP01_13_v2:508554-511294(+) | protein_length=758 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310900.1-p1   -            758 2247at5820           -            776     2e-70  236.2   0.7   2   3   1.1e-69     9e-67  224.1   0.1   227   541   259   578   160   589 0.81 | transcript=PVP01_1310900.1 | gene=PVP01_1310900 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM5, putative | transcript_product=DNA replication licensing factor MCM5, putative | location=PvP01_13_v2:508554-511294(+) | protein_length=758 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310900.1-p1   -            758 2247at5820           -            776     2e-70  236.2   0.7   3   3   6.2e-05     0.051   10.0   0.0   626   692   603   670   591   679 0.83 | transcript=PVP01_1310900.1 | gene=PVP01_1310900 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM5, putative | transcript_product=DNA replication licensing factor MCM5, putative | location=PvP01_13_v2:508554-511294(+) | protein_length=758 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1418000.1-p1   -            955 2247at5820           -            776   2.1e-69  232.8   6.4   1   1   2.5e-69     2e-66  223.0   6.4   137   748   263   911   253   927 0.75 | transcript=PVP01_1418000.1 | gene=PVP01_1418000 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM4, putative | transcript_product=DNA replication licensing factor MCM4, putative | location=PvP01_14_v2:783485-786352(+) | protein_length=955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331100.1-p1   -            972 2247at5820           -            776   6.3e-69  231.3   1.7   1   3   3.4e-16   2.7e-13   47.3   0.0   144   365   308   519   264   528 0.72 | transcript=PVP01_1331100.1 | gene=PVP01_1331100 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM2, putative | transcript_product=DNA replication licensing factor MCM2, putative | location=PvP01_13_v2:1303469-1306564(-) | protein_length=972 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331100.1-p1   -            972 2247at5820           -            776   6.3e-69  231.3   1.7   2   3   1.8e-51   1.4e-48  163.9   0.0   369   549   548   734   543   758 0.91 | transcript=PVP01_1331100.1 | gene=PVP01_1331100 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM2, putative | transcript_product=DNA replication licensing factor MCM2, putative | location=PvP01_13_v2:1303469-1306564(-) | protein_length=972 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331100.1-p1   -            972 2247at5820           -            776   6.3e-69  231.3   1.7   3   3   3.6e-07    0.0003   17.4   0.1   624   697   778   843   757   859 0.76 | transcript=PVP01_1331100.1 | gene=PVP01_1331100 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM2, putative | transcript_product=DNA replication licensing factor MCM2, putative | location=PvP01_13_v2:1303469-1306564(-) | protein_length=972 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116800.1-p1   -            944 2247at5820           -            776   6.9e-66  221.2   6.6   1   3   4.9e-09     4e-06   23.6   0.1   228   277   296   345   202   375 0.75 | transcript=PVP01_1116800.1 | gene=PVP01_1116800 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM6, putative | transcript_product=DNA replication licensing factor MCM6, putative | location=PvP01_11_v2:720577-723411(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116800.1-p1   -            944 2247at5820           -            776   6.9e-66  221.2   6.6   2   3   5.8e-60   4.7e-57  192.0   0.3   318   548   432   668   414   686 0.92 | transcript=PVP01_1116800.1 | gene=PVP01_1116800 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM6, putative | transcript_product=DNA replication licensing factor MCM6, putative | location=PvP01_11_v2:720577-723411(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
