#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0320400.1-p1   -           3267 1275at5820           -           1790         0 2808.5 210.6   1  12   4.7e-10     3e-06   23.3   0.2     1    26     1    26     1    32 0.93 | transcript=PVP01_0320400.1 | gene=PVP01_0320400 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 6, putative | transcript_product=bromodomain protein 6, putative | location=PvP01_03_v2:849876-860321(-) | protein_length=3267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0320400.1-p1   -           3267 1275at5820           -           1790         0 2808.5 210.6   2  12   1.6e-17     1e-13   48.1   0.4    27    75   179   230   174   233 0.88 | transcript=PVP01_0320400.1 | gene=PVP01_0320400 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 6, putative | transcript_product=bromodomain protein 6, putative | location=PvP01_03_v2:849876-860321(-) | protein_length=3267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0320400.1-p1   -           3267 1275at5820           -           1790         0 2808.5 210.6   3  12   1.9e-82   1.2e-78  263.3  11.3    75   259   385   585   354   597 0.91 | transcript=PVP01_0320400.1 | gene=PVP01_0320400 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 6, putative | transcript_product=bromodomain protein 6, putative | location=PvP01_03_v2:849876-860321(-) | protein_length=3267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0320400.1-p1   -           3267 1275at5820           -           1790         0 2808.5 210.6   4  12  1.1e-112  7.1e-109  363.6  17.6   258   471   739   957   735   960 0.97 | transcript=PVP01_0320400.1 | gene=PVP01_0320400 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 6, putative | transcript_product=bromodomain protein 6, putative | location=PvP01_03_v2:849876-860321(-) | protein_length=3267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0320400.1-p1   -           3267 1275at5820           -           1790         0 2808.5 210.6   5  12  1.6e-116    1e-112  376.3  18.7   470   719   998  1287   995  1307 0.87 | transcript=PVP01_0320400.1 | gene=PVP01_0320400 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 6, putative | transcript_product=bromodomain protein 6, putative | location=PvP01_03_v2:849876-860321(-) | protein_length=3267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0320400.1-p1   -           3267 1275at5820           -           1790         0 2808.5 210.6   6  12   2.1e-74   1.3e-70  236.7  10.4   686   841  1403  1562  1375  1574 0.85 | transcript=PVP01_0320400.1 | gene=PVP01_0320400 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 6, putative | transcript_product=bromodomain protein 6, putative | location=PvP01_03_v2:849876-860321(-) | protein_length=3267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0320400.1-p1   -           3267 1275at5820           -           1790         0 2808.5 210.6   7  12  2.9e-133  1.9e-129  431.8  11.1   825  1060  1783  2019  1779  2028 0.93 | transcript=PVP01_0320400.1 | gene=PVP01_0320400 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 6, putative | transcript_product=bromodomain protein 6, putative | location=PvP01_03_v2:849876-860321(-) | protein_length=3267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0320400.1-p1   -           3267 1275at5820           -           1790         0 2808.5 210.6   8  12    0.0001      0.65    5.6   0.0  1060  1089  2081  2111  2077  2128 0.84 | transcript=PVP01_0320400.1 | gene=PVP01_0320400 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 6, putative | transcript_product=bromodomain protein 6, putative | location=PvP01_03_v2:849876-860321(-) | protein_length=3267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0320400.1-p1   -           3267 1275at5820           -           1790         0 2808.5 210.6   9  12     1e-88   6.5e-85  284.1  14.5  1085  1265  2229  2422  2206  2428 0.89 | transcript=PVP01_0320400.1 | gene=PVP01_0320400 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 6, putative | transcript_product=bromodomain protein 6, putative | location=PvP01_03_v2:849876-860321(-) | protein_length=3267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0320400.1-p1   -           3267 1275at5820           -           1790         0 2808.5 210.6  10  12     8e-65   5.2e-61  204.9  22.3  1262  1438  2582  2820  2575  2827 0.83 | transcript=PVP01_0320400.1 | gene=PVP01_0320400 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 6, putative | transcript_product=bromodomain protein 6, putative | location=PvP01_03_v2:849876-860321(-) | protein_length=3267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0320400.1-p1   -           3267 1275at5820           -           1790         0 2808.5 210.6  11  12   1.1e-59   7.3e-56  187.8   8.9  1438  1547  2852  2961  2848  2965 0.98 | transcript=PVP01_0320400.1 | gene=PVP01_0320400 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 6, putative | transcript_product=bromodomain protein 6, putative | location=PvP01_03_v2:849876-860321(-) | protein_length=3267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0320400.1-p1   -           3267 1275at5820           -           1790         0 2808.5 210.6  12  12  2.1e-134  1.4e-130  435.6  17.9  1556  1790  3026  3267  3007  3267 0.95 | transcript=PVP01_0320400.1 | gene=PVP01_0320400 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 6, putative | transcript_product=bromodomain protein 6, putative | location=PvP01_03_v2:849876-860321(-) | protein_length=3267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1275at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1275at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1275at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:49 2026
# [ok]
