#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0113800.1-p1   -           2096 848at5820            -           1220         0 1576.4  82.8   1  12  5.3e-119  3.5e-115  384.6  14.6     1   238    92   334    92   339 0.97 | transcript=PVP01_0113800.1 | gene=PVP01_0113800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_01_v2:614389-620930(-) | protein_length=2096 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113800.1-p1   -           2096 848at5820            -           1220         0 1576.4  82.8   2  12   3.4e-54   2.2e-50  169.9   2.7   240   357   402   526   399   534 0.91 | transcript=PVP01_0113800.1 | gene=PVP01_0113800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_01_v2:614389-620930(-) | protein_length=2096 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113800.1-p1   -           2096 848at5820            -           1220         0 1576.4  82.8   3  12   2.3e-11   1.5e-07   28.1   0.0   352   392   546   591   540   596 0.92 | transcript=PVP01_0113800.1 | gene=PVP01_0113800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_01_v2:614389-620930(-) | protein_length=2096 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113800.1-p1   -           2096 848at5820            -           1220         0 1576.4  82.8   4  12    0.0015       9.6    2.2   0.0   394   414   688   708   683   712 0.90 | transcript=PVP01_0113800.1 | gene=PVP01_0113800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_01_v2:614389-620930(-) | protein_length=2096 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113800.1-p1   -           2096 848at5820            -           1220         0 1576.4  82.8   5  12   0.00064       4.2    3.4   0.0   414   435   773   794   768   799 0.85 | transcript=PVP01_0113800.1 | gene=PVP01_0113800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_01_v2:614389-620930(-) | protein_length=2096 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113800.1-p1   -           2096 848at5820            -           1220         0 1576.4  82.8   6  12   1.1e-15   7.1e-12   42.4   0.3   426   477   823   874   816   892 0.90 | transcript=PVP01_0113800.1 | gene=PVP01_0113800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_01_v2:614389-620930(-) | protein_length=2096 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113800.1-p1   -           2096 848at5820            -           1220         0 1576.4  82.8   7  12   4.7e-10   3.1e-06   23.7   9.6   473   541   957  1051   953  1057 0.70 | transcript=PVP01_0113800.1 | gene=PVP01_0113800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_01_v2:614389-620930(-) | protein_length=2096 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113800.1-p1   -           2096 848at5820            -           1220         0 1576.4  82.8   8  12   3.4e-25   2.2e-21   73.9   0.1   539   607  1083  1154  1079  1169 0.87 | transcript=PVP01_0113800.1 | gene=PVP01_0113800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_01_v2:614389-620930(-) | protein_length=2096 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113800.1-p1   -           2096 848at5820            -           1220         0 1576.4  82.8   9  12   1.4e-26     9e-23   78.5   0.0   628   709  1250  1333  1214  1338 0.81 | transcript=PVP01_0113800.1 | gene=PVP01_0113800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_01_v2:614389-620930(-) | protein_length=2096 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113800.1-p1   -           2096 848at5820            -           1220         0 1576.4  82.8  10  12   1.3e-17   8.4e-14   48.8   0.4   709   764  1387  1450  1379  1469 0.82 | transcript=PVP01_0113800.1 | gene=PVP01_0113800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_01_v2:614389-620930(-) | protein_length=2096 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113800.1-p1   -           2096 848at5820            -           1220         0 1576.4  82.8  11  12  8.1e-115  5.3e-111  370.7   2.7   767  1007  1553  1810  1545  1814 0.91 | transcript=PVP01_0113800.1 | gene=PVP01_0113800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_01_v2:614389-620930(-) | protein_length=2096 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
