#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1142400.1-p1   -            757 4978at5820           -            500    2e-291  965.6  33.8   1   3   1.6e-17   9.5e-15   53.0   1.8     1    44     1    44     1    50 0.94 | transcript=PVP01_1142400.1 | gene=PVP01_1142400 | organism=Plasmodium_vivax_P01 | gene_product=polypyrimidine tract-binding protein, putative | transcript_product=polypyrimidine tract-binding protein, putative | location=PvP01_11_v2:1805221-1808242(+) | protein_length=757 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142400.1-p1   -            757 4978at5820           -            500    2e-291  965.6  33.8   2   3   1.2e-57   6.9e-55  185.4   3.2    40   146   190   299   183   311 0.92 | transcript=PVP01_1142400.1 | gene=PVP01_1142400 | organism=Plasmodium_vivax_P01 | gene_product=polypyrimidine tract-binding protein, putative | transcript_product=polypyrimidine tract-binding protein, putative | location=PvP01_11_v2:1805221-1808242(+) | protein_length=757 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142400.1-p1   -            757 4978at5820           -            500    2e-291  965.6  33.8   3   3  1.7e-225  9.9e-223  739.1  13.5   141   499   395   757   382   757 0.98 | transcript=PVP01_1142400.1 | gene=PVP01_1142400 | organism=Plasmodium_vivax_P01 | gene_product=polypyrimidine tract-binding protein, putative | transcript_product=polypyrimidine tract-binding protein, putative | location=PvP01_11_v2:1805221-1808242(+) | protein_length=757 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1407800.1-p1   -            505 4978at5820           -            500   1.4e-07   29.3   6.5   1   3   0.00039      0.23    8.8   0.2   416   498   223   307   203   310 0.76 | transcript=PVP01_1407800.1 | gene=PVP01_1407800 | organism=Plasmodium_vivax_P01 | gene_product=U1 small nuclear ribonucleoprotein A, putative | transcript_product=U1 small nuclear ribonucleoprotein A, putative | location=PvP01_14_v2:373119-374956(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1407800.1-p1   -            505 4978at5820           -            500   1.4e-07   29.3   6.5   2   3    0.0011      0.66    7.3   0.8   177   289   249   349   228   364 0.71 | transcript=PVP01_1407800.1 | gene=PVP01_1407800 | organism=Plasmodium_vivax_P01 | gene_product=U1 small nuclear ribonucleoprotein A, putative | transcript_product=U1 small nuclear ribonucleoprotein A, putative | location=PvP01_14_v2:373119-374956(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1407800.1-p1   -            505 4978at5820           -            500   1.4e-07   29.3   6.5   3   3   1.6e-08   9.3e-06   23.3   0.4   417   496   430   504   379   505 0.84 | transcript=PVP01_1407800.1 | gene=PVP01_1407800 | organism=Plasmodium_vivax_P01 | gene_product=U1 small nuclear ribonucleoprotein A, putative | transcript_product=U1 small nuclear ribonucleoprotein A, putative | location=PvP01_14_v2:373119-374956(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1421700.1-p1   -            124 4978at5820           -            500   6.8e-07   27.1   0.4   1   1   1.5e-09   8.8e-07   26.7   0.4   418   499     6    88     3    89 0.87 | transcript=PVP01_1421700.1 | gene=PVP01_1421700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_14_v2:939195-940065(-) | protein_length=124 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1328900.1-p1   -            475 4978at5820           -            500   9.8e-06   23.2   0.3   1   2   0.00028      0.17    9.3   0.0   420   451    20    51    15    71 0.91 | transcript=PVP01_1328900.1 | gene=PVP01_1328900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=PvP01_13_v2:1225767-1227448(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1328900.1-p1   -            475 4978at5820           -            500   9.8e-06   23.2   0.3   2   2     4e-05     0.024   12.1   0.1   316   372   119   178    99   204 0.70 | transcript=PVP01_1328900.1 | gene=PVP01_1328900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=PvP01_13_v2:1225767-1227448(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442500.1-p1   -            885 4978at5820           -            500     2e-05   22.2   4.2   1   4     0.007       4.2    4.7   0.0   419   461    15    57     7    92 0.71 | transcript=PVP01_1442500.1 | gene=PVP01_1442500 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=PvP01_14_v2:1852026-1854683(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442500.1-p1   -            885 4978at5820           -            500     2e-05   22.2   4.2   2   4     0.011       6.8    4.0   0.2   421   493   105   177   100   184 0.90 | transcript=PVP01_1442500.1 | gene=PVP01_1442500 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=PvP01_14_v2:1852026-1854683(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
