#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1268600.1-p1   -           1925 1418at5820           -            872         0 1180.5 184.0   1   8   3.4e-31   1.1e-27   95.1   7.8     1    78     1    79     1   145 0.80 | transcript=PVP01_1268600.1 | gene=PVP01_1268600 | organism=Plasmodium_vivax_P01 | gene_product=metacaspase-2, putative | transcript_product=metacaspase-2, putative | location=PvP01_12_v2:2869682-2877467(-) | protein_length=1925 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1268600.1-p1   -           1925 1418at5820           -            872         0 1180.5 184.0   2   8      0.11   3.7e+02   -2.6  11.8    67   161   212   313   197   329 0.64 | transcript=PVP01_1268600.1 | gene=PVP01_1268600 | organism=Plasmodium_vivax_P01 | gene_product=metacaspase-2, putative | transcript_product=metacaspase-2, putative | location=PvP01_12_v2:2869682-2877467(-) | protein_length=1925 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1268600.1-p1   -           1925 1418at5820           -            872         0 1180.5 184.0   3   8   2.4e-09   7.9e-06   22.8  20.3   112   186   370   462   334   562 0.55 | transcript=PVP01_1268600.1 | gene=PVP01_1268600 | organism=Plasmodium_vivax_P01 | gene_product=metacaspase-2, putative | transcript_product=metacaspase-2, putative | location=PvP01_12_v2:2869682-2877467(-) | protein_length=1925 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1268600.1-p1   -           1925 1418at5820           -            872         0 1180.5 184.0   4   8   6.9e-11   2.3e-07   27.9   0.3   182   217   595   630   588   665 0.84 | transcript=PVP01_1268600.1 | gene=PVP01_1268600 | organism=Plasmodium_vivax_P01 | gene_product=metacaspase-2, putative | transcript_product=metacaspase-2, putative | location=PvP01_12_v2:2869682-2877467(-) | protein_length=1925 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1268600.1-p1   -           1925 1418at5820           -            872         0 1180.5 184.0   5   8   2.1e-09   6.7e-06   23.0  17.3   156   260   788   887   721   915 0.72 | transcript=PVP01_1268600.1 | gene=PVP01_1268600 | organism=Plasmodium_vivax_P01 | gene_product=metacaspase-2, putative | transcript_product=metacaspase-2, putative | location=PvP01_12_v2:2869682-2877467(-) | protein_length=1925 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1268600.1-p1   -           1925 1418at5820           -            872         0 1180.5 184.0   6   8         2   6.5e+03   -8.6  10.5   260   300   990  1030   943  1133 0.68 | transcript=PVP01_1268600.1 | gene=PVP01_1268600 | organism=Plasmodium_vivax_P01 | gene_product=metacaspase-2, putative | transcript_product=metacaspase-2, putative | location=PvP01_12_v2:2869682-2877467(-) | protein_length=1925 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1268600.1-p1   -           1925 1418at5820           -            872         0 1180.5 184.0   7   8   4.3e-22   1.4e-18   65.0  24.6   290   387  1162  1277  1054  1287 0.68 | transcript=PVP01_1268600.1 | gene=PVP01_1268600 | organism=Plasmodium_vivax_P01 | gene_product=metacaspase-2, putative | transcript_product=metacaspase-2, putative | location=PvP01_12_v2:2869682-2877467(-) | protein_length=1925 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1268600.1-p1   -           1925 1418at5820           -            872         0 1180.5 184.0   8   8  1.6e-300  5.3e-297  986.2  47.8   353   872  1393  1925  1361  1925 0.91 | transcript=PVP01_1268600.1 | gene=PVP01_1268600 | organism=Plasmodium_vivax_P01 | gene_product=metacaspase-2, putative | transcript_product=metacaspase-2, putative | location=PvP01_12_v2:2869682-2877467(-) | protein_length=1925 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1117000.1-p1   -            671 1418at5820           -            872     2e-13   48.0   0.5   1   2   6.1e-17     2e-13   48.0   0.5   407   545   362   506   348   522 0.84 | transcript=PVP01_1117000.1 | gene=PVP01_1117000 | organism=Plasmodium_vivax_P01 | gene_product=metacaspase-1, putative | transcript_product=metacaspase-1, putative | location=PvP01_11_v2:728461-730476(+) | protein_length=671 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1117000.1-p1   -            671 1418at5820           -            872     2e-13   48.0   0.5   2   2     0.019        61    0.0   2.8   286   358   594   664   586   670 0.68 | transcript=PVP01_1117000.1 | gene=PVP01_1117000 | organism=Plasmodium_vivax_P01 | gene_product=metacaspase-1, putative | transcript_product=metacaspase-1, putative | location=PvP01_11_v2:728461-730476(+) | protein_length=671 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1418at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1418at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1418at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:45 2026
# [ok]
