#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1415100.1-p1   -           2451 644at5820            -           1421         0 2368.9 250.3   1   9  8.1e-135  5.3e-131  437.0  32.1     2   253    76   333    75   340 0.98 | transcript=PVP01_1415100.1 | gene=PVP01_1415100 | organism=Plasmodium_vivax_P01 | gene_product=telomerase reverse transcriptase, putative | transcript_product=telomerase reverse transcriptase, putative | location=PvP01_14_v2:674981-682336(+) | protein_length=2451 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1415100.1-p1   -           2451 644at5820            -           1421         0 2368.9 250.3   2   9   1.2e-18   8.1e-15   52.0   1.5   250   303   460   520   436   528 0.83 | transcript=PVP01_1415100.1 | gene=PVP01_1415100 | organism=Plasmodium_vivax_P01 | gene_product=telomerase reverse transcriptase, putative | transcript_product=telomerase reverse transcriptase, putative | location=PvP01_14_v2:674981-682336(+) | protein_length=2451 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1415100.1-p1   -           2451 644at5820            -           1421         0 2368.9 250.3   3   9   1.2e-55   8.1e-52  174.6  14.8   307   403   576   672   569   679 0.96 | transcript=PVP01_1415100.1 | gene=PVP01_1415100 | organism=Plasmodium_vivax_P01 | gene_product=telomerase reverse transcriptase, putative | transcript_product=telomerase reverse transcriptase, putative | location=PvP01_14_v2:674981-682336(+) | protein_length=2451 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1415100.1-p1   -           2451 644at5820            -           1421         0 2368.9 250.3   4   9   4.1e-87   2.7e-83  278.9  31.4   400   567   717   884   713   890 0.97 | transcript=PVP01_1415100.1 | gene=PVP01_1415100 | organism=Plasmodium_vivax_P01 | gene_product=telomerase reverse transcriptase, putative | transcript_product=telomerase reverse transcriptase, putative | location=PvP01_14_v2:674981-682336(+) | protein_length=2451 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1415100.1-p1   -           2451 644at5820            -           1421         0 2368.9 250.3   5   9     8e-50   5.2e-46  155.3  14.1   562   651   941  1031   922  1037 0.94 | transcript=PVP01_1415100.1 | gene=PVP01_1415100 | organism=Plasmodium_vivax_P01 | gene_product=telomerase reverse transcriptase, putative | transcript_product=telomerase reverse transcriptase, putative | location=PvP01_14_v2:674981-682336(+) | protein_length=2451 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1415100.1-p1   -           2451 644at5820            -           1421         0 2368.9 250.3   6   9   5.9e-32   3.9e-28   96.1  10.9   649   735  1141  1242  1131  1247 0.89 | transcript=PVP01_1415100.1 | gene=PVP01_1415100 | organism=Plasmodium_vivax_P01 | gene_product=telomerase reverse transcriptase, putative | transcript_product=telomerase reverse transcriptase, putative | location=PvP01_14_v2:674981-682336(+) | protein_length=2451 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1415100.1-p1   -           2451 644at5820            -           1421         0 2368.9 250.3   7   9    1e-204  6.7e-201  668.6  59.6   720  1080  1289  1651  1273  1658 0.94 | transcript=PVP01_1415100.1 | gene=PVP01_1415100 | organism=Plasmodium_vivax_P01 | gene_product=telomerase reverse transcriptase, putative | transcript_product=telomerase reverse transcriptase, putative | location=PvP01_14_v2:674981-682336(+) | protein_length=2451 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1415100.1-p1   -           2451 644at5820            -           1421         0 2368.9 250.3   8   9     4e-64   2.6e-60  202.7   4.8  1077  1198  1847  1986  1838  1992 0.92 | transcript=PVP01_1415100.1 | gene=PVP01_1415100 | organism=Plasmodium_vivax_P01 | gene_product=telomerase reverse transcriptase, putative | transcript_product=telomerase reverse transcriptase, putative | location=PvP01_14_v2:674981-682336(+) | protein_length=2451 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1415100.1-p1   -           2451 644at5820            -           1421         0 2368.9 250.3   9   9  2.4e-109  1.5e-105  352.6  17.8  1214  1421  2220  2441  2207  2441 0.96 | transcript=PVP01_1415100.1 | gene=PVP01_1415100 | organism=Plasmodium_vivax_P01 | gene_product=telomerase reverse transcriptase, putative | transcript_product=telomerase reverse transcriptase, putative | location=PvP01_14_v2:674981-682336(+) | protein_length=2451 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/644at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/644at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/644at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:32 2026
# [ok]
