#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0704000.1-p1   -           1117 1750at5820           -            846         0 1450.7 105.6   1   4     1e-44   1.4e-41  141.3   0.2     1    92     8   115     8   122 0.90 | transcript=PVP01_0704000.1 | gene=PVP01_0704000 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 66, putative | transcript_product=WD repeat-containing protein 66, putative | location=PvP01_07_v2:243307-246816(+) | protein_length=1117 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0704000.1-p1   -           1117 1750at5820           -            846         0 1450.7 105.6   2   4    2e-130  2.6e-127  424.9  21.7    89   326   167   430   158   434 0.93 | transcript=PVP01_0704000.1 | gene=PVP01_0704000 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 66, putative | transcript_product=WD repeat-containing protein 66, putative | location=PvP01_07_v2:243307-246816(+) | protein_length=1117 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0704000.1-p1   -           1117 1750at5820           -            846         0 1450.7 105.6   3   4  1.8e-227  2.3e-224  746.0  53.3   326   746   483   956   478   961 0.93 | transcript=PVP01_0704000.1 | gene=PVP01_0704000 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 66, putative | transcript_product=WD repeat-containing protein 66, putative | location=PvP01_07_v2:243307-246816(+) | protein_length=1117 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0704000.1-p1   -           1117 1750at5820           -            846         0 1450.7 105.6   4   4   5.5e-46   7.2e-43  145.6   9.2   747   846  1016  1117  1010  1117 0.97 | transcript=PVP01_0704000.1 | gene=PVP01_0704000 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 66, putative | transcript_product=WD repeat-containing protein 66, putative | location=PvP01_07_v2:243307-246816(+) | protein_length=1117 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 1750at5820           -            846   2.3e-06   24.8   4.6   1   3   8.6e-05      0.11    9.3   0.3   333   459    78   206    53   225 0.80 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 1750at5820           -            846   2.3e-06   24.8   4.6   2   3      0.36   4.7e+02   -2.7   0.0   697   722   433   458   363   482 0.61 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 1750at5820           -            846   2.3e-06   24.8   4.6   3   3   4.1e-07   0.00054   17.0   0.1    37    85   525   571   497   578 0.81 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0312600.1-p1   -            327 1750at5820           -            846   2.1e-05   21.6   0.5   1   2    0.0017       2.2    5.0   0.0    46   119     7    81     1    95 0.74 | transcript=PVP01_0312600.1 | gene=PVP01_0312600 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit I, putative | transcript_product=eukaryotic translation initiation factor 3 subunit I, putative | location=PvP01_03_v2:546721-548166(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0312600.1-p1   -            327 1750at5820           -            846   2.1e-05   21.6   0.5   2   2   1.8e-06    0.0023   14.9   0.1   301   410   104   219    94   242 0.80 | transcript=PVP01_0312600.1 | gene=PVP01_0312600 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit I, putative | transcript_product=eukaryotic translation initiation factor 3 subunit I, putative | location=PvP01_03_v2:546721-548166(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0611600.1-p1   -            661 1750at5820           -            846    0.0019   15.1   0.3   1   1   2.6e-06    0.0034   14.3   0.3   224   278   339   395   317   418 0.73 | transcript=PVP01_0611600.1 | gene=PVP01_0611600 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=PvP01_06_v2:510785-512770(-) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0408500.1-p1   -           1498 1750at5820           -            846     0.014   12.3   7.1   1   4   0.00085       1.1    6.0   0.5    20    88    35   106    23   122 0.74 | transcript=PVP01_0408500.1 | gene=PVP01_0408500 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_04_v2:345295-349986(-) | protein_length=1498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
