#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GCA_003402215.1|PVP01_0309600|PVP01_0309600.1|unknown -            954 2909at5820           -            517   1.9e-61  206.8  19.4   1   1   1.5e-62   1.2e-59  200.9  19.4     5   143     9   168     2   210 0.80 -
GCA_003402215.1|PVP01_0939500|PVP01_0939500.1|unknown -            880 2909at5820           -            517   2.6e-23   80.9   0.3   1   4      0.16   1.2e+02   -0.4   0.1   236   264    45    73    36    85 0.84 -
GCA_003402215.1|PVP01_0939500|PVP01_0939500.1|unknown -            880 2909at5820           -            517   2.6e-23   80.9   0.3   2   4      0.59   4.5e+02   -2.3   0.2   112   163    96   147    72   178 0.48 -
GCA_003402215.1|PVP01_0939500|PVP01_0939500.1|unknown -            880 2909at5820           -            517   2.6e-23   80.9   0.3   3   4      0.15   1.2e+02   -0.4   0.1   275   329   367   420   341   426 0.78 -
GCA_003402215.1|PVP01_0939500|PVP01_0939500.1|unknown -            880 2909at5820           -            517   2.6e-23   80.9   0.3   4   4   3.4e-26   2.6e-23   80.9   0.3   306   454   512   662   495   713 0.89 -
GCA_003402215.1|PVP01_1252000|PVP01_1252000.1|unknown -            411 2909at5820           -            517   4.3e-19   67.0   3.6   1   2   5.6e-22   4.3e-19   67.0   3.6   305   484    94   282    31   287 0.79 -
GCA_003402215.1|PVP01_1252000|PVP01_1252000.1|unknown -            411 2909at5820           -            517   4.3e-19   67.0   3.6   2   2       3.7   2.8e+03   -5.0   6.0    25   119   311   405   287   411 0.43 -
GCA_003402215.1|PVP01_1429800|PVP01_1429800.1|unknown -            303 2909at5820           -            517   1.8e-16   58.3   8.5   1   1   2.9e-19   2.2e-16   58.1   8.5   225   480    29   300    12   303 0.74 -
GCA_003402215.1|PVP01_0935900|PVP01_0935900.1|unknown -            847 2909at5820           -            517   4.2e-13   47.2   2.2   1   2   1.3e-10   9.6e-08   29.6   0.8   230   353   516   651   503   668 0.76 -
GCA_003402215.1|PVP01_0935900|PVP01_0935900.1|unknown -            847 2909at5820           -            517   4.2e-13   47.2   2.2   2   2   1.3e-06     0.001   16.3   0.0   380   445   711   792   705   846 0.68 -
GCA_003402215.1|PVP01_1466400|PVP01_1466400.1|unknown -           1116 2909at5820           -            517   3.8e-12   44.1   3.4   1   1   9.3e-14     7e-11   39.9   3.2   231   481   794  1081   772  1098 0.69 -
GCA_003402215.1|PVP01_1410200|PVP01_1410200.1|unknown -            782 2909at5820           -            517   4.7e-10   37.2  13.8   1   2      0.38   2.9e+02   -1.7   0.3   146   177   233   264   219   289 0.74 -
GCA_003402215.1|PVP01_1410200|PVP01_1410200.1|unknown -            782 2909at5820           -            517   4.7e-10   37.2  13.8   2   2   6.1e-13   4.7e-10   37.2  13.8   146   477   410   779   391   782 0.61 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2909at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvSY56.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvSY56_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2909at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2909at5820.hmm /v3/inputs/annotations/plasmodb-68/PvSY56.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:09:15 2026
# [ok]
