#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GCA_003402215.1|PVP01_1238500|PVP01_1238500.1|unknown -            250 12195at5820          -            218    4e-107  354.9  29.0   1   1  1.1e-109  8.2e-107  353.9  29.0     3   217     7   249     5   250 0.92 -
GCA_003402215.1|PVP01_0617900|PVP01_0617900.1|unknown -            317 12195at5820          -            218     2e-14   51.9  41.8   1   2   0.00011     0.081   10.7  18.4    76   169    33   137    17   143 0.65 -
GCA_003402215.1|PVP01_0617900|PVP01_0617900.1|unknown -            317 12195at5820          -            218     2e-14   51.9  41.8   2   2   9.1e-15   6.9e-12   43.6  16.8    37   207   134   312   131   317 0.85 -
GCA_003402215.1|PVP01_0511800|PVP01_0511800.1|unknown -            198 12195at5820          -            218   2.3e-13   48.4   5.1   1   2     0.037        28    2.4   0.4   109   154    33    74     2    89 0.61 -
GCA_003402215.1|PVP01_0511800|PVP01_0511800.1|unknown -            198 12195at5820          -            218   2.3e-13   48.4   5.1   2   2     3e-16   2.3e-13   48.4   5.1    91   203    76   191    71   196 0.76 -
GCA_003402215.1|PVP01_1102300|PVP01_1102300.1|unknown -            176 12195at5820          -            218   6.8e-07   27.3  14.1   1   2    0.0049       3.7    5.3   3.0    89   148    18    79     4    82 0.71 -
GCA_003402215.1|PVP01_1102300|PVP01_1102300.1|unknown -            176 12195at5820          -            218   6.8e-07   27.3  14.1   2   2   3.1e-09   2.4e-06   25.5  11.1    88   207    49   160    45   167 0.86 -
GCA_003402215.1|PVP01_1207000|PVP01_1207000.1|unknown -            250 12195at5820          -            218   1.2e-05   23.2  18.3   1   2    0.0004      0.31    8.8  11.0    72   167    25   123    21   126 0.63 -
GCA_003402215.1|PVP01_1207000|PVP01_1207000.1|unknown -            250 12195at5820          -            218   1.2e-05   23.2  18.3   2   2   1.1e-06   0.00082   17.2   0.6   132   203   140   209   132   216 0.84 -
GCA_003402215.1|PVP01_1321400|PVP01_1321400.1|unknown -            286 12195at5820          -            218   3.9e-05   21.5   0.2   1   3    0.0038       2.9    5.6   1.1    96   159    24    84    10    98 0.82 -
GCA_003402215.1|PVP01_1321400|PVP01_1321400.1|unknown -            286 12195at5820          -            218   3.9e-05   21.5   0.2   2   3   5.2e-08   3.9e-05   21.5   0.2   127   201   100   172    89   183 0.88 -
GCA_003402215.1|PVP01_1321400|PVP01_1321400.1|unknown -            286 12195at5820          -            218   3.9e-05   21.5   0.2   3   3       2.4   1.8e+03   -3.5   2.7     7    40   197   230   187   245 0.57 -
GCA_003402215.1|PVP01_1024800|PVP01_1024800.1|unknown -            365 12195at5820          -            218   6.7e-05   20.8  13.8   1   4    0.0057       4.3    5.0   0.1   135   172    37    71    26    74 0.78 -
GCA_003402215.1|PVP01_1024800|PVP01_1024800.1|unknown -            365 12195at5820          -            218   6.7e-05   20.8  13.8   2   4     0.001      0.76    7.5   0.3   131   153    77    99    72   116 0.75 -
GCA_003402215.1|PVP01_1024800|PVP01_1024800.1|unknown -            365 12195at5820          -            218   6.7e-05   20.8  13.8   3   4    0.0012      0.91    7.2   1.4   128   168   117   157   100   162 0.82 -
GCA_003402215.1|PVP01_1024800|PVP01_1024800.1|unknown -            365 12195at5820          -            218   6.7e-05   20.8  13.8   4   4    0.0012      0.93    7.2   0.3   143   198   260   315   247   323 0.75 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12195at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvSY56.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvSY56_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12195at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12195at5820.hmm /v3/inputs/annotations/plasmodb-68/PvSY56.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:56:10 2026
# [ok]
