#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GCA_003402215.1|PVP01_1434300|PVP01_1434300.1|unknown -             68 15483at5820          -             56   3.2e-33  111.6   6.9   1   1   3.1e-36   4.1e-33  111.2   6.9     1    56     7    67     7    67 0.95 -
GCA_003402215.1|PVP01_1424200|PVP01_1424200.1|unknown -             98 15483at5820          -             56   0.00081   17.4   2.3   1   2      0.02        26    2.9   0.6    17    42     7    27     4    47 0.74 -
GCA_003402215.1|PVP01_1424200|PVP01_1424200.1|unknown -             98 15483at5820          -             56   0.00081   17.4   2.3   2   2     1e-05     0.014   13.5   0.0     8    38    58    89    53    94 0.87 -
GCA_003402215.1|PVP01_1340100|PVP01_1340100.1|unknown -            340 15483at5820          -             56      0.42    8.7   6.1   1   5       0.4   5.3e+02   -1.2   0.0    22    34   130   142   121   146 0.83 -
GCA_003402215.1|PVP01_1340100|PVP01_1340100.1|unknown -            340 15483at5820          -             56      0.42    8.7   6.1   2   5       1.7   2.2e+03   -3.2   0.0    12    26   170   184   164   188 0.73 -
GCA_003402215.1|PVP01_1340100|PVP01_1340100.1|unknown -            340 15483at5820          -             56      0.42    8.7   6.1   3   5      0.15     2e+02    0.2   0.1    35    55   249   269   245   270 0.84 -
GCA_003402215.1|PVP01_1340100|PVP01_1340100.1|unknown -            340 15483at5820          -             56      0.42    8.7   6.1   4   5      0.83   1.1e+03   -2.2   0.0    17    25   273   281   272   283 0.85 -
GCA_003402215.1|PVP01_1340100|PVP01_1340100.1|unknown -            340 15483at5820          -             56      0.42    8.7   6.1   5   5   0.00046      0.62    8.2   0.3    19    34   287   302   275   306 0.89 -
GCA_003402215.1|PVP01_0915500|PVP01_0915500.1|unknown -            394 15483at5820          -             56       1.6    6.9   7.7   1   2   0.00028      0.37    8.9   2.8     2    23    81   102    80   105 0.90 -
GCA_003402215.1|PVP01_0915500|PVP01_0915500.1|unknown -            394 15483at5820          -             56       1.6    6.9   7.7   2   2       0.4   5.3e+02   -1.2   0.2    13    20   142   149   131   151 0.68 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/15483at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvSY56.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvSY56_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/15483at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/15483at5820.hmm /v3/inputs/annotations/plasmodb-68/PvSY56.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:01:37 2026
# [ok]
