#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GCA_003402215.1|PVP01_0419900|PVP01_0419900.1|unknown -            191 12974at5820          -            164   5.8e-78  258.5  14.1   1   1   1.5e-80   6.5e-78  258.4  14.1    10   163    29   190    16   191 0.92 -
GCA_003402215.1|PVP01_0616300|PVP01_0616300.1|unknown -            369 12974at5820          -            164   3.4e-37  126.0  76.0   1   7   3.1e-05     0.014   13.4   3.8    48    90    11    53     5    55 0.89 -
GCA_003402215.1|PVP01_0616300|PVP01_0616300.1|unknown -            369 12974at5820          -            164   3.4e-37  126.0  76.0   2   7   1.5e-15   6.7e-13   47.0  11.0    18    90    48   122    48   123 0.93 -
GCA_003402215.1|PVP01_0616300|PVP01_0616300.1|unknown -            369 12974at5820          -            164   3.4e-37  126.0  76.0   3   7   9.3e-10   4.1e-07   28.2   7.1    56   106   111   165   110   167 0.85 -
GCA_003402215.1|PVP01_0616300|PVP01_0616300.1|unknown -            369 12974at5820          -            164   3.4e-37  126.0  76.0   4   7   7.1e-13   3.2e-10   38.3  22.3     5   102   155   253   152   255 0.91 -
GCA_003402215.1|PVP01_0616300|PVP01_0616300.1|unknown -            369 12974at5820          -            164   3.4e-37  126.0  76.0   5   7   1.8e-12     8e-10   37.0  18.7    18   101   191   275   189   276 0.90 -
GCA_003402215.1|PVP01_0616300|PVP01_0616300.1|unknown -            369 12974at5820          -            164   3.4e-37  126.0  76.0   6   7   9.8e-09   4.3e-06   24.8   7.9    50   102   248   299   248   302 0.91 -
GCA_003402215.1|PVP01_0616300|PVP01_0616300.1|unknown -            369 12974at5820          -            164   3.4e-37  126.0  76.0   7   7   6.1e-06    0.0027   15.7   1.1    50   104   294   348   292   357 0.54 -
GCA_003402215.1|PVP01_0810500|PVP01_0810500.1|unknown -            404 12974at5820          -            164   4.5e-27   93.0  38.9   1   2   2.5e-10   1.1e-07   30.0  13.2    46    93    43    90     5   107 0.84 -
GCA_003402215.1|PVP01_0810500|PVP01_0810500.1|unknown -            404 12974at5820          -            164   4.5e-27   93.0  38.9   2   2     3e-22   1.3e-19   68.8  17.7     5   148   230   372   226   381 0.86 -
GCA_003402215.1|PVP01_0930300|PVP01_0930300.1|unknown -           1022 12974at5820          -            164   2.3e-15   55.0  40.8   1   4       4.4   1.9e+03   -3.3   1.1     9    50    54    97    47   134 0.59 -
GCA_003402215.1|PVP01_0930300|PVP01_0930300.1|unknown -           1022 12974at5820          -            164   2.3e-15   55.0  40.8   2   4   5.2e-09   2.3e-06   25.7   5.1    15    90   169   246   155   250 0.87 -
GCA_003402215.1|PVP01_0930300|PVP01_0930300.1|unknown -           1022 12974at5820          -            164   2.3e-15   55.0  40.8   3   4   9.3e-09   4.1e-06   24.9   6.0    47   104   249   305   245   316 0.85 -
GCA_003402215.1|PVP01_0930300|PVP01_0930300.1|unknown -           1022 12974at5820          -            164   2.3e-15   55.0  40.8   4   4   3.1e-08   1.4e-05   23.2   6.1    44    96   316   369   309   375 0.85 -
GCA_003402215.1|PVP01_1245400|PVP01_1245400.1|unknown -            326 12974at5820          -            164   6.7e-13   47.0  33.4   1   4   7.9e-09   3.5e-06   25.1   4.9    47   103    46   101    39   101 0.89 -
GCA_003402215.1|PVP01_1245400|PVP01_1245400.1|unknown -            326 12974at5820          -            164   6.7e-13   47.0  33.4   2   4   4.3e-11   1.9e-08   32.5  10.9    23    97    66   142    66   145 0.89 -
GCA_003402215.1|PVP01_1245400|PVP01_1245400.1|unknown -            326 12974at5820          -            164   6.7e-13   47.0  33.4   3   4    0.0032       1.4    6.9   5.5    41    73   178   210   148   211 0.71 -
GCA_003402215.1|PVP01_1245400|PVP01_1245400.1|unknown -            326 12974at5820          -            164   6.7e-13   47.0  33.4   4   4   3.1e-05     0.014   13.4   1.0    25    61   209   247   207   259 0.67 -
GCA_003402215.1|PVP01_1336700|PVP01_1336700.1|unknown -            799 12974at5820          -            164   3.6e-11   41.3  17.9   1   2       3.3   1.5e+03   -2.9   0.2   114   128    36    50    20    54 0.54 -
GCA_003402215.1|PVP01_1336700|PVP01_1336700.1|unknown -            799 12974at5820          -            164   3.6e-11   41.3  17.9   2   2   8.2e-14   3.6e-11   41.3  17.9     7   127    72   196    66   219 0.80 -
GCA_003402215.1|PVP01_1022700|PVP01_1022700.1|unknown -           1421 12974at5820          -            164   3.9e-11   41.2  49.5   1   5       2.3     1e+03   -2.4   0.5    86   108   216   238   201   265 0.79 -
GCA_003402215.1|PVP01_1022700|PVP01_1022700.1|unknown -           1421 12974at5820          -            164   3.9e-11   41.2  49.5   2   5         8   3.5e+03   -4.2   0.7    55    55   781   781   750   824 0.54 -
GCA_003402215.1|PVP01_1022700|PVP01_1022700.1|unknown -           1421 12974at5820          -            164   3.9e-11   41.2  49.5   3   5     8e-11   3.5e-08   31.6  15.5    19   138   869   992   851   994 0.81 -
GCA_003402215.1|PVP01_1022700|PVP01_1022700.1|unknown -           1421 12974at5820          -            164   3.9e-11   41.2  49.5   4   5   2.3e-07    0.0001   20.4   8.4    24   135   968  1078   962  1114 0.74 -
GCA_003402215.1|PVP01_1022700|PVP01_1022700.1|unknown -           1421 12974at5820          -            164   3.9e-11   41.2  49.5   5   5   7.4e-07   0.00033   18.7   2.0    45    90  1310  1355  1276  1403 0.86 -
