#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GCA_003402215.1|PVP01_0621700|PVP01_0621700.1|unknown -            301 9386at5820           -            279   4.9e-16   56.9   2.9   1   1   1.2e-18   8.9e-16   56.0   2.9    11   268    11   290     4   300 0.74 -
GCA_003402215.1|PVP01_0703600|PVP01_0703600.1|unknown -           1161 9386at5820           -            279     1e-09   36.2   0.5   1   3     0.022        17    2.6   0.0    15    50    40    75    33    91 0.87 -
GCA_003402215.1|PVP01_0703600|PVP01_0703600.1|unknown -           1161 9386at5820           -            279     1e-09   36.2   0.5   2   3   0.00051      0.39    8.0   0.1    18    77   788   849   776   862 0.77 -
GCA_003402215.1|PVP01_0703600|PVP01_0703600.1|unknown -           1161 9386at5820           -            279     1e-09   36.2   0.5   3   3   3.5e-08   2.6e-05   21.7   0.0    12    87  1072  1150  1064  1159 0.84 -
GCA_003402215.1|PVP01_0707300|PVP01_0707300.1|unknown -            501 9386at5820           -            279   1.8e-09   35.3   3.9   1   3    0.0023       1.7    5.8   0.0   195   239    67   106    52   125 0.74 -
GCA_003402215.1|PVP01_0707300|PVP01_0707300.1|unknown -            501 9386at5820           -            279   1.8e-09   35.3   3.9   2   3   1.1e-08   8.3e-06   23.3   0.1    13    84   198   271   185   285 0.86 -
GCA_003402215.1|PVP01_0707300|PVP01_0707300.1|unknown -            501 9386at5820           -            279   1.8e-09   35.3   3.9   3   3    0.0024       1.8    5.8   0.3   198   270   405   485   384   493 0.67 -
GCA_003402215.1|PVP01_1458700|PVP01_1458700.1|unknown -            259 9386at5820           -            279   5.5e-08   30.4   3.5   1   3    0.0054       4.1    4.6   0.1   197   228     6    37     2    49 0.85 -
GCA_003402215.1|PVP01_1458700|PVP01_1458700.1|unknown -            259 9386at5820           -            279   5.5e-08   30.4   3.5   2   3   8.6e-06    0.0066   13.8   0.5   157   269    44   155    36   165 0.77 -
GCA_003402215.1|PVP01_1458700|PVP01_1458700.1|unknown -            259 9386at5820           -            279   5.5e-08   30.4   3.5   3   3   3.5e-05     0.027   11.8   0.0    14    66   184   233   166   250 0.86 -
GCA_003402215.1|PVP01_1301500|PVP01_1301500.1|unknown -            323 9386at5820           -            279   9.5e-08   29.7   0.9   1   4   6.6e-08     5e-05   20.7   0.0     4   112    24   134    21   140 0.82 -
GCA_003402215.1|PVP01_1301500|PVP01_1301500.1|unknown -            323 9386at5820           -            279   9.5e-08   29.7   0.9   2   4   0.00032      0.24    8.7   0.1   188   268   123   200   112   211 0.74 -
GCA_003402215.1|PVP01_1301500|PVP01_1301500.1|unknown -            323 9386at5820           -            279   9.5e-08   29.7   0.9   3   4    0.0027         2    5.6   0.2    23   128   140   258   134   285 0.64 -
GCA_003402215.1|PVP01_1301500|PVP01_1301500.1|unknown -            323 9386at5820           -            279   9.5e-08   29.7   0.9   4   4      0.23   1.8e+02   -0.7   0.0    13    63   234   281   221   307 0.64 -
GCA_003402215.1|PVP01_1429200|PVP01_1429200.1|unknown -            605 9386at5820           -            279   1.7e-07   28.8   9.6   1   4   0.00026       0.2    8.9   0.0    23    90    60   142    40   153 0.62 -
GCA_003402215.1|PVP01_1429200|PVP01_1429200.1|unknown -            605 9386at5820           -            279   1.7e-07   28.8   9.6   2   4      0.25   1.9e+02   -0.8   0.0    16    39   250   273   240   306 0.75 -
GCA_003402215.1|PVP01_1429200|PVP01_1429200.1|unknown -            605 9386at5820           -            279   1.7e-07   28.8   9.6   3   4    0.0078       5.9    4.1   1.4   231   277   445   493   433   495 0.76 -
GCA_003402215.1|PVP01_1429200|PVP01_1429200.1|unknown -            605 9386at5820           -            279   1.7e-07   28.8   9.6   4   4   3.4e-07   0.00026   18.4   0.1    10    76   520   586   512   598 0.91 -
GCA_003402215.1|PVP01_0306800|PVP01_0306800.1|unknown -            380 9386at5820           -            279   2.6e-06   25.0  12.2   1   3   0.00079       0.6    7.4   0.1    17    55    16    55     7    66 0.78 -
GCA_003402215.1|PVP01_0306800|PVP01_0306800.1|unknown -            380 9386at5820           -            279   2.6e-06   25.0  12.2   2   3   0.00043      0.33    8.2   0.1     7    93   110   200   103   216 0.72 -
GCA_003402215.1|PVP01_0306800|PVP01_0306800.1|unknown -            380 9386at5820           -            279   2.6e-06   25.0  12.2   3   3     0.012         9    3.5   0.6   239   277   341   379   328   380 0.89 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9386at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvSY56.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvSY56_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9386at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9386at5820.hmm /v3/inputs/annotations/plasmodb-68/PvSY56.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:22:56 2026
# [ok]
