#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GCA_003402215.1|PVP01_1102300|PVP01_1102300.1|unknown -            176 12801at5820          -            151     3e-90  298.2  14.9   1   1   6.6e-93   3.5e-90  298.0  14.9     1   151     1   157     1   157 0.97 -
GCA_003402215.1|PVP01_0617900|PVP01_0617900.1|unknown -            317 12801at5820          -            151   3.1e-14   51.4  42.2   1   4   0.00092      0.49    8.6   1.9    94   128    25    59    11    64 0.77 -
GCA_003402215.1|PVP01_0617900|PVP01_0617900.1|unknown -            317 12801at5820          -            151   3.1e-14   51.4  42.2   2   4   9.3e-10     5e-07   28.0  20.8     7   125    29   144    24   149 0.92 -
GCA_003402215.1|PVP01_0617900|PVP01_0617900.1|unknown -            317 12801at5820          -            151   3.1e-14   51.4  42.2   3   4   1.9e-06     0.001   17.3   2.9    46   121   155   227   150   230 0.77 -
GCA_003402215.1|PVP01_0617900|PVP01_0617900.1|unknown -            317 12801at5820          -            151   3.1e-14   51.4  42.2   4   4     6e-05     0.032   12.4   8.6    53   140   208   298   206   307 0.75 -
GCA_003402215.1|PVP01_1321400|PVP01_1321400.1|unknown -            286 12801at5820          -            151   2.8e-09   35.4   2.6   1   1   8.2e-12   4.4e-09   34.7   2.6    16   140    29   164    18   171 0.80 -
GCA_003402215.1|PVP01_1207000|PVP01_1207000.1|unknown -            250 12801at5820          -            151   1.2e-08   33.3  27.1   1   2   4.2e-06    0.0023   16.2   4.9    46   123     6    86     2    87 0.79 -
GCA_003402215.1|PVP01_1207000|PVP01_1207000.1|unknown -            250 12801at5820          -            151   1.2e-08   33.3  27.1   2   2     2e-10   1.1e-07   30.2  14.3     8   149    62   208    59   210 0.84 -
GCA_003402215.1|PVP01_1024800|PVP01_1024800.1|unknown -            365 12801at5820          -            151   1.3e-08   33.2  15.7   1   3   0.00049      0.26    9.5   3.1    53   100    49    94    15   105 0.61 -
GCA_003402215.1|PVP01_1024800|PVP01_1024800.1|unknown -            365 12801at5820          -            151   1.3e-08   33.2  15.7   2   3   1.2e-06   0.00066   17.9   8.0    40   127    58   142    55   162 0.82 -
GCA_003402215.1|PVP01_1024800|PVP01_1024800.1|unknown -            365 12801at5820          -            151   1.3e-08   33.2  15.7   3   3     7e-07   0.00037   18.7   0.7    91   148   256   318   245   321 0.71 -
