#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GCA_003402215.1|PVP01_0935500|PVP01_0935500.1|unknown -           1586 813at5820            -           1226  1.1e-207  690.5  32.6   1   1  7.9e-211  1.4e-207  690.2  32.6     1   405    71   526    71   536 0.92 -
GCA_003402215.1|PVP01_0409300|PVP01_0409300.1|unknown -           1346 813at5820            -           1226  1.1e-106  356.0  19.7   1   5   3.4e-09     6e-06   22.3   0.0    44   184    48   211    37   228 0.78 -
GCA_003402215.1|PVP01_0409300|PVP01_0409300.1|unknown -           1346 813at5820            -           1226  1.1e-106  356.0  19.7   2   5   3.7e-09   6.5e-06   22.1   0.0   472   540   488   558   456   571 0.72 -
GCA_003402215.1|PVP01_0409300|PVP01_0409300.1|unknown -           1346 813at5820            -           1226  1.1e-106  356.0  19.7   3   5   3.1e-34   5.5e-31  105.2   1.1   690   852   675   835   619   843 0.83 -
GCA_003402215.1|PVP01_0409300|PVP01_0409300.1|unknown -           1346 813at5820            -           1226  1.1e-106  356.0  19.7   4   5   7.2e-35   1.3e-31  107.3   0.1   918  1012  1086  1180  1071  1184 0.96 -
GCA_003402215.1|PVP01_0409300|PVP01_0409300.1|unknown -           1346 813at5820            -           1226  1.1e-106  356.0  19.7   5   5   5.6e-35     1e-31  107.7   2.6  1044  1214  1185  1341  1178  1346 0.87 -
GCA_003402215.1|PVP01_1305700|PVP01_1305700.1|unknown -           1434 813at5820            -           1226   3.2e-50  168.9  18.0   1   3   2.8e-12   4.9e-09   32.5  12.5    42   209   229   397   205   613 0.81 -
GCA_003402215.1|PVP01_1305700|PVP01_1305700.1|unknown -           1434 813at5820            -           1226   3.2e-50  168.9  18.0   2   3   8.9e-13   1.6e-09   34.1   0.0   475   640   662   819   636   830 0.72 -
GCA_003402215.1|PVP01_1305700|PVP01_1305700.1|unknown -           1434 813at5820            -           1226   3.2e-50  168.9  18.0   3   3   1.7e-33   3.1e-30  102.7   0.1   713   864   855  1009   847  1014 0.91 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/813at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvSY56.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvSY56_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/813at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/813at5820.hmm /v3/inputs/annotations/plasmodb-68/PvSY56.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:21:20 2026
# [ok]
