#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GCA_003402215.1|PVP01_1236800|PVP01_1236800.1|unknown -            112 15228at5820          -             89   1.8e-49  164.1   7.8   1   1     7e-51   6.2e-48  159.2   7.8     1    89    12   112    12   112 0.92 -
GCA_003402215.1|PVP01_1424100|PVP01_1424100.1|unknown -            314 15228at5820          -             89     0.002   16.5   2.0   1   2   3.1e-06    0.0027   16.1   0.4    24    85    44   108    27   112 0.83 -
GCA_003402215.1|PVP01_1424100|PVP01_1424100.1|unknown -            314 15228at5820          -             89     0.002   16.5   2.0   2   2       1.4   1.2e+03   -2.0   0.1    19    33   293   307   272   314 0.49 -
GCA_003402215.1|PVP01_0011030|PVP01_0011030.1|unknown -            287 15228at5820          -             89    0.0026   16.2   2.6   1   2      0.16   1.4e+02    1.0   0.2    49    71    67    89    45   100 0.79 -
GCA_003402215.1|PVP01_0011030|PVP01_0011030.1|unknown -            287 15228at5820          -             89    0.0026   16.2   2.6   2   2     3e-06    0.0026   16.2   2.6    37    74   120   159   101   174 0.77 -
GCA_003402215.1|PVP01_0613500|PVP01_0613500.1|unknown -            328 15228at5820          -             89    0.0062   15.0   0.9   1   2   1.7e-05     0.015   13.7   0.3    21    75    39    92    16   105 0.82 -
GCA_003402215.1|PVP01_0613500|PVP01_0613500.1|unknown -            328 15228at5820          -             89    0.0062   15.0   0.9   2   2       2.7   2.4e+03   -3.0   0.0    57    73   166   182   161   190 0.64 -
GCA_003402215.1|PVP01_0605100|PVP01_0605100.1|unknown -            124 15228at5820          -             89     0.017   13.5   0.5   1   1   2.4e-05     0.021   13.3   0.5    44    85    79   119    43   123 0.83 -
GCA_003402215.1|PVP01_0702400|PVP01_0702400.1|unknown -            431 15228at5820          -             89       1.5    7.3   5.9   1   3      0.12   1.1e+02    1.4   0.2    29    65    61    99    56   104 0.77 -
GCA_003402215.1|PVP01_0702400|PVP01_0702400.1|unknown -            431 15228at5820          -             89       1.5    7.3   5.9   2   3    0.0023       2.1    6.9   0.1    41    69   139   167   130   176 0.89 -
GCA_003402215.1|PVP01_0702400|PVP01_0702400.1|unknown -            431 15228at5820          -             89       1.5    7.3   5.9   3   3      0.77   6.8e+02   -1.2   0.0    32    53   187   207   171   236 0.74 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/15228at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvSY56.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvSY56_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/15228at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/15228at5820.hmm /v3/inputs/annotations/plasmodb-68/PvSY56.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:05:31 2026
# [ok]
