#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GCA_003402215.1|PVP01_1212200|PVP01_1212200.1|unknown -            817 538at5820            -           1455  1.8e-113  378.3  10.4   1   1  3.5e-116  2.3e-113  378.0  10.4    66   744   101   795    85   816 0.86 -
GCA_003402215.1|PVP01_1030300|PVP01_1030300.1|unknown -            800 538at5820            -           1455   6.7e-87  290.3  41.1   1   1   1.3e-89   8.6e-87  289.9  41.1    48   737    71   760    48   797 0.84 -
GCA_003402215.1|PVP01_0941200|PVP01_0941200.1|unknown -           1752 538at5820            -           1455   1.1e-75  253.2  73.4   1   7   1.2e-21   7.9e-19   64.7   0.6    14   172    52   220    44   230 0.78 -
GCA_003402215.1|PVP01_0941200|PVP01_0941200.1|unknown -           1752 538at5820            -           1455   1.1e-75  253.2  73.4   2   7   1.1e-24   7.4e-22   74.7   0.0   182   265   345   426   333   449 0.87 -
GCA_003402215.1|PVP01_0941200|PVP01_0941200.1|unknown -           1752 538at5820            -           1455   1.1e-75  253.2  73.4   3   7   1.6e-05     0.011   11.3   0.1   313   367   550   605   541   616 0.74 -
GCA_003402215.1|PVP01_0941200|PVP01_0941200.1|unknown -           1752 538at5820            -           1455   1.1e-75  253.2  73.4   4   7     0.073        49   -0.9   0.0   400   428   669   697   654   703 0.84 -
GCA_003402215.1|PVP01_0941200|PVP01_0941200.1|unknown -           1752 538at5820            -           1455   1.1e-75  253.2  73.4   5   7   2.3e-24   1.5e-21   73.7   8.6   435   589   773   944   767   964 0.78 -
GCA_003402215.1|PVP01_0941200|PVP01_0941200.1|unknown -           1752 538at5820            -           1455   1.1e-75  253.2  73.4   6   7     4e-18   2.7e-15   53.0  16.1   599   821  1051  1273  1040  1278 0.82 -
GCA_003402215.1|PVP01_0941200|PVP01_0941200.1|unknown -           1752 538at5820            -           1455   1.1e-75  253.2  73.4   7   7      0.22   1.5e+02   -2.5  16.0   734   821  1277  1370  1272  1430 0.77 -
GCA_003402215.1|PVP01_1448000|PVP01_1448000.1|unknown -           1989 538at5820            -           1455   1.7e-48  163.1  16.0   1   3   1.1e-14   7.6e-12   41.6   0.0    69   171   109   230   102   233 0.79 -
GCA_003402215.1|PVP01_1448000|PVP01_1448000.1|unknown -           1989 538at5820            -           1455   1.7e-48  163.1  16.0   2   3   1.1e-30   7.3e-28   94.7   1.1   190   588   296   738   287   741 0.74 -
GCA_003402215.1|PVP01_1448000|PVP01_1448000.1|unknown -           1989 538at5820            -           1455   1.7e-48  163.1  16.0   3   3     7e-12   4.7e-09   32.3   4.7   600   790   837  1047   832  1085 0.75 -
GCA_003402215.1|PVP01_1135200|PVP01_1135200.1|unknown -           2081 538at5820            -           1455   1.7e-22   76.8   1.8   1   2   2.2e-18   1.5e-15   53.9   0.5    30   173    37   188    31   196 0.85 -
GCA_003402215.1|PVP01_1135200|PVP01_1135200.1|unknown -           2081 538at5820            -           1455   1.7e-22   76.8   1.8   2   2   9.6e-09   6.4e-06   21.9   0.0   190   254   290   353   272   402 0.87 -
GCA_003402215.1|PVP01_0946700|PVP01_0946700.1|unknown -            660 538at5820            -           1455     6e-17   58.5   9.3   1   5   1.1e-06   0.00076   15.1   0.0  1184  1254   106   177    66   183 0.85 -
GCA_003402215.1|PVP01_0946700|PVP01_0946700.1|unknown -            660 538at5820            -           1455     6e-17   58.5   9.3   2   5    0.0013      0.86    4.9   0.0  1169  1209   179   215   175   228 0.81 -
GCA_003402215.1|PVP01_0946700|PVP01_0946700.1|unknown -            660 538at5820            -           1455     6e-17   58.5   9.3   3   5   8.5e-13   5.7e-10   35.4   0.8  1169  1350   341   518   334   527 0.78 -
GCA_003402215.1|PVP01_0946700|PVP01_0946700.1|unknown -            660 538at5820            -           1455     6e-17   58.5   9.3   4   5   0.00073      0.48    5.8   0.0  1188  1231   525   568   521   576 0.91 -
GCA_003402215.1|PVP01_0946700|PVP01_0946700.1|unknown -            660 538at5820            -           1455     6e-17   58.5   9.3   5   5       0.6     4e+02   -3.9   0.0  1191  1227   622   658   619   659 0.90 -
GCA_003402215.1|PVP01_0831600|PVP01_0831600.1|unknown -            498 538at5820            -           1455   1.8e-12   43.7   2.5   1   3   9.3e-06    0.0062   12.1   0.0  1175  1228   234   283   220   307 0.80 -
GCA_003402215.1|PVP01_0831600|PVP01_0831600.1|unknown -            498 538at5820            -           1455   1.8e-12   43.7   2.5   2   3   3.1e-07   0.00021   16.9   0.1  1119  1230   311   415   302   424 0.85 -
GCA_003402215.1|PVP01_0831600|PVP01_0831600.1|unknown -            498 538at5820            -           1455   1.8e-12   43.7   2.5   3   3   5.1e-06    0.0034   12.9   0.1  1184  1227   454   497   438   498 0.91 -
GCA_003402215.1|PVP01_0507600|PVP01_0507600.1|unknown -            322 538at5820            -           1455   3.3e-05   19.6   4.5   1   3   0.00032      0.22    6.9   0.1  1195  1259    66   131    59   134 0.85 -
GCA_003402215.1|PVP01_0507600|PVP01_0507600.1|unknown -            322 538at5820            -           1455   3.3e-05   19.6   4.5   2   3    0.0042       2.8    3.3   0.1  1198  1238   154   196   144   211 0.76 -
GCA_003402215.1|PVP01_0507600|PVP01_0507600.1|unknown -            322 538at5820            -           1455   3.3e-05   19.6   4.5   3   3   0.00017      0.12    7.8   0.0  1217  1312   217   317   192   321 0.73 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/538at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvSY56.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvSY56_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/538at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/538at5820.hmm /v3/inputs/annotations/plasmodb-68/PvSY56.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:13:05 2026
# [ok]
