#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GCA_003402215.1|PVP01_1030000|PVP01_1030000.1|unknown -           1956 595at5820            -           1280   5.9e-86  287.6   8.2   1   1   5.5e-89   7.3e-86  287.2   8.2     1   181     1   192     1   198 0.93 -
GCA_003402215.1|PVP01_0213500|PVP01_0213500.1|unknown -           1679 595at5820            -           1280   5.2e-36  122.1  67.3   1   6    0.0019       2.5    3.9   5.2   141   216   199   274   175   291 0.78 -
GCA_003402215.1|PVP01_0213500|PVP01_0213500.1|unknown -           1679 595at5820            -           1280   5.2e-36  122.1  67.3   2   6   5.9e-14   7.8e-11   38.7   2.1   241   391   442   596   429   603 0.81 -
GCA_003402215.1|PVP01_0213500|PVP01_0213500.1|unknown -           1679 595at5820            -           1280   5.2e-36  122.1  67.3   3   6   9.1e-14   1.2e-10   38.1   6.9   386   550   643   820   632   841 0.73 -
GCA_003402215.1|PVP01_0213500|PVP01_0213500.1|unknown -           1679 595at5820            -           1280   5.2e-36  122.1  67.3   4   6   9.7e-12   1.3e-08   31.3   0.4   706   826  1032  1152  1026  1163 0.86 -
GCA_003402215.1|PVP01_0213500|PVP01_0213500.1|unknown -           1679 595at5820            -           1280   5.2e-36  122.1  67.3   5   6   6.3e-12   8.3e-09   32.0   0.2   921   979  1281  1339  1204  1346 0.81 -
GCA_003402215.1|PVP01_0213500|PVP01_0213500.1|unknown -           1679 595at5820            -           1280   5.2e-36  122.1  67.3   6   6    0.0026       3.5    3.4  18.2   980  1185  1427  1623  1418  1657 0.71 -
GCA_003402215.1|PVP01_1311100|PVP01_1311100.1|unknown -           1355 595at5820            -           1280   2.7e-21   73.4   3.5   1   3   2.7e-13   3.6e-10   36.5   2.8   215   561   199   558   192   606 0.72 -
GCA_003402215.1|PVP01_1311100|PVP01_1311100.1|unknown -           1355 595at5820            -           1280   2.7e-21   73.4   3.5   2   3    0.0069       9.1    2.0   0.0   786   822   834   870   754   877 0.74 -
GCA_003402215.1|PVP01_1311100|PVP01_1311100.1|unknown -           1355 595at5820            -           1280   2.7e-21   73.4   3.5   3   3   8.1e-12   1.1e-08   31.6   0.0   910  1008   907  1008   887  1040 0.81 -
GCA_003402215.1|PVP01_0208500|PVP01_0208500.1|unknown -           1182 595at5820            -           1280     3e-15   53.3  10.4   1   3   2.6e-13   3.5e-10   36.5   2.3   233   569    25   389     7   416 0.68 -
GCA_003402215.1|PVP01_0208500|PVP01_0208500.1|unknown -           1182 595at5820            -           1280     3e-15   53.3  10.4   2   3       0.2   2.7e+02   -2.9   0.2   705   817   654   781   634   787 0.67 -
GCA_003402215.1|PVP01_0208500|PVP01_0208500.1|unknown -           1182 595at5820            -           1280     3e-15   53.3  10.4   3   3   6.9e-09   9.1e-06   21.9   0.0   930  1015   840   927   806  1004 0.83 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/595at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvSY56.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvSY56_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/595at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/595at5820.hmm /v3/inputs/annotations/plasmodb-68/PvSY56.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:16:19 2026
# [ok]
