#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GCA_003402215.1|PVP01_0105600|PVP01_0105600.1|unknown -            833 2617at5820           -            738         0 1652.5   9.9   1   1         0         0 1652.3   9.9     1   738    13   806    13   806 0.98 -
GCA_003402215.1|PVP01_1116800|PVP01_1116800.1|unknown -            944 2617at5820           -            738   3.8e-90  301.1   8.2   1   2   1.5e-13     1e-10   38.5   0.1   161   294   218   349   209   361 0.86 -
GCA_003402215.1|PVP01_1116800|PVP01_1116800.1|unknown -            944 2617at5820           -            738   3.8e-90  301.1   8.2   2   2   6.3e-82   4.2e-79  264.6   5.1   251   666   349   764   347   829 0.81 -
GCA_003402215.1|PVP01_1418000|PVP01_1418000.1|unknown -            955 2617at5820           -            738   5.8e-85  284.0   8.0   1   3   2.7e-06    0.0018   14.5   0.7   175   292   280   404   270   456 0.68 -
GCA_003402215.1|PVP01_1418000|PVP01_1418000.1|unknown -            955 2617at5820           -            738   5.8e-85  284.0   8.0   2   3     4e-82   2.7e-79  265.2   0.5   317   553   459   697   457   720 0.93 -
GCA_003402215.1|PVP01_1418000|PVP01_1418000.1|unknown -            955 2617at5820           -            738   5.8e-85  284.0   8.0   3   3   0.00054      0.36    6.9   0.0   621   656   816   854   761   867 0.68 -
GCA_003402215.1|PVP01_1310900|PVP01_1310900.1|unknown -            758 2617at5820           -            738   7.9e-75  250.5   0.3   1   1   1.7e-77   1.2e-74  249.9   0.3   241   650   260   664   240   706 0.88 -
GCA_003402215.1|PVP01_1331100|PVP01_1331100.1|unknown -            972 2617at5820           -            738   9.8e-73  243.5   0.4   1   2   2.6e-14   1.7e-11   41.1   0.0   220   379   367   519   305   530 0.73 -
GCA_003402215.1|PVP01_1331100|PVP01_1331100.1|unknown -            972 2617at5820           -            738   9.8e-73  243.5   0.4   2   2   1.6e-62   1.1e-59  200.4   0.1   382   655   546   840   537   864 0.87 -
GCA_003402215.1|PVP01_1006800|PVP01_1006800.1|unknown -            971 2617at5820           -            738   7.7e-65  217.4   7.9   1   3   1.9e-67   1.3e-64  216.7   0.2   239   556   285   600   275   623 0.90 -
GCA_003402215.1|PVP01_1006800|PVP01_1006800.1|unknown -            971 2617at5820           -            738   7.7e-65  217.4   7.9   2   3    0.0014      0.92    5.6   0.0   587   642   709   762   686   778 0.80 -
GCA_003402215.1|PVP01_1006800|PVP01_1006800.1|unknown -            971 2617at5820           -            738   7.7e-65  217.4   7.9   3   3       1.9   1.3e+03   -4.8   1.0   643   676   825   858   824   881 0.72 -
GCA_003402215.1|PVP01_1310500|PVP01_1310500.1|unknown -           1392 2617at5820           -            738   1.2e-51  173.8   2.2   1   3    0.0033       2.2    4.3   1.5   128   344   229   452   221   463 0.69 -
GCA_003402215.1|PVP01_1310500|PVP01_1310500.1|unknown -           1392 2617at5820           -            738   1.2e-51  173.8   2.2   2   3   1.9e-54   1.2e-51  173.8   2.2   319   567   820  1070   817  1080 0.92 -
GCA_003402215.1|PVP01_1310500|PVP01_1310500.1|unknown -           1392 2617at5820           -            738   1.2e-51  173.8   2.2   3   3     0.025        16    1.4   0.1   563   656  1200  1288  1175  1304 0.77 -
GCA_003402215.1|PVP01_0525700|PVP01_0525700.1|unknown -           1331 2617at5820           -            738   7.1e-32  108.4   7.4   1   3    0.0016         1    5.4   0.0   239   302   514   573   504   584 0.86 -
GCA_003402215.1|PVP01_0525700|PVP01_0525700.1|unknown -           1331 2617at5820           -            738   7.1e-32  108.4   7.4   2   3   9.4e-33   6.2e-30  102.0   3.9   388   555   885  1053   875  1059 0.91 -
GCA_003402215.1|PVP01_0525700|PVP01_0525700.1|unknown -           1331 2617at5820           -            738   7.1e-32  108.4   7.4   3   3      0.19   1.3e+02   -1.5   0.1   621   663  1212  1254  1203  1283 0.77 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2617at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvSY56.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvSY56_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2617at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2617at5820.hmm /v3/inputs/annotations/plasmodb-68/PvSY56.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:07:42 2026
# [ok]
