#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO69312.1           -           2329 437at5820            -           1488         0 1838.4  64.9   1  16   2.5e-23   7.7e-20   68.6   0.0    13   125    34   181     9   186 0.79 rRNA (adenosine-2'-O-)-methyltransferase, putative [Plasmodium vivax]
SCO69312.1           -           2329 437at5820            -           1488         0 1838.4  64.9   2  16    0.0078        24    0.7   0.0   131   149   235   253   226   258 0.82 rRNA (adenosine-2'-O-)-methyltransferase, putative [Plasmodium vivax]
SCO69312.1           -           2329 437at5820            -           1488         0 1838.4  64.9   3  16   7.7e-21   2.3e-17   60.4   0.0   147   206   304   364   298   366 0.94 rRNA (adenosine-2'-O-)-methyltransferase, putative [Plasmodium vivax]
SCO69312.1           -           2329 437at5820            -           1488         0 1838.4  64.9   4  16   2.5e-26   7.5e-23   78.6   0.5   212   278   461   527   448   536 0.91 rRNA (adenosine-2'-O-)-methyltransferase, putative [Plasmodium vivax]
SCO69312.1           -           2329 437at5820            -           1488         0 1838.4  64.9   5  16   3.9e-23   1.2e-19   68.0   0.0   280   328   558   606   555   609 0.95 rRNA (adenosine-2'-O-)-methyltransferase, putative [Plasmodium vivax]
SCO69312.1           -           2329 437at5820            -           1488         0 1838.4  64.9   6  16   5.4e-20   1.6e-16   57.6   0.0   329   386   663   730   657   739 0.82 rRNA (adenosine-2'-O-)-methyltransferase, putative [Plasmodium vivax]
SCO69312.1           -           2329 437at5820            -           1488         0 1838.4  64.9   7  16   2.5e-38   7.5e-35  118.4   0.0   382   469   759   850   756   856 0.93 rRNA (adenosine-2'-O-)-methyltransferase, putative [Plasmodium vivax]
SCO69312.1           -           2329 437at5820            -           1488         0 1838.4  64.9   8  16   4.3e-40   1.3e-36  124.2   0.1   470   587   882  1019   874  1082 0.79 rRNA (adenosine-2'-O-)-methyltransferase, putative [Plasmodium vivax]
SCO69312.1           -           2329 437at5820            -           1488         0 1838.4  64.9   9  16     0.035   1.1e+02   -1.4   0.0   621   653  1135  1176  1130  1182 0.75 rRNA (adenosine-2'-O-)-methyltransferase, putative [Plasmodium vivax]
SCO69312.1           -           2329 437at5820            -           1488         0 1838.4  64.9  10  16   1.9e-07   0.00056   16.1   0.0   653   700  1207  1262  1197  1273 0.74 rRNA (adenosine-2'-O-)-methyltransferase, putative [Plasmodium vivax]
SCO69312.1           -           2329 437at5820            -           1488         0 1838.4  64.9  11  16   6.3e-21   1.9e-17   60.7   0.4   703   756  1301  1367  1294  1370 0.87 rRNA (adenosine-2'-O-)-methyltransferase, putative [Plasmodium vivax]
SCO69312.1           -           2329 437at5820            -           1488         0 1838.4  64.9  12  16   2.3e-22     7e-19   65.5   0.6   757   802  1408  1453  1406  1456 0.95 rRNA (adenosine-2'-O-)-methyltransferase, putative [Plasmodium vivax]
SCO69312.1           -           2329 437at5820            -           1488         0 1838.4  64.9  13  16  2.2e-147  6.6e-144  479.8   1.9   802  1114  1499  1839  1495  1846 0.91 rRNA (adenosine-2'-O-)-methyltransferase, putative [Plasmodium vivax]
SCO69312.1           -           2329 437at5820            -           1488         0 1838.4  64.9  14  16   3.6e-07    0.0011   15.1  10.6  1106  1146  1854  1895  1851  1900 0.89 rRNA (adenosine-2'-O-)-methyltransferase, putative [Plasmodium vivax]
SCO69312.1           -           2329 437at5820            -           1488         0 1838.4  64.9  15  16   7.3e-88   2.2e-84  282.5   0.2  1147  1308  1941  2103  1926  2108 0.96 rRNA (adenosine-2'-O-)-methyltransferase, putative [Plasmodium vivax]
SCO69312.1           -           2329 437at5820            -           1488         0 1838.4  64.9  16  16  2.4e-111  7.4e-108  360.3   4.6  1305  1488  2139  2329  2137  2329 0.96 rRNA (adenosine-2'-O-)-methyltransferase, putative [Plasmodium vivax]
SCO65395.1           -            689 437at5820            -           1488     0.047    9.7   0.1   1   1   2.1e-05     0.064    9.2   0.1  1373  1429   595   652   588   659 0.92 ferrodoxin reductase-like protein [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/437at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/437at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/437at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:47:27 2026
# [ok]
