#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO68901.1           -            152 13271at5820          -            126   6.5e-68  225.4  31.0   1   2   1.5e-15     3e-12   45.5   6.3     1    35     1    35     1    43 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68901.1           -            152 13271at5820          -            126   6.5e-68  225.4  31.0   2   2   1.2e-58   2.4e-55  184.8  18.6    28   126    45   150    32   150 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68896.1           -            624 13271at5820          -            126   9.5e-13   47.1  16.4   1   5    0.0039         8    5.3   0.3    93   123   112   142   106   145 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68896.1           -            624 13271at5820          -            126   9.5e-13   47.1  16.4   2   5   4.7e-16   9.5e-13   47.1  16.4    29   104   174   249   159   260 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68896.1           -            624 13271at5820          -            126   9.5e-13   47.1  16.4   3   5       0.4   8.1e+02   -1.1   0.3    88   102   327   341   301   397 0.62 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68896.1           -            624 13271at5820          -            126   9.5e-13   47.1  16.4   4   5       1.2   2.4e+03   -2.7   0.7    18    18   494   494   447   531 0.62 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68896.1           -            624 13271at5820          -            126   9.5e-13   47.1  16.4   5   5       1.1   2.3e+03   -2.6   0.7    24    40   500   515   478   553 0.58 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68902.1           -            189 13271at5820          -            126   8.1e-10   37.6   7.9   1   2     4e-13   8.1e-10   37.6   7.9    48   102    15    69     4    96 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68902.1           -            189 13271at5820          -            126   8.1e-10   37.6   7.9   2   2      0.19   3.9e+02   -0.1   0.1    50    68   132   150   114   165 0.70 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13271at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13271at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13271at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:31:53 2026
# [ok]
