#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67473.1           -            453 6375at5820           -            375  1.5e-235  779.6  16.5   1   1  3.2e-238    2e-235  779.2  16.5     7   375    61   451    57   451 0.96 UVB-resistance protein UVR8 homologue [Plasmodium vivax]
SCO67812.1           -           2251 6375at5820           -            375   1.6e-44  151.0  23.2   1   6   6.7e-05     0.041   11.4   0.2    88   175    20   108    10   121 0.74 guanidine nucleotide exchange factor, putative [Plasmodium vivax]
SCO67812.1           -           2251 6375at5820           -            375   1.6e-44  151.0  23.2   2   6     3e-07   0.00018   19.1   0.1   242   282   228   266   221   284 0.82 guanidine nucleotide exchange factor, putative [Plasmodium vivax]
SCO67812.1           -           2251 6375at5820           -            375   1.6e-44  151.0  23.2   3   6   8.8e-19   5.4e-16   57.0   0.7    89   220   325   452   303   469 0.87 guanidine nucleotide exchange factor, putative [Plasmodium vivax]
SCO67812.1           -           2251 6375at5820           -            375   1.6e-44  151.0  23.2   4   6   3.3e-13     2e-10   38.7   0.1   139   229   629   719   599   729 0.84 guanidine nucleotide exchange factor, putative [Plasmodium vivax]
SCO67812.1           -           2251 6375at5820           -            375   1.6e-44  151.0  23.2   5   6   2.9e-08   1.7e-05   22.5   1.1   103   220   777   912   769   922 0.72 guanidine nucleotide exchange factor, putative [Plasmodium vivax]
SCO67812.1           -           2251 6375at5820           -            375   1.6e-44  151.0  23.2   6   6   0.00016     0.096   10.1   0.1    50   136   940  1036   914  1053 0.64 guanidine nucleotide exchange factor, putative [Plasmodium vivax]
SCO64970.1           -            686 6375at5820           -            375   7.1e-20   69.8  13.7   1   3   2.5e-10   1.5e-07   29.3   0.1   131   228    30   132    24   151 0.82 regulator of chromosome condensation, putative [Plasmodium vivax]
SCO64970.1           -            686 6375at5820           -            375   7.1e-20   69.8  13.7   2   3   0.00022      0.13    9.7   1.6   190   264   173   253   160   256 0.81 regulator of chromosome condensation, putative [Plasmodium vivax]
SCO64970.1           -            686 6375at5820           -            375   7.1e-20   69.8  13.7   3   3   1.5e-13   9.1e-11   39.8   3.8   138   280   240   375   232   432 0.84 regulator of chromosome condensation, putative [Plasmodium vivax]
SCO68056.1           -            479 6375at5820           -            375   9.2e-20   69.4  16.3   1   5      0.71   4.3e+02   -1.9   0.0   271   284    41    54    38    62 0.82 regulator of chromosome condensation, putative [Plasmodium vivax]
SCO68056.1           -            479 6375at5820           -            375   9.2e-20   69.4  16.3   2   5     2e-13   1.2e-10   39.4   1.7   192   282    70   152    53   169 0.64 regulator of chromosome condensation, putative [Plasmodium vivax]
SCO68056.1           -            479 6375at5820           -            375   9.2e-20   69.4  16.3   3   5      0.16     1e+02    0.2   0.1    87   113   201   228   167   235 0.69 regulator of chromosome condensation, putative [Plasmodium vivax]
SCO68056.1           -            479 6375at5820           -            375   9.2e-20   69.4  16.3   4   5   5.8e-06    0.0035   14.9   0.1   192   243   242   293   228   308 0.74 regulator of chromosome condensation, putative [Plasmodium vivax]
SCO68056.1           -            479 6375at5820           -            375   9.2e-20   69.4  16.3   5   5   3.3e-08     2e-05   22.2   0.3    42   111   307   387   296   399 0.73 regulator of chromosome condensation, putative [Plasmodium vivax]
SCO67450.1           -            957 6375at5820           -            375   3.5e-19   67.5  18.6   1   5    0.0018       1.1    6.7   0.2   190   229    31    70     4    77 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67450.1           -            957 6375at5820           -            375   3.5e-19   67.5  18.6   2   5   2.1e-12   1.3e-09   36.0   3.9    41   159    35   157    20   167 0.74 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67450.1           -            957 6375at5820           -            375   3.5e-19   67.5  18.6   3   5     2e-08   1.2e-05   23.0   0.2   158   230   247   317   200   329 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67450.1           -            957 6375at5820           -            375   3.5e-19   67.5  18.6   4   5   1.1e-10   6.4e-08   30.5   0.6   118   224   257   363   255   368 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67450.1           -            957 6375at5820           -            375   3.5e-19   67.5  18.6   5   5    0.0019       1.1    6.6   0.6   246   302   366   428   363   450 0.66 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65260.1           -            585 6375at5820           -            375     4e-15   54.2  16.7   1   4   4.5e-08   2.7e-05   21.8   0.3   184   227    54    98    17   107 0.84 regulator of chromosome condensation, putative [Plasmodium vivax]
SCO65260.1           -            585 6375at5820           -            375     4e-15   54.2  16.7   2   4   0.00031      0.19    9.2   0.5   185   234   156   204   103   219 0.77 regulator of chromosome condensation, putative [Plasmodium vivax]
SCO65260.1           -            585 6375at5820           -            375     4e-15   54.2  16.7   3   4   1.4e-06   0.00087   16.9   0.1    84   117   360   393   339   413 0.79 regulator of chromosome condensation, putative [Plasmodium vivax]
SCO65260.1           -            585 6375at5820           -            375     4e-15   54.2  16.7   4   4   2.7e-06    0.0017   15.9   0.8    38   113   449   534   422   583 0.65 regulator of chromosome condensation, putative [Plasmodium vivax]
SCO66007.1           -           1729 6375at5820           -            375   5.6e-14   50.4   3.1   1   5   2.7e-06    0.0016   16.0   0.0   199   230   489   520   481   536 0.87 regulator of chromosome condensation, putative [Plasmodium vivax]
