#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67066.1           -           3699 224at5820            -           1959         0 3327.1 346.8   1  12  5.9e-169  3.6e-165  550.1  30.7     1   258     1   258     1   267 0.99 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67066.1           -           3699 224at5820            -           1959         0 3327.1 346.8   2  12  5.9e-120  3.6e-116  387.7  34.4   255   509   610   877   606   885 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67066.1           -           3699 224at5820            -           1959         0 3327.1 346.8   3  12   1.8e-52   1.1e-48  163.9   9.5   509   610  1057  1159  1048  1162 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67066.1           -           3699 224at5820            -           1959         0 3327.1 346.8   4  12   3.4e-84   2.1e-80  269.1  23.6   613   769  1228  1384  1217  1388 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67066.1           -           3699 224at5820            -           1959         0 3327.1 346.8   5  12   4.2e-58   2.6e-54  182.6   4.4   768   868  1449  1549  1441  1552 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67066.1           -           3699 224at5820            -           1959         0 3327.1 346.8   6  12  3.8e-149  2.3e-145  484.5  49.8   866  1172  1625  1956  1614  1967 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67066.1           -           3699 224at5820            -           1959         0 3327.1 346.8   7  12   3.2e-29     2e-25   86.8   0.7  1172  1242  2470  2540  2457  2559 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67066.1           -           3699 224at5820            -           1959         0 3327.1 346.8   8  12  1.1e-135  6.5e-132  439.9  40.1  1231  1478  2674  2932  2658  2939 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67066.1           -           3699 224at5820            -           1959         0 3327.1 346.8   9  12  3.8e-174  2.3e-170  567.4  47.9  1476  1749  2983  3256  2981  3265 0.98 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67066.1           -           3699 224at5820            -           1959         0 3327.1 346.8  10  12   1.4e-10   8.5e-07   25.0   0.0  1741  1795  3338  3408  3334  3417 0.77 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67066.1           -           3699 224at5820            -           1959         0 3327.1 346.8  11  12   1.4e-22   8.7e-19   64.7  14.5  1794  1865  3502  3582  3497  3588 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67066.1           -           3699 224at5820            -           1959         0 3327.1 346.8  12  12   1.1e-52   6.6e-49  164.6  16.1  1820  1959  3561  3699  3557  3699 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/224at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/224at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/224at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:39:08 2026
# [ok]
