#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO66015.1           -           2274 449at5820            -           1612         0 2085.5 122.9   1  11   2.8e-43   1.7e-39  133.6   0.5     4   119    50   182    47   189 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66015.1           -           2274 449at5820            -           1612         0 2085.5 122.9   2  11   5.1e-77   3.1e-73  245.4   0.1   115   299   221   430   209   440 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66015.1           -           2274 449at5820            -           1612         0 2085.5 122.9   3  11   1.7e-73     1e-69  233.8  14.3   304   475   475   675   455   681 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66015.1           -           2274 449at5820            -           1612         0 2085.5 122.9   4  11   7.1e-59   4.3e-55  185.3   5.7   470   584   705   822   698   832 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66015.1           -           2274 449at5820            -           1612         0 2085.5 122.9   5  11     1e-72   6.2e-69  231.2  11.7   581   702   841   962   834   965 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66015.1           -           2274 449at5820            -           1612         0 2085.5 122.9   6  11   4.5e-54   2.8e-50  169.4   1.6   710   849  1041  1218  1034  1221 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66015.1           -           2274 449at5820            -           1612         0 2085.5 122.9   7  11   4.1e-33   2.5e-29   99.9   0.0   850   947  1257  1366  1252  1370 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66015.1           -           2274 449at5820            -           1612         0 2085.5 122.9   8  11   8.9e-53   5.4e-49  165.1   1.3   948  1100  1411  1597  1408  1602 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66015.1           -           2274 449at5820            -           1612         0 2085.5 122.9   9  11   5.9e-21   3.6e-17   59.6   0.4  1102  1166  1631  1701  1628  1703 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66015.1           -           2274 449at5820            -           1612         0 2085.5 122.9  10  11  6.9e-136  4.2e-132  440.6  20.8  1166  1502  1735  2112  1733  2120 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66015.1           -           2274 449at5820            -           1612         0 2085.5 122.9  11  11   4.5e-51   2.7e-47  159.4   1.1  1490  1612  2126  2272  2119  2272 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/449at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/449at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/449at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:48:42 2026
# [ok]
