#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67408.1           -            156 14831at5820          -            106   2.1e-37  126.0  12.2   1   2   1.2e-39   2.1e-37  126.0  12.2     1   101     1   112     1   119 0.78 RNA-binding protein s1, putative [Plasmodium vivax]
SCO67408.1           -            156 14831at5820          -            106   2.1e-37  126.0  12.2   2   2       6.8   1.2e+03   -1.8  13.9    77   106   117   155   103   155 0.66 RNA-binding protein s1, putative [Plasmodium vivax]
SCO69999.1           -            883 14831at5820          -            106   8.4e-19   66.2   8.6   1   4   0.00032     0.056   12.1   0.0     4    67    16    85    13   101 0.85 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO69999.1           -            883 14831at5820          -            106   8.4e-19   66.2   8.6   2   4   1.4e-06   0.00025   19.6   2.1     6    80   106   185   102   195 0.82 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO69999.1           -            883 14831at5820          -            106   8.4e-19   66.2   8.6   3   4   2.3e-08   3.9e-06   25.4   0.2     5    85   194   278   191   290 0.80 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO69999.1           -            883 14831at5820          -            106   8.4e-19   66.2   8.6   4   4    0.0021      0.37    9.4   0.0     5    80   450   530   447   547 0.82 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO68014.1           -            392 14831at5820          -            106     1e-11   43.4  13.3   1   3   1.5e-11   2.7e-09   35.6   2.4     3    88    17   103    15   120 0.79 poly(A)-binding protein, putative [Plasmodium vivax]
SCO68014.1           -            392 14831at5820          -            106     1e-11   43.4  13.3   2   3      0.43        75    2.0   0.3     5    73   119   193   115   208 0.66 poly(A)-binding protein, putative [Plasmodium vivax]
SCO68014.1           -            392 14831at5820          -            106     1e-11   43.4  13.3   3   3   0.00019     0.033   12.8   0.4     5    75   210   287   205   300 0.79 poly(A)-binding protein, putative [Plasmodium vivax]
SCO69394.1           -            475 14831at5820          -            106     3e-11   41.9   6.1   1   2   1.2e-06    0.0002   19.9   0.2     2    71    18    93    17   108 0.75 splicing factor 3B subunit 4, putative [Plasmodium vivax]
SCO69394.1           -            475 14831at5820          -            106     3e-11   41.9   6.1   2   2   6.2e-08   1.1e-05   24.0   1.9     5    84   108   191   104   207 0.82 splicing factor 3B subunit 4, putative [Plasmodium vivax]
SCO66619.1           -            287 14831at5820          -            106   1.2e-10   40.0  12.4   1   2   1.5e-09   2.6e-07   29.2   5.9     7    98    50   140    45   145 0.73 RNA-binding protein, putative [Plasmodium vivax]
SCO66619.1           -            287 14831at5820          -            106   1.2e-10   40.0  12.4   2   2   5.4e-05    0.0094   14.6   0.4     3    69   209   280   207   285 0.86 RNA-binding protein, putative [Plasmodium vivax]
SCO66781.1           -            250 14831at5820          -            106   2.7e-07   29.2   0.7   1   2    0.0066       1.2    7.8   0.1     6   100    23   123    19   130 0.77 RNA-binding protein, putative [Plasmodium vivax]
SCO66781.1           -            250 14831at5820          -            106   2.7e-07   29.2   0.7   2   2   1.4e-06   0.00024   19.7   0.1     4    75   172   248   168   250 0.81 RNA-binding protein, putative [Plasmodium vivax]
SCO65430.1           -           1341 14831at5820          -            106   2.9e-07   29.1   2.4   1   2   7.8e-05     0.013   14.1   0.1     7    76   160   228   155   243 0.87 RNA-binding protein, putative [Plasmodium vivax]
SCO65430.1           -           1341 14831at5820          -            106   2.9e-07   29.1   2.4   2   2   4.3e-08   7.5e-06   24.5   0.3     3    76   899   976   897  1005 0.81 RNA-binding protein, putative [Plasmodium vivax]
SCO70229.1           -            390 14831at5820          -            106   1.2e-06   27.1   0.7   1   1   1.8e-08   3.2e-06   25.7   0.4     4    71   224   292   221   298 0.90 RNA-binding protein, putative [Plasmodium vivax]
SCO68028.1           -            513 14831at5820          -            106   1.2e-06   27.1   0.2   1   3    0.0097       1.7    7.3   0.0     7    40    91   124    87   146 0.85 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO68028.1           -            513 14831at5820          -            106   1.2e-06   27.1   0.2   2   3   0.00091      0.16   10.6   0.0     5    62   188   251   184   279 0.76 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO68028.1           -            513 14831at5820          -            106   1.2e-06   27.1   0.2   3   3      0.06        10    4.8   0.1     6    84   374   456   371   478 0.63 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO70005.1           -            110 14831at5820          -            106   1.8e-06   26.5   0.2   1   1   1.3e-08   2.2e-06   26.2   0.2     5    83    15    96    12   110 0.78 splicing factor 3B subunit 6, putative [Plasmodium vivax]
SCO67368.1           -           1061 14831at5820          -            106   2.4e-06   26.1   0.0   1   2   1.4e-08   2.4e-06   26.1   0.0     4    86     6    94     1   112 0.85 RNA-binding protein, putative [Plasmodium vivax]
SCO67368.1           -           1061 14831at5820          -            106   2.4e-06   26.1   0.0   2   2         7   1.2e+03   -1.9   2.3    80   104   658   682   638   687 0.47 RNA-binding protein, putative [Plasmodium vivax]
SCO69492.1           -            503 14831at5820          -            106   2.5e-06   26.1  11.4   1   3   0.00079      0.14   10.8   0.0     6    39    84   117    81   150 0.86 CUGBP Elav-like family member 2, putative [Plasmodium vivax]
SCO69492.1           -            503 14831at5820          -            106   2.5e-06   26.1  11.4   2   3    0.0017      0.29    9.8   1.6     3    83   179   267   177   302 0.77 CUGBP Elav-like family member 2, putative [Plasmodium vivax]
