#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67203.1           -           1572 6929at5820           -            774  5.2e-251  833.7 439.4   1  16   6.8e-84   1.4e-80  270.1  39.9     1   184    80   253    80   259 0.95 asparagine-rich antigen, putative [Plasmodium vivax]
SCO67203.1           -           1572 6929at5820           -            774  5.2e-251  833.7 439.4   2  16   1.4e-05     0.029   11.1  40.3   166   243   282   390   275   394 0.70 asparagine-rich antigen, putative [Plasmodium vivax]
SCO67203.1           -           1572 6929at5820           -            774  5.2e-251  833.7 439.4   3  16   1.7e-29   3.4e-26   90.2  16.9   214   325   383   497   382   510 0.74 asparagine-rich antigen, putative [Plasmodium vivax]
SCO67203.1           -           1572 6929at5820           -            774  5.2e-251  833.7 439.4   4  16      0.14   2.9e+02   -2.1  31.1   288   353   495   581   481   587 0.72 asparagine-rich antigen, putative [Plasmodium vivax]
SCO67203.1           -           1572 6929at5820           -            774  5.2e-251  833.7 439.4   5  16         3   6.1e+03  -14.0  18.4   163   242   580   656   574   675 0.59 asparagine-rich antigen, putative [Plasmodium vivax]
SCO67203.1           -           1572 6929at5820           -            774  5.2e-251  833.7 439.4   6  16     5e-15     1e-11   42.4   2.1   324   383   698   757   686   762 0.88 asparagine-rich antigen, putative [Plasmodium vivax]
SCO67203.1           -           1572 6929at5820           -            774  5.2e-251  833.7 439.4   7  16     0.002         4    4.0   2.0   385   413   846   874   838   886 0.84 asparagine-rich antigen, putative [Plasmodium vivax]
SCO67203.1           -           1572 6929at5820           -            774  5.2e-251  833.7 439.4   8  16   4.9e-28     1e-24   85.4  16.4   398   471   911   990   902  1007 0.74 asparagine-rich antigen, putative [Plasmodium vivax]
SCO67203.1           -           1572 6929at5820           -            774  5.2e-251  833.7 439.4   9  16     4e-24   8.2e-21   72.4  16.3   461   525  1015  1083   999  1087 0.86 asparagine-rich antigen, putative [Plasmodium vivax]
SCO67203.1           -           1572 6929at5820           -            774  5.2e-251  833.7 439.4  10  16   3.3e-31   6.7e-28   95.9  23.1   523   609  1103  1193  1092  1196 0.89 asparagine-rich antigen, putative [Plasmodium vivax]
SCO67203.1           -           1572 6929at5820           -            774  5.2e-251  833.7 439.4  11  16         3   6.1e+03   -7.6  63.7   561   650  1180  1263  1177  1275 0.59 asparagine-rich antigen, putative [Plasmodium vivax]
SCO67203.1           -           1572 6929at5820           -            774  5.2e-251  833.7 439.4  12  16   3.8e-13   7.7e-10   36.2  52.2   581   677  1256  1370  1254  1371 0.74 asparagine-rich antigen, putative [Plasmodium vivax]
SCO67203.1           -           1572 6929at5820           -            774  5.2e-251  833.7 439.4  13  16   0.00052         1    6.0   8.0   650   673  1361  1383  1355  1389 0.70 asparagine-rich antigen, putative [Plasmodium vivax]
SCO67203.1           -           1572 6929at5820           -            774  5.2e-251  833.7 439.4  14  16   3.4e-05     0.069    9.9   6.1   650   677  1388  1415  1384  1417 0.82 asparagine-rich antigen, putative [Plasmodium vivax]
SCO67203.1           -           1572 6929at5820           -            774  5.2e-251  833.7 439.4  15  16   0.00029       0.6    6.8   5.5   650   670  1415  1435  1410  1436 0.84 asparagine-rich antigen, putative [Plasmodium vivax]
SCO67203.1           -           1572 6929at5820           -            774  5.2e-251  833.7 439.4  16  16   5.4e-58   1.1e-54  184.5  38.0   651   774  1434  1572  1433  1572 0.93 asparagine-rich antigen, putative [Plasmodium vivax]
SCO70005.1           -            110 6929at5820           -            774   0.00011   19.1   0.1   1   1   6.5e-08   0.00013   18.8   0.1    67   130    16    75     9   108 0.77 splicing factor 3B subunit 6, putative [Plasmodium vivax]
SCO68331.1           -            632 6929at5820           -            774     0.018   11.8   0.1   1   4   8.7e-06     0.018   11.8   0.1    60   126     4    72     1    76 0.89 RNA-binding protein, putative [Plasmodium vivax]
SCO68331.1           -            632 6929at5820           -            774     0.018   11.8   0.1   2   4   7.6e-06     0.015   12.0   4.7    52   149   155   251   130   262 0.79 RNA-binding protein, putative [Plasmodium vivax]
SCO68331.1           -            632 6929at5820           -            774     0.018   11.8   0.1   3   4         3   6.1e+03  -13.3  52.2   557   658   468   567   416   582 0.76 RNA-binding protein, putative [Plasmodium vivax]
SCO68331.1           -            632 6929at5820           -            774     0.018   11.8   0.1   4   4         3   6.1e+03  -15.6  19.4   564   624   570   630   562   632 0.56 RNA-binding protein, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6929at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6929at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6929at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:55:01 2026
# [ok]
