#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO64980.1           -           1390 3833at5820           -            544  7.3e-186  617.4  86.5   1   9   1.7e-27   5.2e-24   83.2   0.0     1    58    47   104    47   116 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO64980.1           -           1390 3833at5820           -            544  7.3e-186  617.4  86.5   2   9   2.5e-63   7.5e-60  201.5   7.7    55   191   136   290   133   306 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO64980.1           -           1390 3833at5820           -            544  7.3e-186  617.4  86.5   3   9      0.13     4e+02   -2.3   4.8   182   210   452   480   449   484 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO64980.1           -           1390 3833at5820           -            544  7.3e-186  617.4  86.5   4   9   4.3e-09   1.3e-05   22.5   0.0   215   239   520   544   512   548 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO64980.1           -           1390 3833at5820           -            544  7.3e-186  617.4  86.5   5   9   9.9e-47     3e-43  146.7   2.1   240   346   583   709   577   711 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO64980.1           -           1390 3833at5820           -            544  7.3e-186  617.4  86.5   6   9   6.2e-15   1.9e-11   41.7   0.3   343   385   824   866   818   894 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO64980.1           -           1390 3833at5820           -            544  7.3e-186  617.4  86.5   7   9   3.4e-06      0.01   12.9   0.5   383   408   902   927   883   937 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO64980.1           -           1390 3833at5820           -            544  7.3e-186  617.4  86.5   8   9   1.6e-09   4.7e-06   23.9   4.7   406   444  1067  1110  1062  1116 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO64980.1           -           1390 3833at5820           -            544  7.3e-186  617.4  86.5   9   9   6.2e-37   1.9e-33  114.4  19.3   432   544  1222  1357  1199  1357 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69844.1           -            699 3833at5820           -            544   2.1e-06   25.1   0.3   1   5     7e-10   2.1e-06   25.1   0.3     9   149     3   128     1   136 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69844.1           -            699 3833at5820           -            544   2.1e-06   25.1   0.3   2   5      0.12   3.6e+02   -2.1   0.0   238   268   226   258   216   263 0.76 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69844.1           -            699 3833at5820           -            544   2.1e-06   25.1   0.3   3   5         2   6.1e+03  -11.2  13.1   458   508   308   357   260   377 0.44 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69844.1           -            699 3833at5820           -            544   2.1e-06   25.1   0.3   4   5         2   6.1e+03  -11.4  19.3   429   527   433   517   413   535 0.52 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69844.1           -            699 3833at5820           -            544   2.1e-06   25.1   0.3   5   5         2   6.1e+03   -9.6  18.8   361   443   580   662   545   695 0.43 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3833at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3833at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3833at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:40:54 2026
# [ok]
