#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO66564.1           -            963 3545at5820           -            654         0 1075.6  56.4   1   5   3.6e-15   7.3e-12   42.7   0.0     1    64    47   116    47   121 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66564.1           -            963 3545at5820           -            654         0 1075.6  56.4   2   5     4e-90   8.1e-87  290.4  16.9    64   273   138   370   129   375 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66564.1           -            963 3545at5820           -            654         0 1075.6  56.4   3   5  2.5e-102   5.2e-99  330.7  10.9   273   444   466   638   457   649 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66564.1           -            963 3545at5820           -            654         0 1075.6  56.4   4   5  9.3e-120  1.9e-116  388.3   1.7   435   621   684   870   679   876 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66564.1           -            963 3545at5820           -            654         0 1075.6  56.4   5   5   7.2e-15   1.5e-11   41.7   1.8   622   653   931   962   915   963 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67002.1           -            631 3545at5820           -            654   3.3e-11   40.6   4.0   1   3    0.0081        16    1.9   0.0   370   439   161   236   145   269 0.65 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67002.1           -            631 3545at5820           -            654   3.3e-11   40.6   4.0   2   3   1.7e-06    0.0034   14.1   0.3   365   418   274   327   259   338 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67002.1           -            631 3545at5820           -            654   3.3e-11   40.6   4.0   3   3   1.6e-09   3.2e-06   24.1   0.1   321   430   341   451   329   470 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69971.1           -            836 3545at5820           -            654   1.6e-05   21.8   6.6   1   4     8e-09   1.6e-05   21.8   6.6   276   434    62   226    45   231 0.71 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69971.1           -            836 3545at5820           -            654   1.6e-05   21.8   6.6   2   4   0.00037      0.75    6.3   4.9   321   427   216   335   214   356 0.76 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69971.1           -            836 3545at5820           -            654   1.6e-05   21.8   6.6   3   4    0.0045       9.1    2.8   3.3   345   424   370   449   353   457 0.77 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69971.1           -            836 3545at5820           -            654   1.6e-05   21.8   6.6   4   4     0.015        30    1.0   0.5   353   405   452   504   447   518 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3545at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3545at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3545at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:39:27 2026
# [ok]
