#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67173.1           -           1333 2411at5820           -            715         0 1066.8  46.5   1   7   1.9e-42   6.1e-40  135.6   0.7     1   101     1   107     1   121 0.93 protein kinase, putative [Plasmodium vivax]
SCO67173.1           -           1333 2411at5820           -            715         0 1066.8  46.5   2   7   4.4e-58   1.4e-55  187.3   4.6   112   222   273   383   259   415 0.93 protein kinase, putative [Plasmodium vivax]
SCO67173.1           -           1333 2411at5820           -            715         0 1066.8  46.5   3   7      0.08        25    1.3   0.3   212   239   541   568   533   587 0.57 protein kinase, putative [Plasmodium vivax]
SCO67173.1           -           1333 2411at5820           -            715         0 1066.8  46.5   4   7   7.7e-32   2.5e-29  100.5   1.9   235   321   656   745   635   756 0.82 protein kinase, putative [Plasmodium vivax]
SCO67173.1           -           1333 2411at5820           -            715         0 1066.8  46.5   5   7   6.5e-51   2.1e-48  163.6   0.5   320   412   784   876   778   883 0.95 protein kinase, putative [Plasmodium vivax]
SCO67173.1           -           1333 2411at5820           -            715         0 1066.8  46.5   6   7       2.7   8.6e+02   -3.7   0.1   415   428   943   956   936   959 0.79 protein kinase, putative [Plasmodium vivax]
SCO67173.1           -           1333 2411at5820           -            715         0 1066.8  46.5   7   7  1.7e-154  5.3e-152  506.0   1.3   429   715  1028  1333  1004  1333 0.94 protein kinase, putative [Plasmodium vivax]
SCO65637.1           -           1029 2411at5820           -            715   2.3e-22   77.5  30.5   1   6      0.01       3.2    4.3   2.2    13    53    15    54     1    62 0.80 tyrosine kinase-like protein, putative [Plasmodium vivax]
SCO65637.1           -           1029 2411at5820           -            715   2.3e-22   77.5  30.5   2   6    0.0029      0.92    6.1   2.5    10    61    65   116    60   133 0.82 tyrosine kinase-like protein, putative [Plasmodium vivax]
SCO65637.1           -           1029 2411at5820           -            715   2.3e-22   77.5  30.5   3   6     0.028         9    2.8   0.5   111   169   648   707   640   758 0.77 tyrosine kinase-like protein, putative [Plasmodium vivax]
SCO65637.1           -           1029 2411at5820           -            715   2.3e-22   77.5  30.5   4   6    0.0068       2.2    4.8   1.5   297   404   751   860   748   862 0.78 tyrosine kinase-like protein, putative [Plasmodium vivax]
SCO65637.1           -           1029 2411at5820           -            715   2.3e-22   77.5  30.5   5   6   8.3e-05     0.027   11.2   0.2   461   529   839   911   833   915 0.81 tyrosine kinase-like protein, putative [Plasmodium vivax]
SCO65637.1           -           1029 2411at5820           -            715   2.3e-22   77.5  30.5   6   6   1.1e-21   3.5e-19   67.0   0.0   603   686   928  1012   924  1021 0.90 tyrosine kinase-like protein, putative [Plasmodium vivax]
SCO68907.1           -            861 2411at5820           -            715   2.1e-11   41.3   9.9   1   3      0.14        45    0.5   2.0    55    89   511   546   482   563 0.77 serine/threonine protein kinase KIN, putative [Plasmodium vivax]
SCO68907.1           -            861 2411at5820           -            715   2.1e-11   41.3   9.9   2   3   4.1e-06    0.0013   15.5   4.3   459   531   553   629   522   641 0.72 serine/threonine protein kinase KIN, putative [Plasmodium vivax]
