#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO68021.1           -            181 13688at5820          -            142   7.3e-88  290.4  11.0   1   1   3.5e-90   8.9e-88  290.1  11.0     1   142    26   176    26   176 0.97 RNA-binding protein, putative [Plasmodium vivax]
SCO69394.1           -            475 13688at5820          -            142   2.2e-15   55.5   1.7   1   2   7.8e-06     0.002   16.7   0.0    22   109    17   104    10   109 0.88 splicing factor 3B subunit 4, putative [Plasmodium vivax]
SCO69394.1           -            475 13688at5820          -            142   2.2e-15   55.5   1.7   2   2   2.1e-12   5.4e-10   38.0   0.5    26   106   108   187   104   202 0.91 splicing factor 3B subunit 4, putative [Plasmodium vivax]
SCO69999.1           -            883 13688at5820          -            142   2.8e-15   55.1  10.7   1   4   4.6e-06    0.0012   17.4   0.0    27    98    18    89    11   101 0.90 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO69999.1           -            883 13688at5820          -            142   2.8e-15   55.1  10.7   2   4   1.6e-05    0.0041   15.7   0.6    26   110   105   189    87   212 0.79 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO69999.1           -            883 13688at5820          -            142   2.8e-15   55.1  10.7   3   4     0.061        15    4.1   0.8    56    92   221   257   184   265 0.74 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO69999.1           -            883 13688at5820          -            142   2.8e-15   55.1  10.7   4   4   1.7e-07   4.4e-05   22.0   0.1    25   105   449   528   426   540 0.88 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO68028.1           -            513 13688at5820          -            142   2.1e-11   42.5   0.1   1   3   0.00059      0.15   10.6   0.0    20    89    83   152    75   173 0.91 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO68028.1           -            513 13688at5820          -            142   2.1e-11   42.5   0.1   2   3   0.00017     0.042   12.4   0.0    24   100   186   265   167   275 0.87 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO68028.1           -            513 13688at5820          -            142   2.1e-11   42.5   0.1   3   3   1.6e-05    0.0041   15.7   0.0    28   116   375   463   367   479 0.85 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO68014.1           -            392 13688at5820          -            142   3.3e-10   38.7  12.7   1   3      0.26        66    2.0   1.2    27   110    20    98     6   122 0.68 poly(A)-binding protein, putative [Plasmodium vivax]
SCO68014.1           -            392 13688at5820          -            142   3.3e-10   38.7  12.7   2   3   1.9e-07   4.8e-05   21.9   0.6    44   100   134   194   130   208 0.76 poly(A)-binding protein, putative [Plasmodium vivax]
SCO68014.1           -            392 13688at5820          -            142   3.3e-10   38.7  12.7   3   3   2.5e-07   6.3e-05   21.5   0.2    27   101   211   284   205   294 0.85 poly(A)-binding protein, putative [Plasmodium vivax]
SCO65839.1           -            292 13688at5820          -            142   7.4e-09   34.3   0.0   1   2    0.0093       2.3    6.7   0.0    23   106     5    90     2   110 0.81 RNA-binding protein, putative [Plasmodium vivax]
SCO65839.1           -            292 13688at5820          -            142   7.4e-09   34.3   0.0   2   2   1.4e-08   3.6e-06   25.6   0.0    39   102   169   231   137   241 0.76 RNA-binding protein, putative [Plasmodium vivax]
SCO66489.1           -            340 13688at5820          -            142   1.2e-07   30.4   2.9   1   2     0.019       4.7    5.8   0.0    54    84   116   145    87   161 0.71 RNA-binding protein musashi, putative [Plasmodium vivax]
SCO66489.1           -            340 13688at5820          -            142   1.2e-07   30.4   2.9   2   2   5.7e-08   1.4e-05   23.6   1.7    25   123   170   272   157   284 0.75 RNA-binding protein musashi, putative [Plasmodium vivax]
SCO65939.1           -            361 13688at5820          -            142   4.3e-07   28.6   0.8   1   2   9.4e-06    0.0024   16.4   0.1    22    77   115   170    99   192 0.83 RNA-binding protein, putative [Plasmodium vivax]
SCO65939.1           -            361 13688at5820          -            142   4.3e-07   28.6   0.8   2   2   0.00061      0.15   10.6   0.1    25   112   202   287   191   302 0.84 RNA-binding protein, putative [Plasmodium vivax]
SCO68708.1           -           1033 13688at5820          -            142   2.1e-06   26.3   0.1   1   3   8.1e-05     0.021   13.4   0.1    55   114   673   732   639   743 0.86 splicing factor 1, putative [Plasmodium vivax]
SCO68708.1           -           1033 13688at5820          -            142   2.1e-06   26.3   0.1   2   3    0.0033      0.84    8.2   0.0    31   113   751   832   736   855 0.75 splicing factor 1, putative [Plasmodium vivax]
SCO68708.1           -           1033 13688at5820          -            142   2.1e-06   26.3   0.1   3   3       1.6   4.1e+02   -0.5   0.0    52    94   976  1016   957  1021 0.75 splicing factor 1, putative [Plasmodium vivax]
SCO67176.1           -            753 13688at5820          -            142   3.2e-06   25.7   5.7   1   4         4     1e+03   -1.8   1.3    44    67   280   300   266   357 0.48 nucleic acid binding protein, putative [Plasmodium vivax]
SCO67176.1           -            753 13688at5820          -            142   3.2e-06   25.7   5.7   2   4   1.4e-07   3.5e-05   22.4   1.6    25   110   363   447   348   478 0.79 nucleic acid binding protein, putative [Plasmodium vivax]
SCO67176.1           -            753 13688at5820          -            142   3.2e-06   25.7   5.7   3   4       3.6     9e+02   -1.7   0.7    43    93   477   528   453   534 0.56 nucleic acid binding protein, putative [Plasmodium vivax]
SCO67176.1           -            753 13688at5820          -            142   3.2e-06   25.7   5.7   4   4   5.2e-05     0.013   14.0   0.1    11    99   649   738   645   752 0.85 nucleic acid binding protein, putative [Plasmodium vivax]
SCO66738.1           -            318 13688at5820          -            142   5.1e-06   25.1   1.0   1   2     2e-08   5.1e-06   25.1   1.0    22   104    82   165    72   196 0.83 RNA-binding protein, putative [Plasmodium vivax]
