#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO66960.1           -           2013 833at5820            -           1112         0 1403.0  66.5   1  11   1.6e-44   9.9e-41  138.1   0.0     1    95    36   132    36   138 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66960.1           -           2013 833at5820            -           1112         0 1403.0  66.5   2  11     6e-32   3.7e-28   96.4   0.5    92   164   196   268   183   272 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66960.1           -           2013 833at5820            -           1112         0 1403.0  66.5   3  11   1.5e-33   8.8e-30  101.8   0.0   162   250   298   387   291   394 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66960.1           -           2013 833at5820            -           1112         0 1403.0  66.5   4  11     1e-36   6.2e-33  112.2   6.5   274   363   596   704   589   708 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66960.1           -           2013 833at5820            -           1112         0 1403.0  66.5   5  11     3e-39   1.8e-35  120.6   0.6   361   441   729   810   724   815 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66960.1           -           2013 833at5820            -           1112         0 1403.0  66.5   6  11   1.6e-36   9.6e-33  111.6   0.0   441   533   837   949   835   955 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66960.1           -           2013 833at5820            -           1112         0 1403.0  66.5   7  11   5.3e-70   3.2e-66  222.5   5.6   532   669   989  1129   978  1161 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66960.1           -           2013 833at5820            -           1112         0 1403.0  66.5   8  11     1e-19   6.2e-16   56.0   0.1   661   731  1163  1234  1154  1239 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66960.1           -           2013 833at5820            -           1112         0 1403.0  66.5   9  11   1.7e-32     1e-28   98.3   0.6   731   806  1539  1614  1535  1638 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66960.1           -           2013 833at5820            -           1112         0 1403.0  66.5  10  11   9.8e-34     6e-30  102.4   0.5   792   890  1635  1733  1628  1736 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66960.1           -           2013 833at5820            -           1112         0 1403.0  66.5  11  11   2.6e-86   1.6e-82  276.4   0.9   887  1111  1753  2009  1744  2010 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/833at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/833at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/833at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 19:05:11 2026
# [ok]
