#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO64928.1           -           1352 1033at5820           -            947         0 1097.1 105.5   1   9   1.8e-07    0.0011   15.7   0.2     1    20     1    20     1    26 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO64928.1           -           1352 1033at5820           -            947         0 1097.1 105.5   2   9   1.1e-41   6.7e-38  128.9  12.2    22   101    50   129    46   146 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO64928.1           -           1352 1033at5820           -            947         0 1097.1 105.5   3   9   6.4e-27   3.9e-23   80.0  13.8   102   209   155   289   146   291 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO64928.1           -           1352 1033at5820           -            947         0 1097.1 105.5   4   9   2.9e-54   1.8e-50  170.5   0.0   210   325   326   453   320   469 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO64928.1           -           1352 1033at5820           -            947         0 1097.1 105.5   5   9   6.3e-09   3.8e-05   20.5   0.0   322   353   477   510   474   514 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO64928.1           -           1352 1033at5820           -            947         0 1097.1 105.5   6   9   7.8e-30   4.8e-26   89.6   1.2   354   443   548   655   544   661 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO64928.1           -           1352 1033at5820           -            947         0 1097.1 105.5   7   9   1.2e-33   7.2e-30  102.3  11.0   443   564   711   846   704   866 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO64928.1           -           1352 1033at5820           -            947         0 1097.1 105.5   8   9  5.9e-124  3.6e-120  401.1  15.2   569   855   883  1223   869  1236 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO64928.1           -           1352 1033at5820           -            947         0 1097.1 105.5   9   9   1.8e-38   1.1e-34  118.3   3.7   859   946  1258  1349  1251  1350 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1033at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1033at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1033at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:28:48 2026
# [ok]
