#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO66224.1           -            858 6638at5820           -            684    1e-222  740.1   0.5   1   1  9.7e-226  1.5e-222  739.6   0.5     2   684     4   858     3   858 0.77 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66658.1           -            725 6638at5820           -            684   3.8e-16   57.5  11.6   1   4   6.8e-05       0.1    9.8   0.0    10    85     9    87     1    97 0.82 mRNA processing protein, putative [Plasmodium vivax]
SCO66658.1           -            725 6638at5820           -            684   3.8e-16   57.5  11.6   2   4      0.78   1.2e+03   -3.6   0.2   358   368   169   179   141   201 0.37 mRNA processing protein, putative [Plasmodium vivax]
SCO66658.1           -            725 6638at5820           -            684   3.8e-16   57.5  11.6   3   4    0.0091        14    2.7   0.1   182   203   223   245   217   249 0.83 mRNA processing protein, putative [Plasmodium vivax]
SCO66658.1           -            725 6638at5820           -            684   3.8e-16   57.5  11.6   4   4   1.8e-17   2.7e-14   51.4   0.8   630   680   674   724   666   725 0.94 mRNA processing protein, putative [Plasmodium vivax]
SCO67727.1           -            314 6638at5820           -            684    0.0061   13.8   9.2   1   2   0.00058      0.88    6.7   0.0     5    59     5    57     1    93 0.84 serine/arginine-rich splicing factor 1, putative [Plasmodium vivax]
SCO67727.1           -            314 6638at5820           -            684    0.0061   13.8   9.2   2   2    0.0012       1.9    5.6   9.0   281   471   207   288   113   313 0.39 serine/arginine-rich splicing factor 1, putative [Plasmodium vivax]
SCO65839.1           -            292 6638at5820           -            684     0.011   13.0   0.6   1   3    0.0011       1.7    5.8   0.0     6    25     5    24     1    28 0.87 RNA-binding protein, putative [Plasmodium vivax]
SCO65839.1           -            292 6638at5820           -            684     0.011   13.0   0.6   2   3      0.46   7.1e+02   -2.9   0.3   396   441    75   126    54   133 0.45 RNA-binding protein, putative [Plasmodium vivax]
SCO65839.1           -            292 6638at5820           -            684     0.011   13.0   0.6   3   3    0.0018       2.8    5.0   0.0    10    60   157   207   154   217 0.93 RNA-binding protein, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6638at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6638at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6638at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:51:23 2026
# [ok]
