#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67251.1           -            791 4929at5820           -            584         0 1087.0  78.7   1   3     1e-22   1.3e-19   68.5  31.9     1   137     1   212     1   222 0.73 SET domain protein, putative [Plasmodium vivax]
SCO67251.1           -            791 4929at5820           -            584         0 1087.0  78.7   2   3         5   6.1e+03   -7.4  21.0    88   150   205   265   200   298 0.56 SET domain protein, putative [Plasmodium vivax]
SCO67251.1           -            791 4929at5820           -            584         0 1087.0  78.7   3   3         0         0 1028.8  22.6   102   584   310   791   268   791 0.94 SET domain protein, putative [Plasmodium vivax]
SCO66421.1           -           1080 4929at5820           -            584   5.9e-14   49.8   6.8   1   2   7.7e-07   0.00094   16.1   0.4   155   207   400   452   358   461 0.75 SET domain protein, putative [Plasmodium vivax]
SCO66421.1           -           1080 4929at5820           -            584   5.9e-14   49.8   6.8   2   2   5.6e-13   6.8e-10   36.4   1.3   285   387   562   663   530   669 0.85 SET domain protein, putative [Plasmodium vivax]
SCO67816.1           -           1557 4929at5820           -            584   1.3e-08   32.2   2.2   1   2     0.052        64    0.1   0.0   156   182   242   268   235   403 0.84 SET domain protein, putative [Plasmodium vivax]
SCO67816.1           -           1557 4929at5820           -            584   1.3e-08   32.2   2.2   2   2   3.4e-11   4.1e-08   30.5   0.5   296   390   450   546   424   556 0.89 SET domain protein, putative [Plasmodium vivax]
SCO67804.1           -            143 4929at5820           -            584       1.1    6.0  11.7   1   1   0.00084         1    6.1  11.7    66   148    41   126     8   143 0.46 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66292.1           -            438 4929at5820           -            584       3.1    4.5  16.7   1   1    0.0036       4.4    4.0  16.7    84   149   262   339   214   356 0.49 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4929at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4929at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4929at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:48:46 2026
# [ok]
