#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67596.1           -            933 3692at5820           -            699         0 1029.7 149.1   1   3  5.1e-158  1.5e-154  514.6  48.0     1   306    26   365    26   372 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67596.1           -            933 3692at5820           -            699         0 1029.7 149.1   2   3   1.3e-83   4.1e-80  268.6  76.7   309   541   412   702   395   707 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67596.1           -            933 3692at5820           -            699         0 1029.7 149.1   3   3     8e-80   2.4e-76  256.2   8.5   541   698   737   905   722   906 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66434.1           -           3247 3692at5820           -            699   4.8e-06   23.8  34.5   1  11      0.35   1.1e+03   -3.8   3.2    57   119   320   379   288   383 0.80 cysteine repeat modular protein 1, putative [Plasmodium vivax]
SCO66434.1           -           3247 3692at5820           -            699   4.8e-06   23.8  34.5   2  11       1.3   3.9e+03   -5.6   4.1   353   419   926   992   923  1028 0.63 cysteine repeat modular protein 1, putative [Plasmodium vivax]
SCO66434.1           -           3247 3692at5820           -            699   4.8e-06   23.8  34.5   3  11     0.001       3.2    4.6   6.2     1    55  1309  1370  1309  1385 0.71 cysteine repeat modular protein 1, putative [Plasmodium vivax]
SCO66434.1           -           3247 3692at5820           -            699   4.8e-06   23.8  34.5   4  11         2   6.1e+03   -6.6  10.4    12   109  1384  1488  1370  1494 0.62 cysteine repeat modular protein 1, putative [Plasmodium vivax]
SCO66434.1           -           3247 3692at5820           -            699   4.8e-06   23.8  34.5   5  11   0.00096       2.9    4.7  12.9    11    68  1526  1583  1522  1593 0.86 cysteine repeat modular protein 1, putative [Plasmodium vivax]
SCO66434.1           -           3247 3692at5820           -            699   4.8e-06   23.8  34.5   6  11   2.6e-05     0.078    9.9   1.8     6    67  1640  1701  1637  1701 0.87 cysteine repeat modular protein 1, putative [Plasmodium vivax]
SCO66434.1           -           3247 3692at5820           -            699   4.8e-06   23.8  34.5   7  11     0.009        27    1.5   6.4     8    58  1694  1748  1691  1762 0.85 cysteine repeat modular protein 1, putative [Plasmodium vivax]
SCO66434.1           -           3247 3692at5820           -            699   4.8e-06   23.8  34.5   8  11   8.4e-06     0.025   11.5  10.9    12    77  1818  1881  1815  1887 0.83 cysteine repeat modular protein 1, putative [Plasmodium vivax]
SCO66434.1           -           3247 3692at5820           -            699   4.8e-06   23.8  34.5   9  11   1.6e-09   4.8e-06   23.8  34.5    11   348  2109  2448  2092  2504 0.71 cysteine repeat modular protein 1, putative [Plasmodium vivax]
SCO66434.1           -           3247 3692at5820           -            699   4.8e-06   23.8  34.5  10  11      0.26   7.8e+02   -3.3  17.6   401   529  2579  2700  2534  2732 0.72 cysteine repeat modular protein 1, putative [Plasmodium vivax]
SCO66434.1           -           3247 3692at5820           -            699   4.8e-06   23.8  34.5  11  11      0.69   2.1e+03   -4.7   3.0   233   275  2916  2958  2898  2980 0.73 cysteine repeat modular protein 1, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3692at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3692at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3692at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:40:19 2026
# [ok]
