#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO66822.1           -            188 12151at5820          -            140   1.2e-82  273.4   5.8   1   1   9.6e-82   5.3e-79  261.6   5.8     1   140     1   167     1   167 0.92 ankyrin-repeat protein, putative [Plasmodium vivax]
SCO69364.1           -            708 12151at5820          -            140   2.9e-14   51.8   1.8   1   4   8.1e-09   4.5e-06   25.3   0.0    46    98   390   444   382   468 0.78 ankyrin, putative [Plasmodium vivax]
SCO69364.1           -            708 12151at5820          -            140   2.9e-14   51.8   1.8   2   4   1.3e-05    0.0072   14.9   0.1    39    99   450   514   445   535 0.84 ankyrin, putative [Plasmodium vivax]
SCO69364.1           -            708 12151at5820          -            140   2.9e-14   51.8   1.8   3   4   0.00052      0.29    9.8   0.0    51    96   498   544   498   568 0.87 ankyrin, putative [Plasmodium vivax]
SCO69364.1           -            708 12151at5820          -            140   2.9e-14   51.8   1.8   4   4    0.0014      0.77    8.4   0.1    45    96   591   644   547   659 0.83 ankyrin, putative [Plasmodium vivax]
SCO67086.1           -            611 12151at5820          -            140   2.6e-10   39.1   0.5   1   2    0.0025       1.4    7.5   0.1    96   113    82    99    38   123 0.73 palmitoyltransferase, putative [Plasmodium vivax]
SCO67086.1           -            611 12151at5820          -            140   2.6e-10   39.1   0.5   2   2     5e-10   2.8e-07   29.2   0.0    36    93   154   212   134   221 0.91 palmitoyltransferase, putative [Plasmodium vivax]
SCO66275.1           -            482 12151at5820          -            140   4.6e-09   35.0   0.5   1   4       5.5     3e+03   -3.3   0.0    86    94    22    30     6    36 0.70 bromodomain protein 1, putative [Plasmodium vivax]
SCO66275.1           -            482 12151at5820          -            140   4.6e-09   35.0   0.5   2   4   9.8e-06    0.0054   15.3   0.0    11    96    61   150    52   155 0.81 bromodomain protein 1, putative [Plasmodium vivax]
SCO66275.1           -            482 12151at5820          -            140   4.6e-09   35.0   0.5   3   4   8.9e-06    0.0049   15.5   0.0    40    92   159   212   153   224 0.88 bromodomain protein 1, putative [Plasmodium vivax]
SCO66275.1           -            482 12151at5820          -            140   4.6e-09   35.0   0.5   4   4       3.9   2.1e+03   -2.8   0.0    85   109   339   363   332   374 0.68 bromodomain protein 1, putative [Plasmodium vivax]
SCO66158.1           -           1903 12151at5820          -            140   4.7e-09   35.0   9.2   1   3     1e-08   5.6e-06   25.0   0.2    39    98  1083  1143  1053  1151 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66158.1           -           1903 12151at5820          -            140   4.7e-09   35.0   9.2   2   3    0.0016       0.9    8.1   0.1    43   102  1163  1223  1146  1228 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66158.1           -           1903 12151at5820          -            140   4.7e-09   35.0   9.2   3   3    0.0041       2.2    6.9   0.0    38    92  1225  1280  1222  1289 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67289.1           -            366 12151at5820          -            140   6.4e-06   24.8   0.1   1   1   2.4e-08   1.3e-05   23.8   0.1    41    95   287   342   258   349 0.87 acyl-CoA-binding protein, putative [Plasmodium vivax]
SCO69726.1           -            400 12151at5820          -            140   2.3e-05   23.0   8.2   1   4   0.00012     0.066   11.8   1.3    52    97    85   131    40   138 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69726.1           -            400 12151at5820          -            140   2.3e-05   23.0   8.2   2   4   3.9e-05     0.022   13.4   0.2    39    91   138   191   131   202 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69726.1           -            400 12151at5820          -            140   2.3e-05   23.0   8.2   3   4       0.9     5e+02   -0.7   0.0    72    90   207   225   190   251 0.75 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69726.1           -            400 12151at5820          -            140   2.3e-05   23.0   8.2   4   4       1.4   7.6e+02   -1.3   0.0    99   111   331   343   306   346 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68126.1           -           1842 12151at5820          -            140   0.00021   19.9  17.3   1   5       7.8   4.3e+03   -3.8   0.1     4    26  1126  1148  1125  1150 0.88 ankyrin-repeat protein, putative [Plasmodium vivax]
SCO68126.1           -           1842 12151at5820          -            140   0.00021   19.9  17.3   2   5      0.19   1.1e+02    1.4   0.0    56    98  1203  1246  1191  1266 0.78 ankyrin-repeat protein, putative [Plasmodium vivax]
SCO68126.1           -           1842 12151at5820          -            140   0.00021   19.9  17.3   3   5      0.27   1.5e+02    1.0   0.3    49    97  1456  1508  1446  1542 0.70 ankyrin-repeat protein, putative [Plasmodium vivax]
SCO68126.1           -           1842 12151at5820          -            140   0.00021   19.9  17.3   4   5   4.6e-05     0.025   13.2   0.2    24    96  1562  1642  1547  1647 0.65 ankyrin-repeat protein, putative [Plasmodium vivax]
SCO68126.1           -           1842 12151at5820          -            140   0.00021   19.9  17.3   5   5   0.00012     0.064   11.9   1.6    40   116  1651  1739  1643  1751 0.75 ankyrin-repeat protein, putative [Plasmodium vivax]
