#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO65189.1           -           4998 74at5820             -           2856         0 4013.4 412.5   1  20   1.7e-99     1e-95  319.8  38.2    13   268    49   383    43   389 0.85 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
SCO65189.1           -           4998 74at5820             -           2856         0 4013.4 412.5   2  20  5.6e-187  3.4e-183  610.0  33.6   266   610   422   793   420   795 0.94 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
SCO65189.1           -           4998 74at5820             -           2856         0 4013.4 412.5   3  20   1.3e-33     8e-30  101.2   0.7   605   678   861   940   855   947 0.89 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
SCO65189.1           -           4998 74at5820             -           2856         0 4013.4 412.5   4  20   9.3e-51   5.6e-47  158.0   9.1   680   784   987  1094   980  1100 0.94 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
SCO65189.1           -           4998 74at5820             -           2856         0 4013.4 412.5   5  20   2.7e-59   1.7e-55  186.3   9.1   780   945  1145  1347  1126  1356 0.85 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
SCO65189.1           -           4998 74at5820             -           2856         0 4013.4 412.5   6  20   1.8e-19   1.1e-15   54.2   0.3   945  1004  1435  1495  1422  1522 0.83 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
SCO65189.1           -           4998 74at5820             -           2856         0 4013.4 412.5   7  20   2.4e-25   1.5e-21   73.7   1.2   990  1049  1540  1599  1533  1605 0.95 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
SCO65189.1           -           4998 74at5820             -           2856         0 4013.4 412.5   8  20  1.6e-137  9.8e-134  445.9  31.3  1044  1277  1634  1885  1629  1906 0.92 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
SCO65189.1           -           4998 74at5820             -           2856         0 4013.4 412.5   9  20   7.3e-14   4.4e-10   35.6   6.6  1278  1348  2038  2113  1996  2137 0.75 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
SCO65189.1           -           4998 74at5820             -           2856         0 4013.4 412.5  10  20   4.3e-47   2.6e-43  145.9  12.9  1328  1459  2237  2384  2203  2388 0.83 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
SCO65189.1           -           4998 74at5820             -           2856         0 4013.4 412.5  11  20   9.1e-22   5.5e-18   61.9   7.1  1424  1516  2420  2517  2406  2531 0.80 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
SCO65189.1           -           4998 74at5820             -           2856         0 4013.4 412.5  12  20  3.8e-101   2.3e-97  325.2  38.2  1506  1739  2628  2908  2609  2924 0.81 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
SCO65189.1           -           4998 74at5820             -           2856         0 4013.4 412.5  13  20  1.6e-162  9.9e-159  528.8  18.5  1743  2044  3174  3496  3157  3501 0.94 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
SCO65189.1           -           4998 74at5820             -           2856         0 4013.4 412.5  14  20   2.3e-50   1.4e-46  156.7  10.2  2045  2139  3529  3623  3525  3627 0.96 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
SCO65189.1           -           4998 74at5820             -           2856         0 4013.4 412.5  15  20  4.3e-109  2.6e-105  351.6  37.3  2151  2368  3812  4076  3788  4089 0.85 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
SCO65189.1           -           4998 74at5820             -           2856         0 4013.4 412.5  16  20   3.8e-07    0.0023   13.4   0.1  2365  2387  4115  4137  4112  4150 0.92 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
SCO65189.1           -           4998 74at5820             -           2856         0 4013.4 412.5  17  20   6.2e-36   3.7e-32  108.9   3.9  2387  2499  4231  4369  4229  4395 0.80 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
SCO65189.1           -           4998 74at5820             -           2856         0 4013.4 412.5  18  20   2.1e-51   1.3e-47  160.2   9.2  2499  2636  4410  4564  4402  4570 0.89 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
SCO65189.1           -           4998 74at5820             -           2856         0 4013.4 412.5  19  20   1.7e-62     1e-58  197.0   8.2  2635  2772  4679  4826  4673  4841 0.92 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
SCO65189.1           -           4998 74at5820             -           2856         0 4013.4 412.5  20  20   9.1e-24   5.5e-20   68.5   0.0  2757  2856  4884  4998  4872  4998 0.73 conserved Plasmodium membrane protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/74at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/74at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/74at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:59:33 2026
# [ok]
