#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO69166.1           -           1433 857at5820            -           1079         0 2398.5  33.7   1   2         0         0 1756.6  22.1     1   778   202  1010   202  1016 0.98 DNA-directed RNA polymerase III subunit RPC2, putative [Plasmodium vivax]
SCO69166.1           -           1433 857at5820            -           1079         0 2398.5  33.7   2   2  5.7e-198  8.6e-195  647.8   3.7   768  1079  1096  1433  1090  1433 0.95 DNA-directed RNA polymerase III subunit RPC2, putative [Plasmodium vivax]
SCO65597.1           -           1346 857at5820            -           1079  7.4e-208  691.1   8.1   1   2  5.1e-128  7.8e-125  416.2   1.7    11   812    34   898    24   910 0.80 DNA-directed RNA polymerase II subunit RPB2, putative [Plasmodium vivax]
SCO65597.1           -           1346 857at5820            -           1079  7.4e-208  691.1   8.1   2   2   3.9e-86     6e-83  277.5   0.6   822  1077  1073  1344  1052  1346 0.92 DNA-directed RNA polymerase II subunit RPB2, putative [Plasmodium vivax]
SCO67445.1           -           1585 857at5820            -           1079  2.3e-102  341.8  30.1   1   7   7.9e-11   1.2e-07   28.2   1.9    25   179   107   274    94   290 0.78 DNA-directed RNA polymerase I subunit RPA2, putative [Plasmodium vivax]
SCO67445.1           -           1585 857at5820            -           1079  2.3e-102  341.8  30.1   2   7      0.44   6.7e+02   -4.1   1.1   303   380   400   472   394   502 0.73 DNA-directed RNA polymerase I subunit RPA2, putative [Plasmodium vivax]
SCO67445.1           -           1585 857at5820            -           1079  2.3e-102  341.8  30.1   3   7   1.3e-14   1.9e-11   40.7   0.1   439   594   622   791   546   817 0.74 DNA-directed RNA polymerase I subunit RPA2, putative [Plasmodium vivax]
SCO67445.1           -           1585 857at5820            -           1079  2.3e-102  341.8  30.1   4   7   8.6e-31   1.3e-27   94.3   0.0   625   772   974  1121   964  1136 0.95 DNA-directed RNA polymerase I subunit RPA2, putative [Plasmodium vivax]
SCO67445.1           -           1585 857at5820            -           1079  2.3e-102  341.8  30.1   5   7   5.8e-29   8.8e-26   88.2   0.0   823   915  1221  1312  1178  1330 0.82 DNA-directed RNA polymerase I subunit RPA2, putative [Plasmodium vivax]
SCO67445.1           -           1585 857at5820            -           1079  2.3e-102  341.8  30.1   6   7   7.5e-35   1.1e-31  107.7   0.4   930  1043  1400  1513  1388  1524 0.97 DNA-directed RNA polymerase I subunit RPA2, putative [Plasmodium vivax]
SCO67445.1           -           1585 857at5820            -           1079  2.3e-102  341.8  30.1   7   7     0.024        37    0.1   0.5  1035  1077  1539  1576  1533  1578 0.83 DNA-directed RNA polymerase I subunit RPA2, putative [Plasmodium vivax]
SCO65841.1           -            991 857at5820            -           1079   4.5e-05   19.6   0.0   1   1   4.4e-08   6.7e-05   19.1   0.0   205   256   856   907   837   967 0.89 serine/threonine protein kinase VPS15, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/857at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/857at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/857at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 19:06:25 2026
# [ok]
