#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO68587.1           -           1256 3047at5820           -            724         0 1139.1  70.6   1   6   1.4e-27   1.5e-24   85.0   7.9     1    76    33   123    33   126 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68587.1           -           1256 3047at5820           -            724         0 1139.1  70.6   2   6   1.3e-40   1.3e-37  128.1   3.1    72   159   190   277   184   281 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68587.1           -           1256 3047at5820           -            724         0 1139.1  70.6   3   6   5.8e-46   5.8e-43  145.9   1.8   157   266   329   457   325   491 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68587.1           -           1256 3047at5820           -            724         0 1139.1  70.6   4   6  4.6e-164  4.7e-161  536.2  17.2   263   566   508   848   506   857 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68587.1           -           1256 3047at5820           -            724         0 1139.1  70.6   5   6   6.1e-28   6.2e-25   86.3   0.9   567   630   909   978   901   985 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68587.1           -           1256 3047at5820           -            724         0 1139.1  70.6   6   6     7e-57   7.1e-54  181.9   1.9   633   724  1158  1250  1149  1250 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66768.1           -           1547 3047at5820           -            724   3.8e-35  120.0   0.0   1   2     2e-05      0.02   11.9   0.1   380   451   833   905   822   932 0.82 regulator of nonsense transcripts, putative [Plasmodium vivax]
SCO66768.1           -           1547 3047at5820           -            724   3.8e-35  120.0   0.0   2   2   8.6e-34   8.8e-31  105.6   0.0   456   700   976  1230   958  1241 0.83 regulator of nonsense transcripts, putative [Plasmodium vivax]
SCO64892.1           -           2317 3047at5820           -            724     7e-33  112.5   0.1   1   5       3.4   3.5e+03   -5.5   4.9   289   330    50    89    16   130 0.48 erythrocyte membrane-associated antigen, putative [Plasmodium vivax]
SCO64892.1           -           2317 3047at5820           -            724     7e-33  112.5   0.1   2   5       2.1   2.1e+03   -4.8   5.5     7    79   959  1033   893  1057 0.70 erythrocyte membrane-associated antigen, putative [Plasmodium vivax]
SCO64892.1           -           2317 3047at5820           -            724     7e-33  112.5   0.1   3   5       0.7   7.1e+02   -3.2   0.6   306   339  1328  1361  1322  1383 0.82 erythrocyte membrane-associated antigen, putative [Plasmodium vivax]
SCO64892.1           -           2317 3047at5820           -            724     7e-33  112.5   0.1   4   5      0.52   5.3e+02   -2.8   0.0   383   427  1826  1871  1821  1892 0.71 erythrocyte membrane-associated antigen, putative [Plasmodium vivax]
SCO64892.1           -           2317 3047at5820           -            724     7e-33  112.5   0.1   5   5   6.9e-36     7e-33  112.5   0.1   429   720  1919  2226  1908  2230 0.84 erythrocyte membrane-associated antigen, putative [Plasmodium vivax]
SCO67172.1           -           1089 3047at5820           -            724   6.9e-27   92.7  40.9   1   4       2.9   2.9e+03   -5.2   6.1   281   358   106   193    59   225 0.60 dna2/nam7 helicase family member, putative [Plasmodium vivax]
SCO67172.1           -           1089 3047at5820           -            724   6.9e-27   92.7  40.9   2   4   7.9e-09     8e-06   23.1   0.4   368   436   402   469   396   504 0.81 dna2/nam7 helicase family member, putative [Plasmodium vivax]
SCO67172.1           -           1089 3047at5820           -            724   6.9e-27   92.7  40.9   3   4   1.3e-08   1.3e-05   22.3   3.3   464   557   593   685   579   698 0.85 dna2/nam7 helicase family member, putative [Plasmodium vivax]
SCO67172.1           -           1089 3047at5820           -            724   6.9e-27   92.7  40.9   4   4   1.5e-23   1.5e-20   71.8   5.3   586   707   932  1063   922  1069 0.86 dna2/nam7 helicase family member, putative [Plasmodium vivax]
SCO66819.1           -           1736 3047at5820           -            724     3e-16   57.5  31.2   1   5      0.89     9e+02   -3.5   1.3   347   381   324   361   302   379 0.68 DNA2/NAM7 helicase, putative [Plasmodium vivax]
SCO66819.1           -           1736 3047at5820           -            724     3e-16   57.5  31.2   2   5   0.00023      0.23    8.3   0.0   365   405   607   647   593   656 0.79 DNA2/NAM7 helicase, putative [Plasmodium vivax]
SCO66819.1           -           1736 3047at5820           -            724     3e-16   57.5  31.2   3   5   3.5e-10   3.5e-07   27.6   6.8   462   567   998  1105   939  1111 0.77 DNA2/NAM7 helicase, putative [Plasmodium vivax]
SCO66819.1           -           1736 3047at5820           -            724     3e-16   57.5  31.2   4   5   5.5e-10   5.6e-07   26.9   0.6   582   664  1188  1285  1163  1298 0.74 DNA2/NAM7 helicase, putative [Plasmodium vivax]
SCO66819.1           -           1736 3047at5820           -            724     3e-16   57.5  31.2   5   5   6.5e-05     0.066   10.1   0.4   670   711  1341  1382  1331  1392 0.86 DNA2/NAM7 helicase, putative [Plasmodium vivax]
SCO70098.1           -           1875 3047at5820           -            724   5.3e-07   27.0   1.4   1   4      0.27   2.7e+02   -1.8   0.0   385   405  1204  1224  1202  1232 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70098.1           -           1875 3047at5820           -            724   5.3e-07   27.0   1.4   2   4      0.16   1.6e+02   -1.1   0.4   452   499  1442  1490  1430  1494 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70098.1           -           1875 3047at5820           -            724   5.3e-07   27.0   1.4   3   4   2.6e-08   2.7e-05   21.4   0.0   587   662  1698  1777  1676  1784 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70098.1           -           1875 3047at5820           -            724   5.3e-07   27.0   1.4   4   4     0.034        34    1.2   0.0   668   705  1826  1863  1818  1872 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3047at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3047at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3047at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
