#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO64991.1           -           2090 848at5820            -           1220         0 1576.3  82.6   1  12  5.3e-119  3.2e-115  384.6  14.6     1   238    84   326    84   331 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO64991.1           -           2090 848at5820            -           1220         0 1576.3  82.6   2  12   3.4e-54   2.1e-50  169.9   2.7   240   357   394   518   391   526 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO64991.1           -           2090 848at5820            -           1220         0 1576.3  82.6   3  12   3.1e-11   1.9e-07   27.6   0.0   352   392   538   583   532   588 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO64991.1           -           2090 848at5820            -           1220         0 1576.3  82.6   4  12    0.0015       8.9    2.2   0.0   394   414   691   711   686   715 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO64991.1           -           2090 848at5820            -           1220         0 1576.3  82.6   5  12   0.00064       3.9    3.4   0.0   414   435   776   797   771   802 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO64991.1           -           2090 848at5820            -           1220         0 1576.3  82.6   6  12   1.1e-15   6.6e-12   42.4   0.3   426   477   826   877   819   895 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO64991.1           -           2090 848at5820            -           1220         0 1576.3  82.6   7  12   4.7e-10   2.8e-06   23.7   9.6   473   541   960  1054   956  1060 0.70 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO64991.1           -           2090 848at5820            -           1220         0 1576.3  82.6   8  12   3.4e-25     2e-21   73.9   0.1   539   607  1086  1157  1082  1172 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO64991.1           -           2090 848at5820            -           1220         0 1576.3  82.6   9  12   1.4e-26   8.4e-23   78.5   0.0   628   709  1253  1336  1217  1341 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO64991.1           -           2090 848at5820            -           1220         0 1576.3  82.6  10  12   1.3e-17   7.8e-14   48.8   0.4   709   764  1390  1453  1382  1472 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO64991.1           -           2090 848at5820            -           1220         0 1576.3  82.6  11  12  7.9e-115  4.8e-111  370.8   2.7   767  1007  1559  1816  1551  1820 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO64991.1           -           2090 848at5820            -           1220         0 1576.3  82.6  12  12  2.1e-117  1.3e-113  379.3   1.6  1007  1219  1874  2089  1867  2090 0.98 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/848at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/848at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/848at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 19:06:04 2026
# [ok]
