#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67269.1           -           1021 5341at5820           -            799         0 1275.8  22.4   1   1         0         0 1268.5  22.4     1   799     1  1021     1  1021 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69813.1           -            244 5341at5820           -            799     0.049   10.4  14.1   1   1   9.6e-05     0.053   10.3  14.1   424   539    50   156    11   217 0.45 calmodulin, putative [Plasmodium vivax]
SCO67944.1           -            250 5341at5820           -            799       0.1    9.3   8.9   1   1   0.00022      0.12    9.0   8.9   426   570    69   210    59   236 0.55 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66657.1           -            226 5341at5820           -            799       1.3    5.7   6.7   1   1    0.0026       1.5    5.5   6.7   440   512    80   151    59   212 0.40 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69694.1           -            158 5341at5820           -            799       2.2    4.9   8.4   1   1    0.0037       2.1    5.0   8.4   431   546    90   150     7   158 0.41 RNA-binding protein, putative [Plasmodium vivax]
SCO66821.1           -            381 5341at5820           -            799       3.8    4.1  13.7   1   1    0.0083       4.6    3.8  13.7   439   579   123   270    21   280 0.56 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69678.1           -            162 5341at5820           -            799       3.9    4.1  12.7   1   1    0.0082       4.5    3.9  12.7   380   499    46   154    32   162 0.53 60S ribosomal protein L24, putative [Plasmodium vivax]
SCO69645.1           -            543 5341at5820           -            799       4.2    4.0  14.2   1   1     0.012       6.8    3.3  14.2   422   530   111   221    49   268 0.61 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69120.1           -            251 5341at5820           -            799       4.8    3.8   6.8   1   1    0.0094       5.2    3.7   6.8   422   545    24   129     9   205 0.52 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67141.1           -            585 5341at5820           -            799       7.1    3.2   9.4   1   1     0.018       9.8    2.8   9.4   472   570    79   182    44   199 0.51 CPW-WPC family protein, putative [Plasmodium vivax]
SCO69761.1           -            209 5341at5820           -            799       7.9    3.1  13.7   1   1     0.018        10    2.7  13.7   436   566    26   164     9   193 0.56 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5341at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5341at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5341at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:51:09 2026
# [ok]
