#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO66498.1           -            840 3370at5820           -            675         0 1533.2   4.2   1   1         0         0 1533.0   4.2     2   673   166   837   165   839 1.00 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative [Plasmodium vivax]
SCO66239.1           -           1224 3370at5820           -            675  3.9e-218  724.5   2.0   1   1  7.3e-221  5.5e-218  724.0   2.0    18   656   558  1188   549  1204 0.95 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative [Plasmodium vivax]
SCO70072.1           -           1079 3370at5820           -            675  2.8e-174  579.6  12.3   1   2     1e-88   7.9e-86  287.3   1.8    11   295   379   665   371   670 0.95 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative [Plasmodium vivax]
SCO70072.1           -           1079 3370at5820           -            675  2.8e-174  579.6  12.3   2   2   8.4e-92   6.4e-89  297.5   3.1   284   655   699  1074   688  1078 0.92 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative [Plasmodium vivax]
SCO67980.1           -           1127 3370at5820           -            675  5.4e-167  555.5  13.4   1   3      0.42   3.2e+02   -2.2   0.0   349   381   346   378   343   391 0.80 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative [Plasmodium vivax]
SCO67980.1           -           1127 3370at5820           -            675  5.4e-167  555.5  13.4   2   3   2.6e-80     2e-77  259.5   2.3    18   249   425   661   407   671 0.95 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative [Plasmodium vivax]
SCO67980.1           -           1127 3370at5820           -            675  5.4e-167  555.5  13.4   3   3   6.3e-93   4.8e-90  301.2   2.9   263   655   745  1122   736  1127 0.94 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative [Plasmodium vivax]
SCO65858.1           -            834 3370at5820           -            675  2.3e-120  401.4  14.5   1   5   2.2e-08   1.7e-05   21.9   0.1    24    70     3    48     1    54 0.87 ATP-dependent RNA helicase prh1, putative [Plasmodium vivax]
SCO65858.1           -            834 3370at5820           -            675  2.3e-120  401.4  14.5   2   5   1.4e-53   1.1e-50  171.2   0.0    74   232    76   235    62   245 0.94 ATP-dependent RNA helicase prh1, putative [Plasmodium vivax]
SCO65858.1           -            834 3370at5820           -            675  2.3e-120  401.4  14.5   3   5    0.0086       6.5    3.4   0.0   234   251   274   291   271   310 0.73 ATP-dependent RNA helicase prh1, putative [Plasmodium vivax]
SCO65858.1           -            834 3370at5820           -            675  2.3e-120  401.4  14.5   4   5   1.9e-44   1.4e-41  141.0   0.2   265   486   363   576   354   584 0.96 ATP-dependent RNA helicase prh1, putative [Plasmodium vivax]
SCO65858.1           -            834 3370at5820           -            675  2.3e-120  401.4  14.5   5   5   6.9e-23   5.2e-20   69.8   1.3   495   659   655   820   647   829 0.82 ATP-dependent RNA helicase prh1, putative [Plasmodium vivax]
SCO69613.1           -           1608 3370at5820           -            675   2.9e-60  202.8  17.9   1   3   8.2e-45   6.2e-42  142.2   4.9     5   254   403   666   401   680 0.83 DEAD/DEAH box ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO69613.1           -           1608 3370at5820           -            675   2.9e-60  202.8  17.9   2   3   5.2e-22     4e-19   66.9   0.2   260   432   909  1090   889  1096 0.85 DEAD/DEAH box ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO69613.1           -           1608 3370at5820           -            675   2.9e-60  202.8  17.9   3   3     0.055        42    0.7   1.1   510   594  1299  1382  1254  1444 0.78 DEAD/DEAH box ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO67017.1           -           2090 3370at5820           -            675   1.8e-44  150.6   2.5   1   2   4.7e-33   3.5e-30  103.4   1.5    21   209   415   616   400   628 0.87 DEAD box helicase, putative [Plasmodium vivax]
SCO67017.1           -           2090 3370at5820           -            675   1.8e-44  150.6   2.5   2   2   1.3e-15   9.7e-13   45.8   0.0   236   392   746   895   738   908 0.76 DEAD box helicase, putative [Plasmodium vivax]
SCO69080.1           -            928 3370at5820           -            675   6.3e-35  119.1  16.9   1   3   1.4e-11   1.1e-08   32.4   0.3   115   191   107   182     4   191 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69080.1           -            928 3370at5820           -            675   6.3e-35  119.1  16.9   2   3      0.12        93   -0.5   0.0   205   253   483   533   476   543 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69080.1           -            928 3370at5820           -            675   6.3e-35  119.1  16.9   3   3   8.7e-29   6.6e-26   89.3  10.1   314   656   576   916   560   925 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3370at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3370at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3370at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:38:35 2026
# [ok]
