#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO66039.1           -            388 6857at5820           -            381  4.8e-271  896.6   4.7   1   1  3.2e-273  5.4e-271  896.4   4.7     1   381     7   388     7   388 1.00 eukaryotic initiation factor 4A-III, putative [Plasmodium vivax]
SCO68760.1           -            398 6857at5820           -            381  3.9e-157  521.6   2.0   1   1  2.6e-159  4.4e-157  521.4   2.0     5   380    19   397    15   398 0.98 eukaryotic initiation factor 4a, putative [Plasmodium vivax]
SCO66912.1           -            433 6857at5820           -            381   1.6e-80  269.4   0.2   1   1   1.2e-82     2e-80  269.1   0.2    10   377    61   427    54   431 0.96 ATP-dependent RNA helicase DDX6, putative [Plasmodium vivax]
SCO65655.1           -            473 6857at5820           -            381   3.4e-64  215.7   3.6   1   2   3.7e-11   6.2e-09   33.8   0.0    11    74    61   124    54   130 0.90 ATP-dependent RNA helicase UAP56, putative [Plasmodium vivax]
SCO65655.1           -            473 6857at5820           -            381   3.4e-64  215.7   3.6   2   2   1.2e-55   2.1e-53  180.2   3.2    81   377   163   465   153   468 0.92 ATP-dependent RNA helicase UAP56, putative [Plasmodium vivax]
SCO68859.1           -            787 6857at5820           -            381     5e-64  215.1   9.1   1   1   3.6e-64     6e-62  208.3   9.1     9   375   372   775   365   780 0.86 ATP-dependent RNA helicase DBP5, putative [Plasmodium vivax]
SCO68991.1           -            528 6857at5820           -            381   2.5e-57  193.1   0.0   1   1   2.2e-59   3.7e-57  192.5   0.0     9   364   113   477   110   495 0.88 ATP-dependent RNA helicase DDX5, putative [Plasmodium vivax]
SCO70027.1           -            717 6857at5820           -            381   1.9e-56  190.2   0.3   1   2   2.1e-06   0.00036   18.1   0.0     6    71   275   339   270   347 0.89 DNA helicase 60, putative [Plasmodium vivax]
SCO70027.1           -            717 6857at5820           -            381   1.9e-56  190.2   0.3   2   2   2.1e-52   3.5e-50  169.6   0.8    81   354   405   681   393   712 0.90 DNA helicase 60, putative [Plasmodium vivax]
SCO67853.1           -            720 6857at5820           -            381   6.9e-55  185.0   1.1   1   2   1.7e-06   0.00029   18.4   0.0    23    66   140   183   123   193 0.86 ATP-dependent helicase, putative [Plasmodium vivax]
SCO67853.1           -            720 6857at5820           -            381   6.9e-55  185.0   1.1   2   2   5.7e-51   9.6e-49  164.8   0.6    79   367   226   519   216   533 0.88 ATP-dependent helicase, putative [Plasmodium vivax]
SCO67619.1           -            667 6857at5820           -            381     5e-54  182.2   0.0   1   1   4.3e-56   7.3e-54  181.7   0.0    11   364   220   587   217   600 0.87 RNA helicase 1, putative [Plasmodium vivax]
SCO67810.1           -           1450 6857at5820           -            381   4.7e-52  175.7   0.8   1   1   4.2e-54     7e-52  175.2   0.8    19   380   677  1053   666  1054 0.90 pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative [Plasmodium vivax]
SCO67714.1           -           1006 6857at5820           -            381   5.3e-52  175.6   0.0   1   2   1.7e-20   2.9e-18   64.5   0.0    12   175   584   756   580   765 0.87 ATP-dependent RNA helicase DDX23, putative [Plasmodium vivax]
SCO67714.1           -           1006 6857at5820           -            381   5.3e-52  175.6   0.0   2   2   7.4e-34   1.3e-31  108.5   0.0   187   378   792   981   784   983 0.89 ATP-dependent RNA helicase DDX23, putative [Plasmodium vivax]
SCO68088.1           -            599 6857at5820           -            381   1.3e-48  164.4   2.9   1   1   9.3e-51   1.6e-48  164.1   2.9     4   372   141   514   138   523 0.91 ATP-dependent RNA helicase HAS1, putative [Plasmodium vivax]
SCO65570.1           -            536 6857at5820           -            381   1.7e-48  164.0   2.4   1   1   1.4e-50   2.3e-48  163.6   2.4     8   373   128   493   121   498 0.89 ATP-dependent rRNA helicase RRP3, putative [Plasmodium vivax]
SCO66253.1           -           1015 6857at5820           -            381   3.8e-48  162.9   0.5   1   1   3.8e-50   6.5e-48  162.1   0.5    17   362   633   996   613  1009 0.85 DEAD/DEAH box helicase, putative [Plasmodium vivax]
SCO70262.1           -            731 6857at5820           -            381   6.8e-43  145.6   3.9   1   1   7.6e-43   1.3e-40  138.1   3.9    12   360   107   496    97   512 0.80 DEAD/DEAH box ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO69871.1           -            923 6857at5820           -            381   2.5e-42  143.7   2.9   1   1   5.2e-41   8.8e-39  132.0   2.9    10   362   339   738   331   747 0.80 DEAD/DEAH box helicase, putative [Plasmodium vivax]
SCO68599.1           -            489 6857at5820           -            381   1.2e-39  134.9   0.3   1   1   2.5e-41   4.2e-39  133.1   0.3    10   364    59   434    56   442 0.86 ATP-dependent RNA helicase DBP8, putative [Plasmodium vivax]
