#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO69468.1           -            798 5178at5820           -            464  1.1e-183  609.6  87.7   1   5   3.7e-22   2.3e-19   67.8   6.0     2    51    11    60    10    73 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69468.1           -            798 5178at5820           -            464  1.1e-183  609.6  87.7   2   5  2.4e-101   1.5e-98  328.9  33.6    42   251    71   300    62   315 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69468.1           -            798 5178at5820           -            464  1.1e-183  609.6  87.7   3   5     0.046        28    1.6   2.3   255   281   453   479   438   507 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69468.1           -            798 5178at5820           -            464  1.1e-183  609.6  87.7   4   5   4.8e-12   2.9e-09   34.4   2.3   271   321   508   559   482   566 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69468.1           -            798 5178at5820           -            464  1.1e-183  609.6  87.7   5   5   1.7e-59     1e-56  190.9  15.1   306   464   617   798   601   798 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66250.1           -            369 5178at5820           -            464   5.6e-28   96.2  69.7   1   6   3.5e-07   0.00021   18.4   4.0    90   151    14    74     9    78 0.90 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO66250.1           -            369 5178at5820           -            464   5.6e-28   96.2  69.7   2   6   5.5e-07   0.00033   17.8   7.1   107   152    77   121    74   125 0.91 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO66250.1           -            369 5178at5820           -            464   5.6e-28   96.2  69.7   3   6   4.5e-07   0.00028   18.1   5.7   109   151   125   171   121   180 0.82 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO66250.1           -            369 5178at5820           -            464   5.6e-28   96.2  69.7   4   6   6.6e-05      0.04   10.9   0.5   133   152   176   195   172   199 0.89 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO66250.1           -            369 5178at5820           -            464   5.6e-28   96.2  69.7   5   6   7.7e-08   4.7e-05   20.6  11.4    87   150   200   262   196   267 0.90 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO66250.1           -            369 5178at5820           -            464   5.6e-28   96.2  69.7   6   6   2.5e-13   1.5e-10   38.7   5.2    87   151   269   333   265   347 0.94 MORN repeat-containing protein 1, putative [Plasmodium vivax]
