#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO68429.1           -            585 8614at5820           -            406    5e-143  475.2   8.3   1   4   7.8e-88   1.6e-84  282.6   3.9     2   196     4   224     3   226 0.89 ubiquitin-activating enzyme E1, putative [Plasmodium vivax]
SCO68429.1           -            585 8614at5820           -            406    5e-143  475.2   8.3   2   4   2.2e-38   4.5e-35  119.7   0.0   197   322   257   420   252   426 0.83 ubiquitin-activating enzyme E1, putative [Plasmodium vivax]
SCO68429.1           -            585 8614at5820           -            406    5e-143  475.2   8.3   3   4   9.4e-06     0.019   12.3   0.0   320   354   448   486   443   489 0.81 ubiquitin-activating enzyme E1, putative [Plasmodium vivax]
SCO68429.1           -            585 8614at5820           -            406    5e-143  475.2   8.3   4   4   5.8e-20   1.2e-16   59.1   0.0   349   406   510   576   501   576 0.86 ubiquitin-activating enzyme E1, putative [Plasmodium vivax]
SCO67542.1           -            359 8614at5820           -            406   4.5e-17   60.5   6.3   1   2   2.2e-20   4.5e-17   60.5   6.3     3    93    11   105     8   164 0.89 ubiquitin activating enzyme (E1) subunit Aos1, putative [Plasmodium vivax]
SCO67542.1           -            359 8614at5820           -            406   4.5e-17   60.5   6.3   2   2      0.33   6.7e+02   -2.7   0.0   151   178   261   288   246   335 0.59 ubiquitin activating enzyme (E1) subunit Aos1, putative [Plasmodium vivax]
SCO68594.1           -           1685 8614at5820           -            406   3.4e-09   34.5  22.0   1   4   2.9e-11   5.9e-08   30.4   6.9     2   127   194   322   193   327 0.80 ubiquitin-activating enzyme, putative [Plasmodium vivax]
SCO68594.1           -           1685 8614at5820           -            406   3.4e-09   34.5  22.0   2   4     0.066   1.3e+02   -0.4   0.1   375   405   604   634   554   635 0.68 ubiquitin-activating enzyme, putative [Plasmodium vivax]
SCO68594.1           -           1685 8614at5820           -            406   3.4e-09   34.5  22.0   3   4   1.5e-05      0.03   11.7   0.0     6    89   654   751   650   760 0.81 ubiquitin-activating enzyme, putative [Plasmodium vivax]
SCO68594.1           -           1685 8614at5820           -            406   3.4e-09   34.5  22.0   4   4       0.1   2.1e+02   -1.0   2.1   174   254   941  1024   917  1028 0.73 ubiquitin-activating enzyme, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8614at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8614at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8614at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 19:06:37 2026
# [ok]
