#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO65796.1           -           1672 2206at5820           -            834         0 1239.7 103.4   1   9  8.8e-102   2.7e-98  328.7  14.1     4   182   148   326   146   335 0.98 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65796.1           -           1672 2206at5820           -            834         0 1239.7 103.4   2   9  2.5e-141  7.5e-138  459.6  19.8   177   437   376   647   367   656 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65796.1           -           1672 2206at5820           -            834         0 1239.7 103.4   3   9   3.2e-09   9.8e-06   22.5   0.6   421   467   722   767   671   772 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65796.1           -           1672 2206at5820           -            834         0 1239.7 103.4   4   9       0.3   9.2e+02   -3.9   0.8   199   225   889   915   885   917 0.77 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65796.1           -           1672 2206at5820           -            834         0 1239.7 103.4   5   9   4.1e-50   1.2e-46  157.8   2.2   466   573   964  1076   955  1078 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65796.1           -           1672 2206at5820           -            834         0 1239.7 103.4   6   9     0.011        34    0.9   0.0   573   588  1144  1159  1131  1173 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65796.1           -           1672 2206at5820           -            834         0 1239.7 103.4   7   9   1.8e-12   5.5e-09   33.3   0.4   585   620  1258  1293  1254  1295 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65796.1           -           1672 2206at5820           -            834         0 1239.7 103.4   8   9   5.6e-40   1.7e-36  124.3  14.3   623   748  1370  1521  1317  1529 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65796.1           -           1672 2206at5820           -            834         0 1239.7 103.4   9   9     4e-46   1.2e-42  144.6   0.6   734   834  1571  1672  1564  1672 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65122.1           -            226 2206at5820           -            834    0.0006   16.6   4.3   1   1   2.4e-07   0.00073   16.3   4.3    84   174    69   165    54   174 0.74 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2206at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2206at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2206at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:38:27 2026
# [ok]
