#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67931.1           -           2163 527at5820            -           1142         0 1510.1 120.2   1   9   3.8e-08   0.00023   17.4   3.6    23    68   263   312   251   333 0.62 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67931.1           -           2163 527at5820            -           1142         0 1510.1 120.2   2   9     2e-93   1.2e-89  299.9  15.7    55   266   450   664   434   677 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67931.1           -           2163 527at5820            -           1142         0 1510.1 120.2   3   9   8.9e-17   5.4e-13   46.0   0.0   264   315   722   773   717   788 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67931.1           -           2163 527at5820            -           1142         0 1510.1 120.2   4   9  7.4e-100   4.5e-96  321.2  15.8   319   498   868  1049   855  1052 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67931.1           -           2163 527at5820            -           1142         0 1510.1 120.2   5   9     3e-44   1.8e-40  137.0   2.4   493   585  1083  1180  1073  1185 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67931.1           -           2163 527at5820            -           1142         0 1510.1 120.2   6   9   1.2e-61     7e-58  194.7   4.8   592   704  1275  1387  1264  1397 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67931.1           -           2163 527at5820            -           1142         0 1510.1 120.2   7   9     2e-14   1.2e-10   38.3   0.0   703   758  1436  1501  1416  1519 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67931.1           -           2163 527at5820            -           1142         0 1510.1 120.2   8   9   5.6e-42   3.4e-38  129.5   6.6   770   875  1683  1799  1670  1802 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67931.1           -           2163 527at5820            -           1142         0 1510.1 120.2   9   9  2.3e-111  1.4e-107  359.3  22.9   875  1142  1841  2163  1832  2163 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/527at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/527at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/527at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:50:39 2026
# [ok]
