#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO66300.1           -           1906 3211at5820           -            949         0 1123.0 443.7   1  14   9.8e-77     6e-73  244.8  25.6     1   166     1   205     1   220 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66300.1           -           1906 3211at5820           -            949         0 1123.0 443.7   2  14     0.089   5.4e+02   -3.3  18.1   125   226   271   376   259   417 0.58 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66300.1           -           1906 3211at5820           -            949         0 1123.0 443.7   3  14   7.9e-17   4.8e-13   46.5  13.9   194   241   439   489   392   528 0.75 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66300.1           -           1906 3211at5820           -            949         0 1123.0 443.7   4  14   8.5e-07    0.0052   13.3   6.3   215   274   538   599   515   620 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66300.1           -           1906 3211at5820           -            949         0 1123.0 443.7   5  14   1.9e-16   1.2e-12   45.2   6.9   255   314   618   677   606   696 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66300.1           -           1906 3211at5820           -            949         0 1123.0 443.7   6  14     0.091   5.5e+02   -3.3   5.8   307   345   698   741   692   780 0.56 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66300.1           -           1906 3211at5820           -            949         0 1123.0 443.7   7  14   1.9e-19   1.2e-15   55.1  20.4   234   379   826   988   795  1004 0.61 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66300.1           -           1906 3211at5820           -            949         0 1123.0 443.7   8  14   1.8e-09   1.1e-05   22.1   2.6   380   415  1053  1088  1038  1093 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66300.1           -           1906 3211at5820           -            949         0 1123.0 443.7   9  14     1e-18   6.3e-15   52.7  16.3   379   499  1089  1212  1085  1218 0.73 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66300.1           -           1906 3211at5820           -            949         0 1123.0 443.7  10  14   5.9e-24   3.6e-20   70.1  12.1   446   528  1210  1298  1202  1345 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66300.1           -           1906 3211at5820           -            949         0 1123.0 443.7  11  14   3.5e-91   2.1e-87  292.6  68.0   528   695  1357  1528  1334  1533 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66300.1           -           1906 3211at5820           -            949         0 1123.0 443.7  12  14     1e-11   6.3e-08   29.5  27.1   680   765  1544  1650  1530  1655 0.68 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66300.1           -           1906 3211at5820           -            949         0 1123.0 443.7  13  14   2.2e-16   1.3e-12   45.0  48.5   715   797  1648  1730  1641  1735 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66300.1           -           1906 3211at5820           -            949         0 1123.0 443.7  14  14   1.2e-84     7e-81  271.0  93.1   788   949  1736  1904  1730  1904 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3211at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3211at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3211at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:37:58 2026
# [ok]
