#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO65162.1           -           1408 3177at5820           -            625    2e-278  923.5  60.7   1   9       2.6   5.8e+02   -3.0   1.8     2    21   124   143   123   156 0.80 ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO65162.1           -           1408 3177at5820           -            625    2e-278  923.5  60.7   2   9   2.9e-22   6.6e-20   69.5   0.4    15    72   211   268   204   274 0.93 ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO65162.1           -           1408 3177at5820           -            625    2e-278  923.5  60.7   3   9   9.4e-10   2.1e-07   28.2   1.7    38   120   374   466   345   481 0.67 ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO65162.1           -           1408 3177at5820           -            625    2e-278  923.5  60.7   4   9   1.2e-19   2.7e-17   60.9   0.3   110   155   483   528   476   535 0.89 ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO65162.1           -           1408 3177at5820           -            625    2e-278  923.5  60.7   5   9   8.2e-26   1.9e-23   81.2   0.0   158   206   596   644   591   654 0.95 ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO65162.1           -           1408 3177at5820           -            625    2e-278  923.5  60.7   6   9   2.5e-05    0.0055   13.6   0.0   206   229   693   716   688   733 0.87 ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO65162.1           -           1408 3177at5820           -            625    2e-278  923.5  60.7   7   9   1.9e-38   4.2e-36  123.0   0.9   230   316   764   864   757   869 0.88 ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO65162.1           -           1408 3177at5820           -            625    2e-278  923.5  60.7   8   9   5.2e-43   1.2e-40  138.0   0.0   313   412   896  1019   892  1031 0.82 ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO65162.1           -           1408 3177at5820           -            625    2e-278  923.5  60.7   9   9  6.5e-133  1.5e-130  435.0  17.6   412   624  1082  1294  1078  1295 0.99 ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO65655.1           -            473 3177at5820           -            625   8.5e-21   72.4   3.3   1   4    0.0013       0.3    7.9   0.0   182   251   103   177    94   195 0.74 ATP-dependent RNA helicase UAP56, putative [Plasmodium vivax]
SCO65655.1           -            473 3177at5820           -            625   8.5e-21   72.4   3.3   2   4   2.4e-06   0.00054   16.9   0.2   303   373   202   268   181   278 0.74 ATP-dependent RNA helicase UAP56, putative [Plasmodium vivax]
SCO65655.1           -            473 3177at5820           -            625   8.5e-21   72.4   3.3   3   4     0.048        11    2.7   0.1   460   489   257   287   253   300 0.75 ATP-dependent RNA helicase UAP56, putative [Plasmodium vivax]
SCO65655.1           -            473 3177at5820           -            625   8.5e-21   72.4   3.3   4   4   5.7e-15   1.3e-12   45.4   0.1   529   609   376   456   367   473 0.82 ATP-dependent RNA helicase UAP56, putative [Plasmodium vivax]
SCO68760.1           -            398 3177at5820           -            625   5.6e-18   63.1   0.5   1   3   3.1e-07   6.9e-05   19.9   0.1   276   443   106   270    81   289 0.74 eukaryotic initiation factor 4a, putative [Plasmodium vivax]
SCO68760.1           -            398 3177at5820           -            625   5.6e-18   63.1   0.5   2   3      0.15        34    1.1   0.1   474   495   265   286   251   310 0.75 eukaryotic initiation factor 4a, putative [Plasmodium vivax]
SCO68760.1           -            398 3177at5820           -            625   5.6e-18   63.1   0.5   3   3   1.6e-13   3.6e-11   40.6   0.0   540   600   315   375   298   390 0.87 eukaryotic initiation factor 4a, putative [Plasmodium vivax]
SCO66039.1           -            388 3177at5820           -            625   8.4e-15   52.6   2.9   1   2   4.8e-06    0.0011   15.9   0.1   279   364   101   179    92   197 0.85 eukaryotic initiation factor 4A-III, putative [Plasmodium vivax]
SCO66039.1           -            388 3177at5820           -            625   8.4e-15   52.6   2.9   2   2   7.8e-12   1.7e-09   35.1   0.7   540   595   307   362   248   380 0.86 eukaryotic initiation factor 4A-III, putative [Plasmodium vivax]
SCO68599.1           -            489 3177at5820           -            625   9.2e-15   52.5   0.1   1   4      0.11        25    1.5   0.0   111   147    58    93    33    98 0.91 ATP-dependent RNA helicase DBP8, putative [Plasmodium vivax]
SCO68599.1           -            489 3177at5820           -            625   9.2e-15   52.5   0.1   2   4     0.041       9.3    2.9   0.0   183   208   103   128    96   132 0.88 ATP-dependent RNA helicase DBP8, putative [Plasmodium vivax]
