#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67896.1           -            944 2814at5820           -            601         0 1117.7 117.7   1   5   7.4e-34     5e-31  106.3   3.1     1    63     1    63     1    67 0.96 chromosome assembly factor 1, putative [Plasmodium vivax]
SCO67896.1           -            944 2814at5820           -            601         0 1117.7 117.7   2   5    2e-143  1.3e-140  468.2  16.5    52   273   163   385   152   401 0.95 chromosome assembly factor 1, putative [Plasmodium vivax]
SCO67896.1           -            944 2814at5820           -            601         0 1117.7 117.7   3   5   4.6e-83   3.1e-80  268.8  32.3   243   454   445   698   406   706 0.77 chromosome assembly factor 1, putative [Plasmodium vivax]
SCO67896.1           -            944 2814at5820           -            601         0 1117.7 117.7   4   5         9   6.1e+03  -16.2  19.4   425   449   717   735   692   754 0.41 chromosome assembly factor 1, putative [Plasmodium vivax]
SCO67896.1           -            944 2814at5820           -            601         0 1117.7 117.7   5   5   5.1e-96   3.4e-93  311.6  18.1   435   601   771   944   755   944 0.92 chromosome assembly factor 1, putative [Plasmodium vivax]
SCO67557.1           -            660 2814at5820           -            601   1.2e-12   45.6   2.6   1   6   0.00032      0.22    8.5   0.0    84   125   111   152    83   166 0.88 ribosome assembly protein 4, putative [Plasmodium vivax]
SCO67557.1           -            660 2814at5820           -            601   1.2e-12   45.6   2.6   2   6      0.12        83   -0.1   0.0   190   266   156   236   151   247 0.55 ribosome assembly protein 4, putative [Plasmodium vivax]
SCO67557.1           -            660 2814at5820           -            601   1.2e-12   45.6   2.6   3   6   0.00029      0.19    8.6   0.3   187   226   357   400   341   454 0.82 ribosome assembly protein 4, putative [Plasmodium vivax]
SCO67557.1           -            660 2814at5820           -            601   1.2e-12   45.6   2.6   4   6    0.0091       6.1    3.7   0.0    89   123   489   523   428   529 0.70 ribosome assembly protein 4, putative [Plasmodium vivax]
SCO67557.1           -            660 2814at5820           -            601   1.2e-12   45.6   2.6   5   6    0.0061       4.1    4.2   0.0   192   226   531   566   526   577 0.78 ribosome assembly protein 4, putative [Plasmodium vivax]
SCO67557.1           -            660 2814at5820           -            601   1.2e-12   45.6   2.6   6   6   5.5e-06    0.0037   14.3   0.0    88   123   624   659   615   660 0.86 ribosome assembly protein 4, putative [Plasmodium vivax]
