#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO65010.1           -            262 11182at5820          -            184    1e-123  408.3   6.3   1   1    2e-126  1.2e-123  408.1   6.3     1   184    78   262    78   262 0.99 cyclophilin, putative [Plasmodium vivax]
SCO66899.1           -            170 11182at5820          -            184   1.4e-50  170.0   0.6   1   1   2.6e-53   1.6e-50  169.8   0.6    15   183     3   169     1   170 0.89 peptidyl-prolyl cis-trans isomerase, putative [Plasmodium vivax]
SCO67256.1           -            193 11182at5820          -            184   1.5e-43  147.1   1.1   1   1   3.1e-46   1.9e-43  146.7   1.1    18   160    31   174    20   185 0.92 peptidyl-prolyl cis-trans isomerase 11, putative [Plasmodium vivax]
SCO69125.1           -            226 11182at5820          -            184   9.7e-36  121.6   1.0   1   1   1.9e-38   1.2e-35  121.3   1.0    14   182     4   172     1   174 0.89 peptidyl-prolyl cis-trans isomerase, putative [Plasmodium vivax]
SCO67262.1           -            167 11182at5820          -            184   2.6e-27   94.2   0.5   1   1   5.8e-30   3.5e-27   93.7   0.5    29   156     9   130     1   152 0.88 peptidyl-prolyl cis-trans isomerase, putative [Plasmodium vivax]
SCO67794.1           -            751 11182at5820          -            184     8e-27   92.6   3.5   1   2      0.25   1.5e+02    0.4   0.1     4    33   130   159   129   177 0.86 peptidyl-prolyl cis-trans isomerase, putative [Plasmodium vivax]
SCO67794.1           -            751 11182at5820          -            184     8e-27   92.6   3.5   2   2   2.5e-29   1.5e-26   91.7   0.7    29   156   605   725   597   747 0.86 peptidyl-prolyl cis-trans isomerase, putative [Plasmodium vivax]
SCO67612.1           -            203 11182at5820          -            184   1.3e-25   88.6   0.3   1   1   3.4e-28   2.1e-25   87.9   0.3    29   155    54   173    48   198 0.85 peptidyl-prolyl cis-trans isomerase, putative [Plasmodium vivax]
SCO69913.1           -            276 11182at5820          -            184   4.8e-25   86.8   3.8   1   1   1.2e-27     7e-25   86.2   3.8    16   182    62   222    53   224 0.90 peptidyl-prolyl cis-trans isomerase, putative [Plasmodium vivax]
SCO65026.1           -            590 11182at5820          -            184     2e-12   45.6   1.0   1   1   2.1e-13   1.3e-10   39.8   1.0    20   183     9   194     3   195 0.75 peptidyl-prolyl cis-trans isomerase, putative [Plasmodium vivax]
SCO69363.1           -            462 11182at5820          -            184   2.2e-10   39.0   1.9   1   1   6.4e-13   3.9e-10   38.2   1.9    29   159    21   146    16   172 0.80 cyclophilin, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11182at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11182at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11182at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:32:04 2026
# [ok]
