#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO66230.1           -            600 6506at5820           -            426    8e-221  732.0  85.2   1   4    0.0029       2.9    5.4   0.5     1    21     8    29     8    48 0.90 WD repeat-containing protein, putative [Plasmodium vivax]
SCO66230.1           -            600 6506at5820           -            426    8e-221  732.0  85.2   2   4   3.9e-31   3.9e-28   97.2  10.5    19    76    58   115    45   118 0.93 WD repeat-containing protein, putative [Plasmodium vivax]
SCO66230.1           -            600 6506at5820           -            426    8e-221  732.0  85.2   3   4   3.3e-97   3.3e-94  314.9  23.0    76   255   148   339   145   351 0.96 WD repeat-containing protein, putative [Plasmodium vivax]
SCO66230.1           -            600 6506at5820           -            426    8e-221  732.0  85.2   4   4  3.6e-102   3.7e-99  331.2  29.2   250   425   418   597   415   598 0.97 WD repeat-containing protein, putative [Plasmodium vivax]
SCO65843.1           -            324 6506at5820           -            426   3.5e-09   34.8   1.3   1   3      0.25   2.5e+02   -1.0   0.0   353   391    87   126    51   131 0.67 U5 snrnp-specific protein, putative [Plasmodium vivax]
SCO65843.1           -            324 6506at5820           -            426   3.5e-09   34.8   1.3   2   3   4.4e-06    0.0044   14.7   0.1   307   340   132   165   106   173 0.83 U5 snrnp-specific protein, putative [Plasmodium vivax]
SCO65843.1           -            324 6506at5820           -            426   3.5e-09   34.8   1.3   3   3   3.9e-07    0.0004   18.1   0.0   264   401   174   307   166   317 0.82 U5 snrnp-specific protein, putative [Plasmodium vivax]
SCO65804.1           -            322 6506at5820           -            426    0.0011   16.7   0.2   1   3     0.015        16    3.0   0.0   312   396    38   122     4   131 0.67 receptor for activated c kinase, putative [Plasmodium vivax]
SCO65804.1           -            322 6506at5820           -            426    0.0011   16.7   0.2   2   3    0.0067       6.8    4.2   0.0   266   328   127   190   112   205 0.80 receptor for activated c kinase, putative [Plasmodium vivax]
SCO65804.1           -            322 6506at5820           -            426    0.0011   16.7   0.2   3   3   0.00084      0.85    7.1   0.0   352   376   294   319   252   322 0.68 receptor for activated c kinase, putative [Plasmodium vivax]
SCO66273.1           -            706 6506at5820           -            426    0.0025   15.5   8.6   1   2   8.7e-06    0.0088   13.7   2.5   293   361   185   250   137   270 0.77 WD repeat-containing protein 70, putative [Plasmodium vivax]
SCO66273.1           -            706 6506at5820           -            426    0.0025   15.5   8.6   2   2     0.012        13    3.3   3.2   253   327   245   328   237   348 0.73 WD repeat-containing protein 70, putative [Plasmodium vivax]
SCO66204.1           -            654 6506at5820           -            426       0.2    9.2   2.4   1   2    0.0041       4.1    4.9   0.7   322   387   318   384   313   398 0.87 cell division cycle protein 20 homolog, putative [Plasmodium vivax]
SCO66204.1           -            654 6506at5820           -            426       0.2    9.2   2.4   2   2     0.015        15    3.0   0.0   286   328   414   457   394   472 0.76 cell division cycle protein 20 homolog, putative [Plasmodium vivax]
SCO65033.1           -           1073 6506at5820           -            426      0.72    7.4  17.9   1   7      0.64   6.5e+02   -2.4   0.1   316   330    32    46    24    49 0.62 periodic tryptophan protein 2, putative [Plasmodium vivax]
SCO65033.1           -           1073 6506at5820           -            426      0.72    7.4  17.9   2   7      0.58   5.9e+02   -2.2   0.1    90   245   342   371   290   391 0.54 periodic tryptophan protein 2, putative [Plasmodium vivax]
SCO65033.1           -           1073 6506at5820           -            426      0.72    7.4  17.9   3   7     0.073        73    0.8   0.1   223   248   416   441   404   445 0.88 periodic tryptophan protein 2, putative [Plasmodium vivax]
SCO65033.1           -           1073 6506at5820           -            426      0.72    7.4  17.9   4   7     0.046        46    1.4   0.0   293   327   449   482   442   493 0.76 periodic tryptophan protein 2, putative [Plasmodium vivax]
SCO65033.1           -           1073 6506at5820           -            426      0.72    7.4  17.9   5   7   0.00011      0.11   10.1   0.1   255   327   526   602   520   617 0.67 periodic tryptophan protein 2, putative [Plasmodium vivax]
SCO65033.1           -           1073 6506at5820           -            426      0.72    7.4  17.9   6   7      0.03        30    2.0   0.1   296   332   617   653   605   665 0.67 periodic tryptophan protein 2, putative [Plasmodium vivax]
SCO65033.1           -           1073 6506at5820           -            426      0.72    7.4  17.9   7   7      0.13   1.3e+02   -0.1   0.5   221   261   719   764   701   834 0.58 periodic tryptophan protein 2, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6506at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6506at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6506at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:50:37 2026
# [ok]
