#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO69049.1           -           2014 1110at5820           -            876         0 1272.6 160.8   1  10   6.5e-21     4e-17   60.1   1.3     1    39     1    39     1    45 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69049.1           -           2014 1110at5820           -            876         0 1272.6 160.8   2  10   0.00071       4.3    3.8   0.0    47    66   224   243   219   258 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69049.1           -           2014 1110at5820           -            876         0 1272.6 160.8   3  10   6.1e-41   3.7e-37  126.4   2.0    64   142   268   350   263   354 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69049.1           -           2014 1110at5820           -            876         0 1272.6 160.8   4  10   1.3e-06    0.0079   12.8   0.4   136   183   436   485   419   492 0.73 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69049.1           -           2014 1110at5820           -            876         0 1272.6 160.8   5  10   6.4e-12   3.9e-08   30.4   3.6   167   204   493   530   488   545 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69049.1           -           2014 1110at5820           -            876         0 1272.6 160.8   6  10   1.6e-09   9.6e-06   22.5   0.0   195   233   896   936   862   967 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69049.1           -           2014 1110at5820           -            876         0 1272.6 160.8   7  10   1.3e-11   7.6e-08   29.4   0.1   227   270  1006  1049   992  1066 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69049.1           -           2014 1110at5820           -            876         0 1272.6 160.8   8  10  8.4e-119  5.1e-115  384.0  55.3   270   517  1172  1419  1167  1425 0.98 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69049.1           -           2014 1110at5820           -            876         0 1272.6 160.8   9  10   2.9e-23   1.8e-19   67.9  10.9   510   583  1454  1542  1447  1548 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69049.1           -           2014 1110at5820           -            876         0 1272.6 160.8  10  10    2e-173  1.2e-169  564.8  38.3   578   876  1693  2014  1690  2014 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1110at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1110at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1110at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:31:51 2026
# [ok]
